"","replicate","areas","species","species_tl1","species_tl2","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen"
"1",1,1,17,11,6,24,0.363636363636364,1.41176470588235,6.66666666666667,3.08333333333333,0.324652777777778,4.72222222222222,2.18402777777778,8.33333333333333,2.53421037449976
"2",1,2,21,14,7,22,0.224489795918367,1.04761904761905,5.54545454545455,2.09090909090909,0.516528925619835,5.29338842975207,1.99586776859504,6.85714285714286,2.83317128040862
"3",1,3,29,19,10,38,0.2,1.31034482758621,7.89473684210526,3.1578947368421,0.432825484764543,6.02493074792244,2.40997229916897,5.6,3.17320363337451
"4",1,4,27,15,12,34,0.188888888888889,1.25925925925926,3.94117647058824,3.58823529411765,0.466262975778547,3.12975778546713,2.84948096885813,3.5,1.46949156969998
"5",1,5,35,20,15,58,0.193333333333333,1.65714285714286,7.89655172413793,3.75862068965517,0.383174791914388,4.76516052318668,2.26813317479191,4.4,2.46567799492013
"6",1,6,38,22,16,60,0.170454545454545,1.57894736842105,8.53333333333333,4.5,0.373611111111111,5.40444444444444,2.85,5,2.77030550528143
"7",1,7,43,25,18,78,0.173333333333333,1.81395348837209,9.97435897435897,4.41025641025641,0.348290598290598,5.49868507560815,2.43129520052597,5,2.8046310025608
"8",1,8,48,29,19,90,0.163339382940109,1.875,10.5555555555556,4.75555555555556,0.384320987654321,5.62962962962963,2.5362962962963,4.84210526315789,2.87671749981627
"9",1,9,48,29,19,86,0.156079854809437,1.79166666666667,10.7209302325581,4.3953488372093,0.351676581936182,5.98377501352082,2.4532179556517,4.73684210526316,3.03642738495846
"10",1,10,48,28,20,83,0.148214285714286,1.72916666666667,9.8433734939759,4.56626506024096,0.373058499056467,5.69255334591378,2.64073160110321,4.65,2.88409942711176
"11",1,11,49,31,18,87,0.155913978494624,1.77551020408163,11.2528735632184,4.10344827586207,0.367419738406659,6.33782534020346,2.31113753468094,4.83333333333333,3.22822618185902
"12",1,12,50,30,20,92,0.153333333333333,1.84,10.4565217391304,4.69565217391304,0.347589792060492,5.68289224952741,2.55198487712665,4.65,2.89413756335086
"13",1,13,51,31,20,93,0.15,1.82352941176471,10.741935483871,4.65591397849462,0.377037807839056,5.89073881373569,2.55324314949705,4.65,2.99453607249956
"14",2,1,27,14,13,38,0.208791208791209,1.40740740740741,5.42105263157895,3.94736842105263,0.387119113573407,3.85180055401662,2.80470914127424,5.92307692307692,1.99836791493971
"15",2,2,34,20,14,43,0.153571428571429,1.26470588235294,6.81395348837209,3,0.458085451595457,5.38777717685235,2.37209302325581,4.5,2.78198871094252
"16",2,3,37,22,15,52,0.157575757575758,1.40540540540541,7.19230769230769,3.30769230769231,0.458949704142012,5.11760355029586,2.35355029585799,4.26666666666667,2.64689393028184
"17",2,4,43,27,16,75,0.173611111111111,1.74418604651163,10.1466666666667,4.36,0.369244444444444,5.81742222222222,2.49973333333333,5.0625,2.9954037630516
"18",2,5,47,29,18,77,0.147509578544061,1.63829787234043,11.0519480519481,3.85714285714286,0.365154326193287,6.74599426547479,2.3543599257885,4.5,3.38108500036768
"19",2,6,48,29,19,89,0.161524500907441,1.85416666666667,10.3258426966292,4.61797752808989,0.343012245928544,5.56899381391238,2.49059462189118,4.78947368421053,2.84847469098285
"20",2,7,49,29,20,86,0.148275862068966,1.75510204081633,9.6046511627907,4.69767441860465,0.377095727420227,5.4724175229854,2.67658193618172,4.65,2.79189106470379
"21",2,8,48,29,19,80,0.14519056261343,1.66666666666667,9.925,4.2,0.39140625,5.955,2.52,4.73684210526316,3.02376551583234
"22",2,9,51,31,20,93,0.15,1.82352941176471,10.741935483871,4.65591397849462,0.35241068331599,5.89073881373569,2.55324314949705,4.65,2.99453607249956
"23",2,10,51,31,20,93,0.15,1.82352941176471,10.741935483871,4.65591397849462,0.377037807839056,5.89073881373569,2.55324314949705,4.65,2.99453607249956
"24",3,1,25,14,11,32,0.207792207792208,1.28,5.5625,3.3125,0.4208984375,4.345703125,2.587890625,4.81818181818182,2.27649722834925
"25",3,2,30,19,11,43,0.205741626794258,1.43333333333333,7.46511627906977,3.13953488372093,0.406165494862087,5.20822065981612,2.19037317468902,6.72727272727273,2.72815758299079
"26",3,3,36,23,13,57,0.190635451505017,1.58333333333333,10.0175438596491,3.80701754385965,0.337026777469991,6.32686980609418,2.40443213296399,5.30769230769231,3.26694308346354
