"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"1103",54,3,"mod2",NA,NA,NA,NA,5.85768026161063,0.296684274882758,19.7438177804518,4.46898615493499e-11,0.85
"1124",55,3,"mod2",NA,NA,NA,NA,5.13372119081541,0.285675726546076,17.9704494073892,1.45878500682513e-10,0.85
"1145",56,3,"mod2",NA,NA,NA,NA,5.73087511756302,0.366783580169025,15.6246774049211,2.43521503147742e-09,0.85
"1166",57,3,"mod2",NA,NA,NA,NA,5.59557630452668,0.344655821382427,16.2352583574031,5.18108410606534e-10,0.85
"1187",58,3,"mod2",NA,NA,NA,NA,6.23991981235786,0.271556583247968,22.9783411535266,1.11428092526738e-13,0.85
"1208",59,3,"mod2",NA,NA,NA,NA,6.21905509449042,0.269408099537093,23.0841429978394,3.91318648387943e-13,0.85
"1250",61,3,"mod2",NA,NA,NA,NA,5.39417661288619,0.382640381425819,14.0972486823949,7.88653886316181e-09,0.85
"1271",62,3,"mod2",NA,NA,NA,NA,5.57087411716644,0.328999963475498,16.9327499563122,3.06865156634955e-10,0.85
"1312",64,3,"mod2",NA,NA,NA,NA,5.75025684370971,0.282736128784069,20.3378919717094,3.07423645512374e-11,0.85
"1333",65,3,"mod2",NA,NA,NA,NA,5.52579310228615,0.282764323346435,19.5420448976376,1.47169605641579e-11,0.85
"1354",66,3,"mod2",NA,NA,NA,NA,6.13309633465484,0.307266646538944,19.9601759700837,1.10478967362404e-11,0.85
"1395",68,3,"mod2",NA,NA,NA,NA,4.87279781031786,0.283454286654084,17.190771280395,2.540817247614e-10,0.85
"1415",69,3,"mod2",NA,NA,NA,NA,5.51829285480897,0.445555779584527,12.385189706112,2.16927688074348e-07,0.85
"1435",70,3,"mod2",NA,NA,NA,NA,5.75080609199018,0.401051164838985,14.3393327240404,6.49787451076897e-09,0.85
"1456",71,3,"mod2",NA,NA,NA,NA,6.02998473547759,0.283535103822582,21.2671540637549,3.70360620492266e-13,0.85
"1477",72,3,"mod2",NA,NA,NA,NA,6.124011272187,0.3279570849691,18.6732092485942,2.72112927380181e-11,0.85
"1538",75,3,"mod2",NA,NA,NA,NA,4.89530348192429,0.357098453765506,13.7085541264731,8.27852449151851e-08,0.85
"1559",76,3,"mod2",NA,NA,NA,NA,7.11685063467259,0.301297485267545,23.6206771800733,7.25434860810365e-14,0.85
"1601",78,3,"mod2",NA,NA,NA,NA,6.77474458821584,0.302194435014524,22.4184955222297,5.99908520709362e-13,0.85
"1622",79,3,"mod2",NA,NA,NA,NA,5.6790336414225,0.395736188180404,14.350554260743,2.38037134317614e-09,0.85
"1642",80,3,"mod2",NA,NA,NA,NA,5.27278546908778,0.316681792712134,16.6501061647102,1.17177121483649e-09,0.85
"1663",81,3,"mod2",NA,NA,NA,NA,5.2571309033656,0.306566456591774,17.1484217869472,2.76435866313643e-09,0.85
"1684",82,3,"mod2",NA,NA,NA,NA,6.40445258245028,0.334316695800208,19.1568433850449,1.9265081846505e-11,0.85
"1704",83,3,"mod2",NA,NA,NA,NA,4.45528865863723,0.335478084057425,13.2804164276633,1.11987684661859e-07,0.85
"1725",84,3,"mod2",NA,NA,NA,NA,7.35897944994545,0.381893089677269,19.2697371302644,6.07009447820375e-11,0.85
"1746",85,3,"mod2",NA,NA,NA,NA,5.7300519111593,0.332760196213015,17.2197635906286,2.48790278473617e-10,0.85
"1767",86,3,"mod2",NA,NA,NA,NA,5.3655277151297,0.299714561598584,17.9021255641089,4.80266976818168e-11,0.85
"1788",87,3,"mod2",NA,NA,NA,NA,6.58088542267884,0.225708278364537,29.1565974910772,2.68584711591732e-15,0.85
"1809",88,3,"mod2",NA,NA,NA,NA,4.96497032912346,0.350654461588569,14.159153448756,2.08847432356539e-08,0.85
