"","replicate","areas","species","species_tl1","species_tl2","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen"
"1",1,1,88,43,45,89,0.0459948320413437,1.01136363636364,1.97777777777778,2.06976744186047,0.386441105920969,1.95555555555556,2.04651162790698,5.66666666666667,1.29072169374612
"2",1,2,112,54,58,135,0.0431034482758621,1.20535714285714,2.32758620689655,2.5,0.388148148148148,1.93103448275862,2.07407407407407,4.68965517241379,1.58776772310809
"3",1,3,118,52,66,173,0.0504079254079254,1.46610169491525,2.62121212121212,3.32692307692308,0.362658291289385,1.78787878787879,2.26923076923077,4.06060606060606,1.66114860450277
"4",1,4,138,44,94,283,0.0684235976789168,2.05072463768116,3.01063829787234,6.43181818181818,0.317396895953252,1.46808510638298,3.13636363636364,4.3936170212766,1.40766413971755
"5",1,5,144,47,97,248,0.0543978942750603,1.72222222222222,2.55670103092783,5.27659574468085,0.340563215400624,1.48453608247423,3.06382978723404,4.25773195876289,1.44911657652352
"6",1,6,158,44,114,337,0.0671850079744817,2.13291139240506,2.95614035087719,7.65909090909091,0.310428021731282,1.3859649122807,3.59090909090909,4.21052631578947,1.30149457492566
"7",1,7,175,43,132,482,0.0849189570119803,2.75428571428571,3.65151515151515,11.2093023255814,0.250606911038033,1.32575757575758,4.06976744186047,4.00757575757576,1.30713465908547
"8",1,8,184,45,139,482,0.0770583533173461,2.6195652173913,3.46762589928058,10.7111111111111,0.305491468810798,1.32374100719424,4.08888888888889,3.94964028776978,1.39491352016071
"9",1,9,196,46,150,487,0.0705797101449275,2.48469387755102,3.24666666666667,10.5869565217391,0.285910047265874,1.30666666666667,4.26086956521739,3.64666666666667,1.27435627968147
"10",1,10,202,45,157,522,0.0738853503184713,2.58415841584158,3.32484076433121,11.6,0.29254561735735,1.28662420382166,4.48888888888889,3.49044585987261,1.29995504164073
"11",1,11,211,59,152,488,0.0544157002676182,2.31279620853081,3.21052631578947,8.27118644067797,0.29189062080086,1.38815789473684,3.57627118644068,3.84210526315789,1.60523144250808
"12",1,12,222,48,174,611,0.0731561302681992,2.75225225225225,3.51149425287356,12.7291666666667,0.260888082909882,1.27586206896552,4.625,3.66091954022989,1.34636907782953
"13",1,13,224,49,175,645,0.0752186588921283,2.87946428571429,3.68571428571429,13.1632653061224,0.276911243314705,1.28,4.57142857142857,3.71428571428571,1.34186668582143
"14",1,14,232,50,182,645,0.0708791208791209,2.7801724137931,3.54395604395604,12.9,0.27906736374016,1.27472527472527,4.64,3.54395604395604,1.38642494447508
"15",1,15,232,48,184,662,0.0749547101449275,2.85344827586207,3.59782608695652,13.7916666666667,0.271232464106753,1.26086956521739,4.83333333333333,3.67934782608696,1.35314914477266
"16",1,16,235,68,167,561,0.0494011976047904,2.38723404255319,3.35928143712575,8.25,0.284658475284459,1.40718562874252,3.45588235294118,3.92215568862275,1.4679127919745
"17",1,17,239,49,190,673,0.0722878625134264,2.81589958158996,3.54210526315789,13.734693877551,0.261281569517518,1.25789473684211,4.87755102040816,3.59473684210526,1.33156093593059
"18",1,18,244,50,194,707,0.0728865979381443,2.89754098360656,3.64432989690722,14.14,0.270807783950753,1.25773195876289,4.88,3.64432989690722,1.34984430410686
"19",2,1,47,27,20,34,0.062962962962963,0.723404255319149,1.7,1.25925925925926,0.413494809688581,2.35,1.74074074074074,5.3,1.68409541925901
"20",2,2,61,25,36,56,0.0622222222222222,0.918032786885246,1.55555555555556,2.24,0.389987244897959,1.69444444444444,2.44,4.30555555555556,1.11829291383799
"21",2,3,110,51,59,157,0.0521768029245597,1.42727272727273,2.66101694915254,3.07843137254902,0.327031522576981,1.86440677966102,2.15686274509804,5.23728813559322,1.79153314334072
"22",2,4,123,61,62,124,0.0327868852459016,1.00813008130081,2,2.0327868852459,0.414477107180021,1.98387096774194,2.01639344262295,5.40322580645161,1.68490276380709
"23",2,5,130,63,67,117,0.0277185501066098,0.9,1.74626865671642,1.85714285714286,0.498867703995909,1.94029850746269,2.06349206349206,4.34328358208955,1.45184949299896
"24",2,6,149,70,79,200,0.0361663652802893,1.34228187919463,2.53164556962025,2.85714285714286,0.349575,1.88607594936709,2.12857142857143,4.92405063291139,1.81248831488472
"25",2,7,161,48,113,373,0.0687684365781711,2.3167701863354,3.30088495575221,7.77083333333333,0.303387503683632,1.42477876106195,3.35416666666667,3.99115044247788,1.42328100249568
"26",2,8,163,85,78,191,0.0288084464555053,1.17177914110429,2.44871794871795,2.24705882352941,0.36750637318056,2.08974358974359,1.91764705882353,5.71794871794872,1.89407582076192
"27",2,9,166,38,128,379,0.0779194078947368,2.28313253012048,2.9609375,9.97368421052632,0.300137147471822,1.296875,4.36842105263158,3.625,1.31616927200569
"28",2,10,184,54,130,382,0.0544159544159544,2.07608695652174,2.93846153846154,7.07407407407407,0.29825799731367,1.41538461538462,3.40740740740741,3.50769230769231,1.22877380610904
"29",2,11,195,57,138,404,0.0513602847698958,2.07179487179487,2.92753623188406,7.08771929824561,0.322670571512597,1.41304347826087,3.42105263157895,3.81884057971015,1.53039434400509
"30",2,12,208,78,130,380,0.0374753451676529,1.82692307692308,2.92307692307692,4.87179487179487,0.328850415512465,1.6,2.66666666666667,4.41538461538462,1.65494774117671
"31",2,13,216,48,168,577,0.0715525793650794,2.6712962962963,3.43452380952381,12.0208333333333,0.270027543410156,1.28571428571429,4.5,3.80952380952381,1.37385671333374
"32",2,14,222,46,176,611,0.0754693675889328,2.75225225225225,3.47159090909091,13.2826086956522,0.293565055274148,1.26136363636364,4.82608695652174,3.72159090909091,1.334810540189
"33",2,15,230,52,178,640,0.0691443388072602,2.78260869565217,3.59550561797753,12.3076923076923,0.25984619140625,1.29213483146067,4.42307692307692,3.8314606741573,1.34272396384656
"34",2,16,235,50,185,650,0.0702702702702703,2.76595744680851,3.51351351351351,13,0.265628402366864,1.27027027027027,4.7,3.57297297297297,1.3480755062781
"35",2,17,240,50,190,691,0.0727368421052632,2.87916666666667,3.63684210526316,13.82,0.269036883142994,1.26315789473684,4.8,3.63684210526316,1.36658030226773
"36",2,18,244,50,194,707,0.0728865979381443,2.89754098360656,3.64432989690722,14.14,0.268267016639025,1.25773195876289,4.88,3.64432989690722,1.34984430410686
"37",3,1,82,34,48,115,0.0704656862745098,1.40243902439024,2.39583333333333,3.38235294117647,0.358412098298677,1.70833333333333,2.41176470588235,4.27083333333333,1.33794649338292
"38",3,2,96,59,37,63,0.0288593678424187,0.65625,1.7027027027027,1.06779661016949,0.532879818594104,2.59459459459459,1.6271186440678,5.64864864864865,2.21010362368265
"39",3,3,126,51,75,202,0.0528104575163399,1.6031746031746,2.69333333333333,3.96078431372549,0.347858053132046,1.68,2.47058823529412,4.56,1.77013754348375
"40",3,4,141,56,85,246,0.0516806722689076,1.74468085106383,2.89411764705882,4.39285714285714,0.310628594090819,1.65882352941176,2.51785714285714,4.88235294117647,1.59447150141452
"41",3,5,153,53,100,286,0.0539622641509434,1.86928104575163,2.86,5.39622641509434,0.30461147244364,1.53,2.88679245283019,4.3,1.52456739605474
"42",3,6,164,46,118,310,0.0571112748710391,1.89024390243902,2.6271186440678,6.73913043478261,0.36315296566077,1.38983050847458,3.56521739130435,3.96610169491525,1.4701975856376
"43",3,7,173,59,114,336,0.0499553969669938,1.94219653179191,2.94736842105263,5.69491525423729,0.333678784013606,1.51754385964912,2.93220338983051,4.25438596491228,1.6207475768639
"44",3,8,179,44,135,440,0.0740740740740741,2.45810055865922,3.25925925925926,10,0.282066115702479,1.32592592592593,4.06818181818182,4.02222222222222,1.33727623747427
"45",3,9,184,61,123,372,0.0495801679328269,2.02173913043478,3.02439024390244,6.0983606557377,0.327378887732686,1.49593495934959,3.01639344262295,4.17886178861789,1.4613520464505
"46",3,10,198,42,156,443,0.0676129426129426,2.23737373737374,2.83974358974359,10.547619047619,0.32125514015358,1.26923076923077,4.71428571428571,3.33974358974359,1.13355291462734
"47",3,11,204,69,135,411,0.044122383252818,2.01470588235294,3.04444444444444,5.95652173913043,0.324950716607171,1.51111111111111,2.95652173913043,3.91851851851852,1.50851450306686
"48",3,12,207,46,161,571,0.0770996489332973,2.75845410628019,3.54658385093168,12.4130434782609,0.26491760238743,1.28571428571429,4.5,3.81366459627329,1.28359776522477
"49",3,13,222,60,162,555,0.0570987654320988,2.5,3.42592592592593,9.25,0.287165002840678,1.37037037037037,3.7,3.88271604938272,1.41249477056753
"50",3,14,232,63,169,605,0.0568235183619799,2.60775862068966,3.57988165680473,9.6031746031746,0.274156136875896,1.37278106508876,3.68253968253968,4.00591715976331,1.40060452265738
