"","replicate","areas","species","species_tl1","species_tl2","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen"
"1",1,1,4,3,1,2,0.666666666666667,0.5,2,0.666666666666667,NA,4,1.33333333333333,NA,NA
"2",1,2,16,14,2,13,0.464285714285714,0.8125,6.5,0.928571428571429,NA,8,1.14285714285714,NA,0.870285269152673
"3",1,3,22,10,12,17,0.141666666666667,0.772727272727273,1.41666666666667,1.7,0.567474048442907,1.83333333333333,2.2,NA,0.873462839390127
"4",1,4,24,11,13,19,0.132867132867133,0.791666666666667,1.46153846153846,1.72727272727273,0.562326869806094,1.84615384615385,2.18181818181818,NA,0.844494219058764
"5",1,5,27,20,7,22,0.157142857142857,0.814814814814815,3.14285714285714,1.1,0.466942148760331,3.85714285714286,1.35,NA,1.31200973302463
"6",1,6,35,13,22,37,0.129370629370629,1.05714285714286,1.68181818181818,2.84615384615385,0.476260043827612,1.59090909090909,2.69230769230769,NA,1.06806211823545
"7",1,7,38,4,34,40,0.294117647058824,1.05263157894737,1.17647058823529,10,0.376875,1.11764705882353,9.5,NA,0.77567175188134
"8",1,8,41,17,24,47,0.115196078431373,1.14634146341463,1.95833333333333,2.76470588235294,0.511543684925306,1.70833333333333,2.41176470588235,NA,0.86380181454375
"9",1,9,41,35,6,48,0.228571428571429,1.17073170731707,8,1.37142857142857,0.467013888888889,6.83333333333333,1.17142857142857,NA,2.0213272592257
"10",1,10,42,11,31,51,0.149560117302053,1.21428571428571,1.64516129032258,4.63636363636364,0.447520184544406,1.35483870967742,3.81818181818182,NA,1.02808058726187
"11",1,11,46,26,20,55,0.105769230769231,1.19565217391304,2.75,2.11538461538462,0.431735537190083,2.3,1.76923076923077,NA,1.58357173959294
"12",1,12,51,38,13,61,0.123481781376518,1.19607843137255,4.69230769230769,1.60526315789474,0.480784735286214,3.92307692307692,1.34210526315789,NA,1.46349751793855
"13",1,13,53,33,20,64,0.096969696969697,1.20754716981132,3.2,1.93939393939394,0.478271484375,2.65,1.60606060606061,NA,1.33260563852512
"14",1,14,55,44,11,67,0.138429752066116,1.21818181818182,6.09090909090909,1.52272727272727,0.508799287146358,5,1.25,NA,1.48917531796809
"15",1,15,57,39,18,71,0.101139601139601,1.24561403508772,3.94444444444444,1.82051282051282,0.50724062685975,3.16666666666667,1.46153846153846,NA,1.36220900820397
"16",1,16,60,57,3,75,0.43859649122807,1.25,25,1.31578947368421,NA,20,1.05263157894737,NA,2.4
"17",1,17,62,12,50,77,0.128333333333333,1.24193548387097,1.54,6.41666666666667,0.495361781076067,1.24,5.16666666666667,NA,0.71526618143668
"18",1,18,62,18,44,82,0.103535353535354,1.32258064516129,1.86363636363636,4.55555555555556,0.489143367043427,1.40909090909091,3.44444444444444,NA,0.855255363477017
"19",1,19,63,37,26,85,0.0883575883575884,1.34920634920635,3.26923076923077,2.2972972972973,0.462283737024221,2.42307692307692,1.7027027027027,NA,1.13216575993027
