"","replicate","areas","species","species_tl1","species_tl2","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen"
"1",1,1,21,8,13,19,0.182692307692308,0.904761904761905,2.05263157894737,3.73684210526316,0.554016620498615,2.26869806094183,4.13019390581717,2.07692307692308,1.06925138752546
"2",1,2,28,10,18,29,0.161111111111111,1.03571428571429,2.17241379310345,4.03448275862069,0.549346016646849,2.0975029726516,3.89536266349584,2.33333333333333,0.944785306414649
"3",1,3,38,17,21,45,0.126050420168067,1.18421052631579,3.04444444444444,4.24444444444444,0.47358024691358,2.57086419753086,3.5841975308642,2.52380952380952,1.20272471381169
"4",1,4,48,19,29,51,0.0925589836660617,1.0625,2.64705882352941,5.35294117647059,0.522106881968474,2.49134948096886,5.03806228373702,2.51724137931034,1.19726621971587
"5",1,5,54,23,31,67,0.093969144460028,1.24074074074074,3.32835820895522,5.92537313432836,0.473602138560927,2.68255736244152,4.77567386945868,2.48387096774194,1.30119920897109
"6",1,6,54,23,31,68,0.0953716690042076,1.25925925925926,3.67647058823529,6,0.480536332179931,2.91955017301038,4.76470588235294,2.54838709677419,1.45592116560305
"7",1,7,55,23,32,71,0.0964673913043478,1.29090909090909,3.61971830985915,6.09859154929578,0.457647292203928,2.80400714144019,4.72426105931363,2.375,1.38760809261268
"8",1,8,54,22,32,72,0.102272727272727,1.33333333333333,3.63888888888889,6.58333333333333,0.458912037037037,2.72916666666667,4.9375,2.59375,1.34703976520081
"9",1,9,56,24,32,74,0.0963541666666667,1.32142857142857,3.89189189189189,6.32432432432432,0.481008035062089,2.94521548575603,4.78597516435354,2.46875,1.46938726754076
"10",1,10,59,24,35,76,0.0904761904761905,1.28813559322034,3.52631578947368,6.26315789473684,0.502770083102493,2.73753462603878,4.86218836565097,2.25714285714286,1.35100616186109
"11",1,11,62,26,36,85,0.0908119658119658,1.37096774193548,3.98823529411765,6.36470588235294,0.443044982698962,2.90906574394464,4.64249134948097,2.36111111111111,1.44996845627551
"12",1,12,62,25,37,86,0.092972972972973,1.38709677419355,3.81395348837209,6.81395348837209,0.442266089778259,2.74959437533802,4.91238507301244,2.37837837837838,1.35997303260707
"13",1,13,64,26,38,87,0.0880566801619433,1.359375,3.75862068965517,6.72413793103448,0.433875016514731,2.764962346413,4.94649227110583,2.36842105263158,1.36726316182426
"14",1,14,64,27,37,89,0.0890890890890891,1.390625,3.98876404494382,6.34831460674157,0.442873374573918,2.86832470647645,4.56508016664562,2.40540540540541,1.42273287990042
"15",1,15,64,26,38,89,0.090080971659919,1.390625,3.96629213483146,6.66292134831461,0.45082691579346,2.85216513066532,4.79131422800151,2.36842105263158,1.42135351060815
"16",1,16,65,27,38,90,0.087719298245614,1.38461538461538,3.95555555555556,6.6,0.44716049382716,2.85679012345679,4.76666666666667,2.36842105263158,1.41905133421779
"17",2,1,34,19,15,37,0.129824561403509,1.08823529411765,4.35135135135135,2.67567567567568,0.468955441928415,3.99853907962016,2.45872899926954,0.2,2.05084759551506
"18",2,2,40,16,24,49,0.127604166666667,1.225,3.3265306122449,5.81632653061224,0.457309454394003,2.7155351936693,4.74802165764265,2.625,1.35059956219299
"19",2,3,39,17,22,49,0.131016042780749,1.25641025641026,3.28571428571429,5.44897959183673,0.46064139941691,2.61516034985423,4.33694294044148,2.54545454545455,1.25080716811473
"20",2,4,48,20,28,61,0.108928571428571,1.27083333333333,3.81967213114754,5.09836065573771,0.474066111260414,3.00564364418167,4.01182477828541,2.39285714285714,1.51517240963731
"21",2,5,46,18,28,59,0.117063492063492,1.28260869565217,3.3728813559322,6.01694915254237,0.485779948290721,2.62970410801494,4.69118069520253,2.75,1.29664753480971
"22",2,6,53,22,31,60,0.0879765395894428,1.13207547169811,3.26666666666667,4.83333333333333,0.521944444444444,2.88555555555556,4.26944444444444,2.29032258064516,1.44131353538636
"23",2,7,49,22,27,62,0.104377104377104,1.26530612244898,3.32258064516129,4.74193548387097,0.469823100936524,2.62591050988554,3.74765868886576,2.74074074074074,1.23636702694855
"24",2,8,57,23,34,79,0.101023017902813,1.3859649122807,4.0379746835443,6.31645569620253,0.473962506008653,2.9134754045826,4.55744271751322,2.47058823529412,1.46172661013669
"25",2,9,54,23,31,71,0.0995792426367461,1.31481481481481,3.25352112676056,5.11267605633803,0.461218012299147,2.47450902598691,3.88851418369371,2.67741935483871,1.14831719303017
"26",2,10,65,27,38,90,0.087719298245614,1.38461538461538,3.95555555555556,6.6,0.44716049382716,2.85679012345679,4.76666666666667,2.36842105263158,1.41905133421779
"27",2,11,65,27,38,90,0.087719298245614,1.38461538461538,3.95555555555556,6.6,0.44716049382716,2.85679012345679,4.76666666666667,2.36842105263158,1.41905133421779
