"","r","area","area_ha","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"788",73,4,0.2677,"mod3",1.10778807230375,0.0229448683474933,48.2804283522844,7.20201718193349e-08,NA,NA,NA,NA,0.96
"809",75,4,0.2995,"mod3",0.907133108031388,0.0723790483285383,12.53308974047,5.73901196574367e-05,NA,NA,NA,NA,0.96
"820",76,4,0.285,"mod3",0.990197550310973,0.0611659520866458,16.1887049335599,3.5336057376987e-06,NA,NA,NA,NA,0.96
"831",77,4,0.2696,"mod3",1.28436018315753,0.0611399677827032,21.0068835450201,0.000235968607322947,NA,NA,NA,NA,0.96
"842",78,4,0.272,"mod3",1.11140284046108,0.143438974768034,7.74826257827355,0.00149480066638038,NA,NA,NA,NA,0.96
"853",79,4,0.2507,"mod3",1.02103388290613,0.0509040514973874,20.0580082109678,9.97005989798131e-07,NA,NA,NA,NA,0.96
"863",80,4,0.2643,"mod3",0.701228781793235,0.0391073376230498,17.930874981884,9.59339224261596e-08,NA,NA,NA,NA,0.96
"874",81,4,0.2819,"mod3",0.836665014294705,0.068029155759976,12.2986240965075,6.29128974687588e-05,NA,NA,NA,NA,0.96
"885",82,4,0.2332,"mod3",1.34907648533732,0.0632835529295162,21.3179637186284,2.86301866226201e-05,NA,NA,NA,NA,0.96
"896",83,4,0.2742,"mod3",0.870500522873032,0.0350437761648726,24.8403744727033,1.33265699857928e-09,NA,NA,NA,NA,0.96
"907",84,4,0.2804,"mod3",0.849542074731002,0.0544303464767017,15.6078755643167,2.83096908822749e-07,NA,NA,NA,NA,0.96
"918",85,4,0.1957,"mod3",1.16627831068763,0.0231464486717602,50.3869222975251,3.17563143874671e-10,NA,NA,NA,NA,0.96
"929",86,4,0.2671,"mod3",1.14594874108945,0.0836934403533815,13.6922169318273,0.000164804243686092,NA,NA,NA,NA,0.96
"940",87,4,0.2838,"mod3",0.996626370999121,0.0308671944919947,32.2875592486254,7.07108228518152e-09,NA,NA,NA,NA,0.96
"951",88,4,0.3837,"mod3",0.948999470131777,0.0846662554189155,11.2087096026188,1.00366032430114e-05,NA,NA,NA,NA,0.96
"962",89,4,0.3479,"mod3",0.825187058049976,0.0398527850464053,20.705881837094,1.53898150953321e-07,NA,NA,NA,NA,0.96
"973",90,4,0.1793,"mod3",1.20140638613298,0.0382546645595174,31.4054874083084,8.5739376944753e-09,NA,NA,NA,NA,0.96
"983",91,4,0.1793,"mod3",1.02415441778119,0.0632428139480174,16.1940045650561,2.12515530639839e-07,NA,NA,NA,NA,0.96
"994",92,4,0.288,"mod3",0.797604244831225,0.0738531502850452,10.7998675987791,3.7288177361309e-05,NA,NA,NA,NA,0.96
"1005",93,4,0.2382,"mod3",1.0695118267456,0.18547958394938,5.7661970335101,0.00448922252635527,NA,NA,NA,NA,0.96
