"","replicate","areas","areas_ha","species","species_tl1","species_tl2","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen"
"1",1,1,0.092,33,25,8,16,0.08,0.484848484848485,2,0.64,0.5390625,4.125,1.32,6.875,3.30735786866625
"2",1,2,0.2053,55,31,24,53,0.071236559139785,0.963636363636364,2.20833333333333,1.70967741935484,0.493058027767889,2.29166666666667,1.7741935483871,4.375,2.35010472524637
"3",1,3,0.2367,64,42,22,64,0.0692640692640693,1,2.90909090909091,1.52380952380952,0.463623046875,2.90909090909091,1.52380952380952,4.77272727272727,2.90990248419642
"4",1,4,0.2826,69,45,24,74,0.0685185185185185,1.07246376811594,3.08333333333333,1.64444444444444,0.465120525931337,2.875,1.53333333333333,4,3.8877018548493
"5",1,5,0.3487,80,46,34,129,0.0824808184143223,1.6125,3.79411764705882,2.80434782608696,0.327864911964425,2.35294117647059,1.73913043478261,4.70588235294118,2.30417541298754
"6",1,6,0.3816,85,46,39,103,0.0574136008918618,1.21176470588235,2.64102564102564,2.23913043478261,0.446696201338486,2.17948717948718,1.84782608695652,4.23076923076923,2.12925734845995
"7",1,7,0.4253,95,54,41,132,0.0596205962059621,1.38947368421053,3.21951219512195,2.44444444444444,0.450183654729109,2.31707317073171,1.75925925925926,3.82926829268293,2.82205743252653
"8",1,8,0.5028,98,53,45,148,0.0620545073375262,1.51020408163265,3.28888888888889,2.79245283018868,0.382258948137326,2.17777777777778,1.84905660377358,3.82222222222222,2.66598204904659
"9",1,9,0.5521,104,55,49,167,0.0619666048237477,1.60576923076923,3.40816326530612,3.03636363636364,0.387141883896877,2.12244897959184,1.89090909090909,3.95918367346939,2.7468296487165
"10",1,10,0.6644,111,55,56,199,0.0646103896103896,1.79279279279279,3.55357142857143,3.61818181818182,0.384459988384132,1.98214285714286,2.01818181818182,3.66071428571429,2.56145933247963
"11",1,11,0.7133,119,58,61,227,0.0641605426794799,1.90756302521008,3.72131147540984,3.91379310344828,0.348483378291836,1.95081967213115,2.05172413793103,3.72131147540984,2.44039970348216
"12",2,1,0.1123,34,28,6,14,0.0833333333333333,0.411764705882353,2.33333333333333,0.5,0.428571428571429,5.66666666666667,1.21428571428571,9.66666666666667,2.94114605826613
"13",2,2,0.1898,46,29,17,40,0.0811359026369168,0.869565217391304,2.35294117647059,1.37931034482759,0.399375,2.70588235294118,1.58620689655172,3.88235294117647,1.94742477012441
"14",2,3,0.2335,62,38,24,82,0.0899122807017544,1.32258064516129,3.41666666666667,2.15789473684211,0.446460440214158,2.58333333333333,1.63157894736842,5.91666666666667,2.72994486269394
"15",2,4,0.2649,72,43,29,84,0.0673616680032077,1.16666666666667,2.89655172413793,1.95348837209302,0.397534013605442,2.48275862068966,1.67441860465116,5.44827586206897,2.24855437624925
