"","r","area","area_ha","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"11",2,1,0.0329,"mod2",NA,NA,NA,NA,11.0229488382204,10.4039092664871,1.05950066997675,0.481612645348853,0.67741935483871
"22",3,1,0.0314,"mod2",NA,NA,NA,NA,2.10695719883284,2.16711580375911,0.972240244465976,0.508959984665281,0.67741935483871
"33",4,1,0.092,"mod2",NA,NA,NA,NA,4.82424015435829,3.29770244335761,1.46290947628568,0.381725695257264,0.67741935483871
"75",8,1,0.0329,"mod2",NA,NA,NA,NA,4.7475845913935,1.47277528566682,3.22356345709859,0.0842504524354637,0.67741935483871
"96",10,1,0.0314,"mod2",NA,NA,NA,NA,18.715569108754,13.5530171193825,1.38091533006243,0.399005037138813,0.67741935483871
"117",12,1,0.092,"mod2",NA,NA,NA,NA,2.95917942307106,2.46802971898614,1.19900477709267,0.442543913741199,0.67741935483871
"155",16,1,0.0489,"mod2",NA,NA,NA,NA,2.5733058307758,2.31924389105895,1.10954515853046,0.466971064714241,0.67741935483871
"174",18,1,0.0775,"mod2",NA,NA,NA,NA,4.32808246877276,3.06722727730514,1.41107328459057,0.392493927372033,0.67741935483871
"185",19,1,0.0459,"mod2",NA,NA,NA,NA,3.09500872503556,2.52347100788636,1.22648871945151,0.435462095007091,0.67741935483871
"226",23,1,0.0329,"mod2",NA,NA,NA,NA,11.0229488382204,10.4039092664871,1.05950066997675,0.481612645348853,0.67741935483871
"237",24,1,0.1123,"mod2",NA,NA,NA,NA,12.9842626805763,9.20169910196556,1.41107229618091,0.392494137741322,0.67741935483871
"247",25,1,0.0314,"mod2",NA,NA,NA,NA,19.5614783429414,16.2394924842639,1.20456217224132,0.441096474160187,0.67741935483871
"268",27,1,0.1123,"mod2",NA,NA,NA,NA,2.23024798114903,2.20317866264477,1.012286483599,0.496113018072297,0.67741935483871
"290",29,1,0.0329,"mod2",NA,NA,NA,NA,11.0229488382204,10.4039092664871,1.05950066997675,0.481612645348853,0.67741935483871
"301",30,1,0.0329,"mod2",NA,NA,NA,NA,2.36683798384213,2.24698238624685,1.05334069297956,0.483465917542549,0.67741935483871
"386",38,1,0.0437,"mod2",NA,NA,NA,NA,28.2460205803365,30.0699087977356,0.939345069861457,0.519904422985493,0.67741935483871
"459",45,1,0.0437,"mod2",NA,NA,NA,NA,3.62171382619535,2.74875769371532,1.31758206060721,0.413302916783382,0.67741935483871
"469",46,1,0.0459,"mod2",NA,NA,NA,NA,5.50185039198585,2.89284969802233,1.90187910410525,0.308168934106316,0.67741935483871
"480",47,1,0.0661,"mod2",NA,NA,NA,NA,2.48707017398679,2.28828605628986,1.08687030939621,0.473514671205246,0.67741935483871
"490",48,1,0.0489,"mod2",NA,NA,NA,NA,14.3062889232394,7.94548357553047,1.80055610048685,0.322745457782117,0.67741935483871
"501",49,1,0.0314,"mod2",NA,NA,NA,NA,3.83321848527757,2.84256516041913,1.34850681301968,0.406213202331808,0.67741935483871
"521",51,1,0.0437,"mod2",NA,NA,NA,NA,3.27892086014988,1.24917621353874,2.62486655174226,0.11964427150857,0.67741935483871
"540",53,1,0.1133,"mod2",NA,NA,NA,NA,4.32808246877276,3.06722727730514,1.41107328459057,0.392493927372033,0.67741935483871
