"","r","area","area_ha","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"1",1,1,0.0489,"mod2",NA,NA,NA,NA,4.32808246877276,3.06722727730514,1.41107328459057,0.392493927372033,0.634920634920635
"112",12,1,0.0661,"mod2",NA,NA,NA,NA,6.81542169200229,4.25045655870211,1.60345638118541,0.354998237785113,0.634920634920635
"175",18,1,0.1123,"mod2",NA,NA,NA,NA,4.32808246877276,3.06722727730514,1.41107328459057,0.392493927372033,0.634920634920635
"246",25,1,0.0489,"mod2",NA,NA,NA,NA,3.09500872503556,2.52347100788636,1.22648871945151,0.435462095007091,0.634920634920635
"257",26,1,0.0459,"mod2",NA,NA,NA,NA,8.07194801415136,2.82098136658036,2.86139713993798,0.214038671265841,0.634920634920635
"310",31,1,0.1133,"mod2",NA,NA,NA,NA,3.869873020633,2.46799217494595,1.56802483408107,0.361416562805607,0.634920634920635
"360",36,1,0.0314,"mod2",NA,NA,NA,NA,4.67288448511932,2.47537707414191,1.88774653119836,0.310128961595634,0.634920634920635
"371",37,1,0.092,"mod2",NA,NA,NA,NA,14.1129448392404,8.9476452342381,1.5772803312806,0.359720088780422,0.634920634920635
"393",39,1,0.0661,"mod2",NA,NA,NA,NA,6.81542169200229,4.25045655870211,1.60345638118541,0.354998237785113,0.634920634920635
"403",40,1,0.0314,"mod2",NA,NA,NA,NA,3.05892924437462,1.23851028943754,2.46984564477363,0.132192065379251,0.634920634920635
"414",41,1,0.0437,"mod2",NA,NA,NA,NA,3.84060038810073,1.58644342286711,2.42088708159525,0.136536308090536,0.634920634920635
"436",43,1,0.0661,"mod2",NA,NA,NA,NA,6.81542169200229,4.25045655870211,1.60345638118541,0.354998237785113,0.634920634920635
"447",44,1,0.0437,"mod2",NA,NA,NA,NA,3.09500872503556,2.52347100788636,1.22648871945151,0.435462095007091,0.634920634920635
"457",45,1,0.0437,"mod2",NA,NA,NA,NA,6.81542169200229,4.25045655870211,1.60345638118541,0.354998237785113,0.634920634920635
"468",46,1,0.1133,"mod2",NA,NA,NA,NA,4.32808246877276,3.06722727730514,1.41107328459057,0.392493927372033,0.634920634920635
"489",48,1,0.0489,"mod2",NA,NA,NA,NA,8.22221473642135,4.01049243781762,2.05017584845407,0.176843359884287,0.634920634920635
"510",50,1,0.1123,"mod2",NA,NA,NA,NA,3.869873020633,2.46799217494595,1.56802483408107,0.361416562805607,0.634920634920635
"531",52,1,0.0314,"mod2",NA,NA,NA,NA,5.50185039198585,2.89284969802233,1.90187910410525,0.308168934106316,0.634920634920635
"553",54,1,0.0489,"mod2",NA,NA,NA,NA,6.51998725466385,1.62071492887501,4.02290812437297,0.0565955655932013,0.634920634920635
"622",61,1,0.0314,"mod2",NA,NA,NA,NA,3.66258312574697,2.38832485268245,1.53353641219842,0.367865223695035,0.634920634920635
"653",64,1,0.0329,"mod2",NA,NA,NA,NA,8.65616467554789,6.13445429813001,1.41107330087805,0.39249392390547,0.634920634920635
"675",66,1,0.092,"mod2",NA,NA,NA,NA,4.67288448511932,2.47537707414191,1.88774653119836,0.310128961595634,0.634920634920635
"707",69,1,0.092,"mod2",NA,NA,NA,NA,3.05892924437462,1.23851028943754,2.46984564477363,0.132192065379251,0.634920634920635
"718",70,1,0.1123,"mod2",NA,NA,NA,NA,4.32808246877276,3.06722727730514,1.41107328459057,0.392493927372033,0.634920634920635
"729",71,1,0.0489,"mod2",NA,NA,NA,NA,4.67288448511932,2.47537707414191,1.88774653119836,0.310128961595634,0.634920634920635
"740",72,1,0.0661,"mod2",NA,NA,NA,NA,4.32808246877276,3.06722727730514,1.41107328459057,0.392493927372033,0.634920634920635
"782",76,1,0.0661,"mod2",NA,NA,NA,NA,3.09500872503556,2.52347100788636,1.22648871945151,0.435462095007091,0.634920634920635
"803",78,1,0.0489,"mod2",NA,NA,NA,NA,5.49140831866996,2.49575440584056,2.20029995973121,0.27156680257391,0.634920634920635
"814",79,1,0.1133,"mod2",NA,NA,NA,NA,3.58325086400683,1.27109163534287,2.81903425714879,0.106169241342792,0.634920634920635
"825",80,1,0.0459,"mod2",NA,NA,NA,NA,4.32808246877276,3.06722727730514,1.41107328459057,0.392493927372033,0.634920634920635
"845",82,1,0.0489,"mod2",NA,NA,NA,NA,5.57002961726765,3.65061514335702,1.52577836844932,0.369344013117503,0.634920634920635
"878",85,1,0.0661,"mod2",NA,NA,NA,NA,6.76344251399585,2.83953184531027,2.38188648074726,0.253048701547958,0.634920634920635
"889",86,1,0.0437,"mod2",NA,NA,NA,NA,7.12877040648876,1.81514902834392,3.92737471974564,0.0591399746072669,0.634920634920635
"900",87,1,0.0437,"mod2",NA,NA,NA,NA,5.57002961726765,3.65061514335702,1.52577836844932,0.369344013117503,0.634920634920635
"922",89,1,0.0661,"mod2",NA,NA,NA,NA,3.09500872503556,2.52347100788636,1.22648871945151,0.435462095007091,0.634920634920635
"962",93,1,0.0437,"mod2",NA,NA,NA,NA,3.58325086400683,1.27109163534287,2.81903425714879,0.106169241342792,0.634920634920635
"983",95,1,0.0329,"mod2",NA,NA,NA,NA,4.32808246877276,3.06722727730514,1.41107328459057,0.392493927372033,0.634920634920635
"1003",97,1,0.1133,"mod2",NA,NA,NA,NA,2.68864045232154,2.3620992954602,1.1382419263614,0.458898369583925,0.634920634920635
"1014",98,1,0.0437,"mod2",NA,NA,NA,NA,9.79804168331775,5.90542445566922,1.65915960095156,0.34531100949925,0.634920634920635
"1033",100,1,0.0314,"mod2",NA,NA,NA,NA,7.98839180563605,4.80940471757377,1.66099388068676,0.345000097873834,0.634920634920635
"51",6,2,0.1582,"mod2",NA,NA,NA,NA,5.49140831866996,2.49575440584056,2.20029995973121,0.27156680257391,0.482352941176471
"82",9,2,0.1089,"mod2",NA,NA,NA,NA,9.79804168331775,5.90542445566922,1.65915960095156,0.34531100949925,0.482352941176471
"102",11,2,0.1104,"mod2",NA,NA,NA,NA,8.07194801415136,2.82098136658036,2.86139713993798,0.214038671265841,0.482352941176471
"113",12,2,0.1784,"mod2",NA,NA,NA,NA,5.49140831866996,2.49575440584056,2.20029995973121,0.27156680257391,0.482352941176471
"122",13,2,0.1413,"mod2",NA,NA,NA,NA,4.32808246877276,3.06722727730514,1.41107328459057,0.392493927372033,0.482352941176471
"155",16,2,0.0643,"mod2",NA,NA,NA,NA,5.7099668097893,1.41085849651603,4.04715768724466,0.0155120554933239,0.482352941176471
"176",18,2,0.2043,"mod2",NA,NA,NA,NA,4.66822952232836,1.73666433142366,2.68804364658167,0.115007666572907,0.482352941176471
"206",21,2,0.1462,"mod2",NA,NA,NA,NA,6.51998725466385,1.62071492887501,4.02290812437297,0.0565955655932013,0.482352941176471
