"","r","area","area_ha","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,2,0.1379,"mod2",NA,NA,NA,NA,12.9301328383701,4.52815711857266,2.85549562433158,0.103880320667301
"2",1,3,0.1868,"mod2",NA,NA,NA,NA,6.5296649565047,2.3759963990483,2.74817965175374,0.0708502982924787
"3",1,4,0.2529,"mod2",NA,NA,NA,NA,4.51360460428393,2.37685620156547,1.89898093174973,0.197972837840733
"4",1,5,0.3304,"mod3",1.61309582727559,0.0966088754112252,16.6971804651414,0.000467693862188006,NA,NA,NA,NA
"5",1,6,0.3797,"mod4",0.221833729867881,0.436279111769932,0.50846745554223,0.700534947149591,0.32925135471568,0.544052075242555,0.605183528743805,0.653537384450712
"6",1,7,0.493,"mod3",0.970561143337026,0.228549700424599,4.24660868744924,0.0131937302498373,NA,NA,NA,NA
"7",1,8,0.5367,"mod3",0.62244855749332,0.147188430939166,4.22892311251408,0.0133815848942183,NA,NA,NA,NA
"8",1,9,0.649,"mod2",NA,NA,NA,NA,15.0397219623459,4.40991338073373,3.41043477816419,0.027016590822309
"9",1,10,0.6804,"mod3",0.835948839262116,0.135876120621223,6.15228662284566,0.00354109317524191,NA,NA,NA,NA
"10",1,11,0.7133,"mod1",-1.33149907322575,0.372127515796971,-3.57807207664858,0.0159072530677199,1.83434004949624,0.405439038982633,4.52433010422268,0.00625795610042765
"11",2,1,0.0329,"mod2",NA,NA,NA,NA,11.0229488382204,10.4039092664871,1.05950066997675,0.481612645348853
"12",2,2,0.0818,"mod4",0.215313018010846,0.435192940179257,0.49475301212873,0.70751063822564,0.335581289650046,0.49043459489818,0.684252891498644,0.617977799616217
"13",2,3,0.1255,"mod2",NA,NA,NA,NA,3.65371347387009,2.76283324843539,1.32245168105575,0.412172501907032
"14",2,4,0.2378,"mod4",0.218199468110065,0.482306957544989,0.452407879871215,0.729529214939628,0.335559492340707,0.560048888837246,0.599161071522495,0.656351110852144
"15",2,5,0.3153,"mod3",1.60288809838922,0.219749599853613,7.29415707449293,0.00532002175167018,NA,NA,NA,NA
"16",2,6,0.3612,"mod2",NA,NA,NA,NA,3.91558092358675,2.87950007447446,1.35981275301804,0.403673235439591
"17",2,7,0.4105,"mod3",0.833315209135259,0.106647082044976,7.81376473839037,0.000550373751982006,NA,NA,NA,NA
"18",2,8,0.5025,"mod2",NA,NA,NA,NA,3.03674955863752,2.49952601998318,1.21493016450293,0.438417139890179
