"","r","area","area_ha","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"425",39,7,0.5336,"mod3",0.981128595555646,0.0228018519467621,43.0284609270506,1.10362090378259e-12,NA,NA,NA,NA,0.87
"436",40,7,0.4318,"mod3",1.03140388197379,0.0258747459509914,39.8614109652453,2.36094198876902e-12,NA,NA,NA,NA,0.87
"447",41,7,0.4397,"mod3",0.998790302852576,0.0235928725118587,42.3344085104748,1.29744687989264e-12,NA,NA,NA,NA,0.87
"469",43,7,0.3826,"mod3",1.0822093404336,0.0225431627889109,48.0061005887756,3.71122718536102e-13,NA,NA,NA,NA,0.87
"480",44,7,0.4081,"mod3",1.04835079507389,0.022348742217238,46.9087157068408,5.06130574610244e-14,NA,NA,NA,NA,0.87
"491",45,7,0.4397,"mod3",0.998790302852576,0.0235928725118587,42.3344085104748,1.29744687989264e-12,NA,NA,NA,NA,0.87
"502",46,7,0.5363,"mod3",0.950818972538523,0.0252311712605036,37.6842978362609,5.54968425798367e-13,NA,NA,NA,NA,0.87
"513",47,7,0.4917,"mod3",1.0093668293692,0.0361427641767984,27.9272173105443,4.70149342702418e-10,NA,NA,NA,NA,0.87
"524",48,7,0.3643,"mod3",1.11715841581336,0.0233041501422696,47.9381744879439,3.76393868965825e-13,NA,NA,NA,NA,0.87
"535",49,7,0.4447,"mod3",1.06270277128698,0.0208173887234219,51.0488027776182,2.00409315553487e-14,NA,NA,NA,NA,0.87
"546",50,7,0.4268,"mod3",1.00911763439565,0.0317137750719275,31.819536845013,1.46859537865932e-10,NA,NA,NA,NA,0.87
"557",51,7,0.4706,"mod3",1.01749368949388,0.0303187338821472,33.5599004051095,1.30405962131354e-11,NA,NA,NA,NA,0.87
"568",52,7,0.394,"mod3",1.14109476648314,0.0254967575524574,44.754505122286,8.46771392929572e-14,NA,NA,NA,NA,0.87
"579",53,7,0.5096,"mod3",1.0065303778693,0.0209276375183653,48.0957478829614,3.84957525621351e-14,NA,NA,NA,NA,0.87
"590",54,7,0.4689,"mod3",0.941096901563482,0.0446442231623328,21.0799255738311,1.28264290263493e-09,NA,NA,NA,NA,0.87
"601",55,7,0.4672,"mod3",0.969179150187466,0.0216247259373801,44.8181009550812,7.35666042185547e-13,NA,NA,NA,NA,0.87
"612",56,7,0.4001,"mod3",1.05767252260536,0.0370116508403408,28.5767453920903,6.40832385190385e-11,NA,NA,NA,NA,0.87
"623",57,7,0.3929,"mod3",1.09368353374962,0.0227309277612681,48.1143376652307,3.62890318917557e-13,NA,NA,NA,NA,0.87
"634",58,7,0.4531,"mod3",1.0491987481793,0.0200657454332425,52.2880523761215,1.58419471193779e-13,NA,NA,NA,NA,0.87
"645",59,7,0.4874,"mod3",0.967046501745623,0.0291190671369509,33.2100783722731,1.00230934752534e-10,NA,NA,NA,NA,0.87
"656",60,7,0.4749,"mod3",0.990608712442025,0.0217589200493232,45.5265569337315,5.98516887007159e-11,NA,NA,NA,NA,0.87
"667",61,7,0.4456,"mod3",1.03337341798063,0.0324992798114641,31.7968097747233,2.22675690985012e-11,NA,NA,NA,NA,0.87
"678",62,7,0.4665,"mod3",1.03767484276117,0.0190103240581021,54.5848055819394,9.61904223198166e-15,NA,NA,NA,NA,0.87
"689",63,7,0.5081,"mod3",0.952702033288323,0.027377910774221,34.7982006788256,9.1025124317653e-12,NA,NA,NA,NA,0.87
"700",64,7,0.5148,"mod3",0.972154271419223,0.0197943875829343,49.1126218149515,3.0165861698402e-12,NA,NA,NA,NA,0.87
"711",65,7,0.4958,"mod3",0.929769729510915,0.0214836635967144,43.2779877289231,1.04191049056695e-12,NA,NA,NA,NA,0.87
"722",66,7,0.457,"mod3",1.06431493567886,0.0336637755987339,31.6160298941301,1.55517282381319e-10,NA,NA,NA,NA,0.87
"733",67,7,0.416,"mod3",0.968725976223286,0.0376542441812982,25.7268734849397,1.80875062960616e-10,NA,NA,NA,NA,0.87
