"","replicate","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"44401",1,1,"Arctic","mod1",-0.678726594540132,0.08935994951577,-7.59542276174129,3.59088415063523e-07,7.33727704715428,0.829798650055751,8.84223786898342,3.67406877369905e-08,0.881578947368421
"44529",2,1,"Arctic","mod1",-0.752426839640279,0.136360647909474,-5.51791775102004,7.5764746217671e-05,5.84991839005753,0.9063596843891,6.45430119059241,1.51184581707088e-05,0.881578947368421
"44654",3,1,"Arctic","mod1",-0.862109291654458,0.109453083190299,-7.87651902099063,6.78151530379268e-07,6.45367873111014,0.72850232008505,8.85883071773429,1.44168331348699e-07,0.881578947368421
"44792",4,1,"Arctic","mod1",-0.747553289611814,0.0887148851175112,-8.42646968004985,1.16061051340379e-07,7.09283228037665,0.735559595718105,9.64277037736436,1.55857894743641e-08,0.881578947368421
"44921",5,1,"Arctic","mod1",-0.862743477013507,0.113180434955687,-7.62272628967448,1.03090432267495e-05,3.47625878355266,0.377171344002811,9.21665667030832,1.65990404107945e-06,0.881578947368421
"45275",8,1,"Arctic","mod1",-0.800531209753336,0.0892958182567601,-8.9649350370641,1.92184704311655e-08,7.38149169845064,0.732083303333199,10.0828575994596,2.753381600518e-09,0.881578947368421
"45397",9,1,"Arctic","mod1",-1.00254923994014,0.11282441631388,-8.88592445407406,2.30841537676265e-07,5.58810342185832,0.569369755233785,9.81454208006505,6.38879905436843e-08,0.881578947368421
"45546",10,1,"Arctic","mod1",-2.50287991923884,0.479025731610048,-5.224938357333,0.00339595293623594,1.07406567387069,0.185888340485504,5.77801529168231,0.00218395124530676,0.881578947368421
"45659",11,1,"Arctic","mod1",-0.745418670448988,0.08975136099651,-8.30537456114981,6.50330339958174e-08,7.74438213192652,0.822959728372488,9.41040231366128,8.70225872505994e-09,0.881578947368421
"45761",12,1,"Arctic","mod1",-0.769660480389117,0.111410396367715,-6.90833625480351,3.52027007243776e-06,6.76293957763436,0.864115483128106,7.82643027428748,7.36236373321172e-07,0.881578947368421
"45902",13,1,"Arctic","mod1",-0.741362496707249,0.143460015196629,-5.16772911038049,0.000142775951374809,7.33222018957426,1.21757807621093,6.02197126642747,3.13422323028325e-05,0.881578947368421
"46189",15,1,"Arctic","mod1",0.642453488658081,0.303823152839712,2.1145639581886,0.281221886053143,170.678717547788,2860.09099013684,0.0596759746932464,0.962054096472493,0.881578947368421
"46345",16,1,"Arctic","mod1",-0.7228086461416,0.0856996625883381,-8.43420644038753,5.10280164517942e-08,7.33001912150762,0.748772547104414,9.78938016605125,4.51999802824691e-09,0.881578947368421
"46484",17,1,"Arctic","mod1",-1.00153385241103,0.123745460733819,-8.09349972493429,1.06339514997769e-05,2.93390250362263,0.305678216452141,9.59800975573273,2.31222021196857e-06,0.881578947368421
"46586",18,1,"Arctic","mod1",-1.56708436150818,0.167908673359747,-9.33295660165617,1.41769925776725e-05,1.7557496100802,0.164624248143907,10.6651944040795,5.23770035679053e-06,0.881578947368421
"46854",20,1,"Arctic","mod1",-0.645006973362333,0.112851938431822,-5.71551523460986,4.08936644248972e-05,7.3630631029032,1.08963167286171,6.75738718530961,6.44278774408944e-06,0.881578947368421
"46962",21,1,"Arctic","mod1",-0.483449191675088,0.07736167836067,-6.24920764284852,4.20802265001377e-06,10.1959017010987,1.34279798762278,7.59302724242906,2.58645209193863e-07,0.881578947368421
"47088",22,1,"Arctic","mod1",-0.746548466805885,0.0946310285481329,-7.88904525566012,2.98832476792886e-07,6.74649964121031,0.746885385243627,9.03284462984861,4.17164181777059e-08,0.881578947368421
"47202",23,1,"Arctic","mod1",-0.741907461797264,0.107052034153763,-6.93034436628861,2.43064637964148e-06,6.89236981806225,0.879679803964128,7.83508929840489,4.84109444025467e-07,0.881578947368421
"47325",24,1,"Arctic","mod1",-0.81167487574012,0.112265242753487,-7.22997479747498,1.40719196080168e-06,6.90333994307155,0.849169050926225,8.12952372150372,2.93100318547009e-07,0.881578947368421
"47577",26,1,"Arctic","mod1",-0.802359300586887,0.0761437047817962,-10.5374344850463,2.2499937721463e-09,6.80358778670882,0.568210580399226,11.9737083774973,2.68865068456177e-10,0.881578947368421
"47700",27,1,"Arctic","mod1",-0.817970182640778,0.138580062799131,-5.90250982802922,0.000102742963967257,4.03353146921014,0.585336169494568,6.89096570385024,2.61855858422896e-05,0.881578947368421
"47961",29,1,"Arctic","mod1",-0.869687684855129,0.104989954331417,-8.28353236643789,5.59289265313465e-07,6.23451208774737,0.673659776277384,9.25468954402922,1.37066780257563e-07,0.881578947368421
"48087",30,1,"Arctic","mod1",-1.81396473555175,0.262229924209365,-6.91745894760462,0.000451600440938904,1.61040313842009,0.210824473746747,7.6385967425897,0.000262723311417265,0.881578947368421
"48222",31,1,"Arctic","mod1",-0.749673410128707,0.111100288806685,-6.74771792387635,3.41193286354023e-06,7.01558030654591,0.918600710337177,7.63724676847986,6.82547464148657e-07,0.881578947368421
"48362",32,1,"Arctic","mod1",-0.631178797525036,0.0916706080464937,-6.88529083613053,2.641627785531e-06,7.89741812052084,0.978471349950428,8.07117972429234,3.23455307260474e-07,0.881578947368421
