"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"481",61,1,"mod3",2.17240262417646,0.113719167020655,19.1032231513082,0.000313244228345277,NA,NA,NA,NA,0.81
"489",62,1,"mod3",1.79181677367301,0.172136304819522,10.4092903327492,0.00189218297857298,NA,NA,NA,NA,0.81
"497",63,1,"mod3",1.91439235294164,0.0605121800491038,31.6364796539832,6.93979095772882e-05,NA,NA,NA,NA,0.81
"513",65,1,"mod3",2.17240262417646,0.113719167020655,19.1032231513082,0.000313244228345277,NA,NA,NA,NA,0.81
"529",67,1,"mod3",2.0971284204726,0.0621990638308016,33.7163984682689,5.73553056562472e-05,NA,NA,NA,NA,0.81
"537",68,1,"mod3",2.0971284204726,0.0621990638308016,33.7163984682689,5.73553056562472e-05,NA,NA,NA,NA,0.81
"545",69,1,"mod3",2.17240262417646,0.113719167020655,19.1032231513082,0.000313244228345277,NA,NA,NA,NA,0.81
"553",70,1,"mod3",1.79181677367301,0.172136304819522,10.4092903327492,0.00189218297857298,NA,NA,NA,NA,0.81
"561",71,1,"mod3",1.91439235294164,0.0605121800491038,31.6364796539832,6.93979095772882e-05,NA,NA,NA,NA,0.81
"569",72,1,"mod3",1.87286968577629,0.199779464863763,9.37468566678496,0.00257093333396708,NA,NA,NA,NA,0.81
"585",74,1,"mod3",2.0971284204726,0.0621990638308016,33.7163984682689,5.73553056562472e-05,NA,NA,NA,NA,0.81
"593",75,1,"mod3",1.87286968577629,0.199779464863763,9.37468566678496,0.00257093333396708,NA,NA,NA,NA,0.81
"617",78,1,"mod3",2.0971284204726,0.0621990638308016,33.7163984682689,5.73553056562472e-05,NA,NA,NA,NA,0.81
"633",80,1,"mod3",2.17240262417646,0.113719167020655,19.1032231513082,0.000313244228345277,NA,NA,NA,NA,0.81
"641",81,1,"mod3",2.17240262417646,0.113719167020655,19.1032231513082,0.000313244228345277,NA,NA,NA,NA,0.81
"649",82,1,"mod3",2.17240262417646,0.113719167020655,19.1032231513082,0.000313244228345277,NA,NA,NA,NA,0.81
"665",84,1,"mod3",1.57582693446895,0.0181278508847825,86.928502693708,1.04983102021833e-07,NA,NA,NA,NA,0.81
"673",85,1,"mod3",1.87286968577629,0.199779464863763,9.37468566678496,0.00257093333396708,NA,NA,NA,NA,0.81
"681",86,1,"mod3",2.17240262417646,0.113719167020655,19.1032231513082,0.000313244228345277,NA,NA,NA,NA,0.81
"689",87,1,"mod3",1.90915246971039,0.169451801783975,11.2666401278179,0.00149935972242745,NA,NA,NA,NA,0.81
"697",88,1,"mod3",1.90915246971039,0.169451801783975,11.2666401278179,0.00149935972242745,NA,NA,NA,NA,0.81
"705",89,1,"mod3",1.90915246971039,0.169451801783975,11.2666401278179,0.00149935972242745,NA,NA,NA,NA,0.81
"713",90,1,"mod3",2.0971284204726,0.0621990638308016,33.7163984682689,5.73553056562472e-05,NA,NA,NA,NA,0.81
"721",91,1,"mod3",1.79181677367301,0.172136304819522,10.4092903327492,0.00189218297857298,NA,NA,NA,NA,0.81
"737",93,1,"mod3",2.0971284204726,0.0621990638308016,33.7163984682689,5.73553056562472e-05,NA,NA,NA,NA,0.81
"745",94,1,"mod3",1.87286968577629,0.199779464863763,9.37468566678496,0.00257093333396708,NA,NA,NA,NA,0.81
"753",95,1,"mod3",1.79181677367301,0.172136304819522,10.4092903327492,0.00189218297857298,NA,NA,NA,NA,0.81
"761",96,1,"mod3",1.79181677367301,0.172136304819522,10.4092903327492,0.00189218297857298,NA,NA,NA,NA,0.81
"769",97,1,"mod3",1.91439235294164,0.0605121800491038,31.6364796539832,6.93979095772882e-05,NA,NA,NA,NA,0.81
"777",98,1,"mod3",1.79181677367301,0.172136304819522,10.4092903327492,0.00189218297857298,NA,NA,NA,NA,0.81
"785",99,1,"mod3",1.57582693446895,0.0181278508847825,86.928502693708,1.04983102021833e-07,NA,NA,NA,NA,0.81
"2",1,2,"mod3",1.5488610702049,0.0926558799194836,16.716273932651,7.5041662553073e-05,NA,NA,NA,NA,1
"10",2,2,"mod3",1.86440117694109,0.174111382230204,10.7080947440647,0.000430987520896475,NA,NA,NA,NA,1
"18",3,2,"mod3",1.5488610702049,0.0926558799194836,16.716273932651,7.5041662553073e-05,NA,NA,NA,NA,1
"26",4,2,"mod3",1.5696580519189,0.130091837338294,12.0657689524141,0.00122509387369938,NA,NA,NA,NA,1
"34",5,2,"mod3",1.88823340025785,0.166497797482022,11.340891163811,0.00147063478335724,NA,NA,NA,NA,1
"42",6,2,"mod3",1.96885980958489,0.152209397164806,12.9352053569537,0.000206038849917378,NA,NA,NA,NA,1
"50",7,2,"mod3",1.6940626310072,0.0503450531397349,33.6490384925258,4.65272980853541e-06,NA,NA,NA,NA,1
"58",8,2,"mod3",1.6664931014054,0.0575824212522962,28.9410043058748,9.05871217867596e-05,NA,NA,NA,NA,1
"66",9,2,"mod3",1.65617094683255,0.147334442628497,11.2408946427318,0.000356758871326726,NA,NA,NA,NA,1
"74",10,2,"mod3",1.75272197611514,0.0769604147556108,22.7743312153519,0.00018540766068642,NA,NA,NA,NA,1
"82",11,2,"mod3",1.73033810639859,0.100166751848618,17.2745753901819,6.58993486228629e-05,NA,NA,NA,NA,1
"90",12,2,"mod3",1.69391774197487,0.171204573478297,9.89411502017846,0.00219581177297148,NA,NA,NA,NA,1
"98",13,2,"mod3",1.5696580519189,0.130091837338294,12.0657689524141,0.00122509387369938,NA,NA,NA,NA,1
"106",14,2,"mod3",1.74837312387537,0.115478384081806,15.1402631564086,0.000625592658785525,NA,NA,NA,NA,1
"114",15,2,"mod3",1.6664931014054,0.0575824212522962,28.9410043058748,9.05871217867596e-05,NA,NA,NA,NA,1
"122",16,2,"mod3",1.51564185658622,0.0843860090854825,17.9608192520502,9.8255298229676e-06,NA,NA,NA,NA,1
"130",17,2,"mod3",1.73033810639859,0.100166751848618,17.2745753901819,6.58993486228629e-05,NA,NA,NA,NA,1
"138",18,2,"mod3",1.69391774197487,0.171204573478297,9.89411502017846,0.00219581177297148,NA,NA,NA,NA,1
"146",19,2,"mod3",1.6664931014054,0.0575824212522962,28.9410043058748,9.05871217867596e-05,NA,NA,NA,NA,1
"154",20,2,"mod3",1.74837312387537,0.115478384081806,15.1402631564086,0.000625592658785525,NA,NA,NA,NA,1
"162",21,2,"mod3",1.51008002861091,0.0711250354059858,21.2313430846296,4.29683689741052e-06,NA,NA,NA,NA,1
"170",22,2,"mod3",1.65617094683255,0.147334442628497,11.2408946427318,0.000356758871326726,NA,NA,NA,NA,1
"178",23,2,"mod3",1.51008002861091,0.0711250354059858,21.2313430846296,4.29683689741052e-06,NA,NA,NA,NA,1
