"","replicate","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,1,"Anatolian","mod1",-0.148290920711098,0.0163582258996598,-9.06522025192116,5.68694940348323e-12,17.9733837488769,0.831762327344738,21.6087975590983,2.22353933985973e-26
"2",1,2,"Anatolian","mod1",-0.148635541832071,0.0151266783073331,-9.82605293853672,2.33819002335323e-13,17.602086309653,0.747041163900818,23.5624048047639,4.47643647334581e-29
"3",1,3,"Anatolian","mod1",-0.121204032741299,0.0114970947063498,-10.5421444144805,2.78821896211512e-15,20.1181137911459,0.701143297895148,28.6932982908645,9.7058217132977e-37
"4",1,4,"Anatolian","mod1",-0.125738965695608,0.0115794362944874,-10.8588157918765,1.07259510145591e-15,19.7787376450642,0.683678878647014,28.929864974337,1.5028423212298e-36
"5",1,5,"Anatolian","mod1",-0.123316590604825,0.0114482373921986,-10.7716660984737,2.8861148551757e-15,20.2641873428198,0.712934630088498,28.4236260767756,5.86401005249184e-35
"6",1,6,"Anatolian","mod1",-0.118025185554495,0.0104070412999718,-11.3408972014759,1.16399136902626e-16,20.6687776260609,0.659752116037643,31.3280959979242,2.64266343880501e-39
"7",1,7,"Anatolian","mod1",-0.121736515957711,0.0102966594641301,-11.8229136723223,2.00758543375335e-17,20.6810337749216,0.650497163459394,31.7926578879119,1.1329946602534e-39
"8",1,9,"Anatolian","mod1",-0.120423417817885,0.0101426331152616,-11.8729935756706,1.01357038138869e-17,20.706964862521,0.640657670677213,32.3214187705463,6.21025104977623e-41
"9",1,10,"Anatolian","mod1",-0.119278441491353,0.0101752268697161,-11.7224355799234,2.88908302505589e-17,20.9994508688223,0.664695257735753,31.5925992015586,1.6294273093145e-39
"10",1,11,"Anatolian","mod1",-0.120880763564754,0.0102659652224813,-11.7749048379824,3.07712074974167e-17,20.8157895470512,0.66273561572304,31.4088892360814,5.96462556337596e-39
"11",1,12,"Anatolian","mod1",-0.10961151630601,0.00847598819665089,-12.9320043590104,3.15020232461368e-20,23.1435957370185,0.625482686463575,37.0011772314121,1.08079564971032e-47
"12",1,13,"Anatolian","mod1",-0.0958687099618226,0.00621421243619986,-15.4273306466569,2.89195794510439e-25,29.4945521509833,0.654311392649811,45.0772407179663,4.15368659904572e-57
"13",1,16,"Anatolian","mod1",-0.0963360485949727,0.00633335883813332,-15.2108937859214,2.53610053634865e-25,30.1897600135085,0.685451548464883,44.0436090357088,7.38788923047625e-58
"14",1,17,"Anatolian","mod1",-0.0941426118652493,0.00634988147896607,-14.8258848888906,2.12215751172481e-24,30.9293519203506,0.722701426602392,42.7968601995952,6.28806035503263e-56
"15",1,20,"Anatolian","mod1",-0.0911054520772228,0.00647239865525554,-14.0759951495333,5.41909370298603e-23,32.0562357861131,0.789095962351458,40.624001788816,9.07971951513079e-54
"16",1,21,"Anatolian","mod1",-0.0903779825199381,0.00621485921758174,-14.5422413212934,4.80910652674135e-24,32.0229860026685,0.751064714148811,42.6367866835023,2.71838895733186e-56
"17",1,22,"Anatolian","mod1",-0.090016581037093,0.00611165499722486,-14.7286751424887,1.70797586376424e-24,31.9414772026604,0.735836250670393,43.4084039398164,2.25539011858105e-57
"18",1,23,"Anatolian","mod1",-0.0909389860041231,0.00623206218901352,-14.5921178650045,3.94522346102705e-24,31.9908669318257,0.744779458424503,42.953476455297,1.55162594590654e-56
"19",1,24,"Anatolian","mod1",-0.0913267319748673,0.00627013241253613,-14.5653593841613,4.38721758219887e-24,31.8703893972522,0.74517685311226,42.7688934031489,2.15042540441556e-56
"20",1,25,"Anatolian","mod1",-0.0876341972242801,0.00620395362245893,-14.1255403501141,3.36202977358698e-23,32.3976021253794,0.760692802938802,42.5895999018487,9.04281033819878e-56
"21",1,26,"Anatolian","mod1",-0.0830644224491768,0.00609140577622371,-13.6363305123093,1.43258856422172e-22,32.6836584797382,0.751191676715444,43.5090796301766,1.88784456434127e-57
"22",1,28,"Anatolian","mod1",-0.0833234976784752,0.00612502685066215,-13.6037767196837,2.1160437707843e-22,32.5685819156632,0.754210599615286,43.1823444701998,1.03709720746968e-56
"23",1,29,"Anatolian","mod1",-0.086124277029762,0.00644603180968961,-13.3608209783112,5.73820556012396e-22,32.3027845546482,0.783761305024354,41.2150795753363,3.53509234099554e-55
"24",1,30,"Anatolian","mod1",-0.0836939859514401,0.00577525147397409,-14.4918340488901,1.43843541251584e-24,32.8356928980795,0.722891560188414,45.4227088908345,6.72763038238345e-61
"25",1,31,"Anatolian","mod1",-0.083969830057514,0.00561764985820812,-14.9475015668381,9.31675795119354e-26,32.8567069658586,0.696462653052214,47.1765525715782,9.32313297827842e-64
"26",1,35,"Anatolian","mod1",-0.0837876914187976,0.00568738654232131,-14.732195674641,3.04129394776303e-25,32.7173813540412,0.704301863007924,46.4536345457218,1.07563907961267e-62
"27",1,37,"Anatolian","mod1",-0.0824114931315444,0.00564172865986672,-14.6074896720558,6.75248353928712e-25,32.7756145086038,0.702679057444603,46.6437901647407,2.45202195642806e-62
"28",1,38,"Anatolian","mod1",-0.0830603102677549,0.00573156013996217,-14.4917453955745,1.43896592941258e-24,32.628536660026,0.711056914214554,45.8873769564115,2.95652884175379e-61
"29",1,40,"Anatolian","mod1",-0.082222073103759,0.00560924137067337,-14.6583232330914,4.14896093152751e-25,32.8350564993796,0.700108607334598,46.8999468873648,4.87468435449904e-63
"30",1,41,"Anatolian","mod1",-0.0824440453102881,0.00553352117322568,-14.8990204843164,1.14265457621942e-25,32.814694861997,0.690058450968515,47.5535004548393,4.7859100576979e-64
