"","replicate","area","area_original","species","links","connectances","links_per_sp","indegree","outdegree","basal","top","intermediate","S_basal","S_intermediate","S_top","sd_gen","sd_vul","modularity","normalised_indegree","normalised_outdegree","consumers","resources","potential_indegree"
"1",1,1,1.4,36,64,0.101587301587302,1.77777777777778,1.77777777777778,1.77777777777778,0.916666666666667,0.0277777777777778,0.0555555555555556,33,2,1,4.04980158244115,0.272635942499989,0.060546875,12,1.02857142857143,3,35,28.3333333333333
"2",1,2,2.6,47,139,0.128584643848289,2.95744680851064,2.95744680851064,2.95744680851064,0.851063829787234,0.0851063829787234,0.0638297872340425,40,3,4,3.05454377204778,0.472737396658374,0.0805082395672798,6.71428571428571,1.09302325581395,7,43,24.4285714285714
"3",1,3,3.5,48,140,0.124113475177305,2.91666666666667,2.91666666666667,2.91666666666667,0.854166666666667,0.0833333333333333,0.0625,41,3,4,3.09003412583544,0.484012753588298,0.0799744799733162,6.85714285714286,1.09090909090909,7,44,24.4285714285714
"4",1,4,5.5,49,146,0.124149659863946,2.97959183673469,2.97959183673469,2.97959183673469,0.857142857142857,0.0816326530612245,0.0612244897959184,42,3,4,3.09687616898139,0.462055982437584,0.100652106106281,7,1.08888888888889,7,45,24.4285714285714
"5",1,5,6.5,49,146,0.124149659863946,2.97959183673469,2.97959183673469,2.97959183673469,0.857142857142857,0.0816326530612245,0.0612244897959184,42,3,4,3.09687616898139,0.462055982437584,0.100652106106281,7,1.08888888888889,7,45,24.4285714285714
"6",1,6,7.5,49,146,0.124149659863946,2.97959183673469,2.97959183673469,2.97959183673469,0.857142857142857,0.0816326530612245,0.0612244897959184,42,3,4,3.09687616898139,0.462055982437584,0.100652106106281,7,1.08888888888889,7,45,24.4285714285714
"7",1,7,9.5,49,146,0.124149659863946,2.97959183673469,2.97959183673469,2.97959183673469,0.857142857142857,0.0816326530612245,0.0612244897959184,42,3,4,3.09687616898139,0.462055982437584,0.100652106106281,7,1.08888888888889,7,45,24.4285714285714
"8",1,8,10.2,50,149,0.121632653061224,2.98,2.98,2.98,0.86,0.08,0.06,43,3,4,3.13658669103727,0.457255209574705,0.0989369601011276,7.14285714285714,1.08695652173913,7,46,24.4285714285714
"9",1,9,11.2,50,149,0.121632653061224,2.98,2.98,2.98,0.86,0.08,0.06,43,3,4,3.13658669103727,0.457255209574705,0.0989369601011276,7.14285714285714,1.08695652173913,7,46,24.4285714285714
"10",1,10,12,50,151,0.123265306122449,3.02,3.02,3.02,0.86,0.08,0.06,43,3,4,3.13740808051957,0.451198849182987,0.0745362341403961,7.14285714285714,1.08695652173913,7,46,24.4285714285714
"11",1,11,14,50,157,0.128163265306122,3.14,3.14,3.14,0.86,0.08,0.06,43,3,4,3.15402476328657,0.417026497471555,0.0718690678477287,7.14285714285714,1.08695652173913,7,46,24.4285714285714
"12",1,12,14.7,50,157,0.128163265306122,3.14,3.14,3.14,0.86,0.08,0.06,43,3,4,3.15402476328657,0.417026497471555,0.0718690678477287,7.14285714285714,1.08695652173913,7,46,24.4285714285714
"13",1,13,16.7,51,161,0.126274509803922,3.15686274509804,3.15686274509804,3.15686274509804,0.862745098039216,0.0784313725490196,0.0588235294117647,44,3,4,3.19506196675638,0.412398038645265,0.0701940357685089,7.28571428571429,1.08510638297872,7,47,24.4285714285714
"14",1,14,17.7,51,162,0.127058823529412,3.17647058823529,3.17647058823529,3.17647058823529,0.862745098039216,0.0784313725490196,0.0588235294117647,44,3,4,3.1991789927588,0.406615391761746,0.0697873383760452,7.28571428571429,1.08510638297872,7,47,24.4285714285714
"15",1,15,19.5,52,163,0.122926093514329,3.13461538461538,3.13461538461538,3.13461538461538,0.865384615384615,0.0769230769230769,0.0576923076923077,45,3,4,3.23307507845721,0.419193269557259,0.0693853721022606,7.42857142857143,1.08333333333333,7,48,24.4285714285714
"16",1,16,20.6,52,163,0.122926093514329,3.13461538461538,3.13461538461538,3.13461538461538,0.865384615384615,0.0769230769230769,0.0576923076923077,45,3,4,3.23307507845721,0.419193269557259,0.0693853721022606,7.42857142857143,1.08333333333333,7,48,24.4285714285714
"17",1,17,21.6,52,163,0.122926093514329,3.13461538461538,3.13461538461538,3.13461538461538,0.865384615384615,0.0769230769230769,0.0576923076923077,45,3,4,3.23307507845721,0.419193269557259,0.0693853721022606,7.42857142857143,1.08333333333333,7,48,24.4285714285714
"18",1,18,23.3,52,163,0.122926093514329,3.13461538461538,3.13461538461538,3.13461538461538,0.865384615384615,0.0769230769230769,0.0576923076923077,45,3,4,3.23307507845721,0.419193269557259,0.0693853721022606,7.42857142857143,1.08333333333333,7,48,24.4285714285714
"19",1,19,25.2,52,163,0.122926093514329,3.13461538461538,3.13461538461538,3.13461538461538,0.865384615384615,0.0769230769230769,0.0576923076923077,45,3,4,3.23307507845721,0.419193269557259,0.0693853721022606,7.42857142857143,1.08333333333333,7,48,24.4285714285714
"20",1,20,26.7,53,166,0.120464441219158,3.13207547169811,3.13207547169811,3.13207547169811,0.867924528301887,0.0754716981132075,0.0566037735849057,46,3,4,3.27403531697977,0.415521594311633,0.0682065784931183,7.57142857142857,1.08163265306122,7,49,24.4285714285714
"21",1,21,28.6,55,168,0.113131313131313,3.05454545454545,3.05454545454545,3.05454545454545,0.854545454545454,0.0909090909090909,0.0545454545454545,47,3,5,3.32280358470847,0.447368205729283,0.0782136172056198,6.875,1.1,8,50,21.5
