"","replicate","area","area_original","species","links","connectances","links_per_sp","indegree","outdegree","basal","top","intermediate","S_basal","S_intermediate","S_top","sd_gen","sd_vul","modularity","normalised_indegree","normalised_outdegree","consumers","resources","potential_indegree"
"1",1,1,2,37,102,0.153153153153153,2.75675675675676,2.75675675675676,2.75675675675676,0.72972972972973,0.0810810810810811,0.0540540540540541,27,2,3,2.86699385518101,0.594856526242055,0.0344098806381226,7.4,1.27586206896552,5,29,31.8
"2",1,2,2.8,43,65,0.0719822812846069,1.51162790697674,1.51162790697674,1.51162790697674,0.813953488372093,0.0930232558139535,0.0697674418604651,35,3,4,3.49866294954067,0.547274813095014,0.343076884746552,6.14285714285714,1.13157894736842,7,38,12.7142857142857
"3",1,3,3.9,49,147,0.125,3,3,3,0.836734693877551,0.0816326530612245,0.0816326530612245,41,4,4,3.01692755164121,0.485912657903775,0.159933358430862,6.125,1.08888888888889,8,45,21.625
"4",1,4,5,49,149,0.126700680272109,3.04081632653061,3.04081632653061,3.04081632653061,0.816326530612245,0.102040816326531,0.0816326530612245,40,4,5,3.05337504815923,0.48387741337075,0.129656344652176,5.44444444444444,1.11363636363636,9,44,19.4444444444444
"5",1,5,6.8,50,156,0.12734693877551,3.12,3.12,3.12,0.84,0.08,0.08,42,4,4,3.09372050274884,0.446938986883239,0.141765296459198,6.25,1.08695652173913,8,46,21.625
"6",1,6,7.8,50,155,0.126530612244898,3.1,3.1,3.1,0.82,0.1,0.08,41,4,5,3.04374304461357,0.471084062217992,0.14607697725296,5.55555555555556,1.11111111111111,9,45,19.4444444444444
"7",1,7,8.7,51,117,0.0917647058823529,2.29411764705882,2.29411764705882,2.29411764705882,0.843137254901961,0.0784313725490196,0.0784313725490196,43,4,4,3.41259992737206,0.4718506098625,0.218679219484329,6.375,1.08510638297872,8,47,16.375
"8",1,8,10.7,51,152,0.11921568627451,2.98039215686275,2.98039215686275,2.98039215686275,0.823529411764706,0.0980392156862745,0.0784313725490196,42,4,5,3.05272912729802,0.499878794173414,0.159041747450829,5.66666666666667,1.10869565217391,9,46,19.4444444444444
"9",1,9,11.6,51,160,0.125490196078431,3.13725490196078,3.13725490196078,3.13725490196078,0.843137254901961,0.0784313725490196,0.0784313725490196,43,4,4,3.15289970701575,0.441763157698783,0.128281265497208,6.375,1.08510638297872,8,47,21.625
"10",1,10,12.7,51,157,0.123137254901961,3.07843137254902,3.07843137254902,3.07843137254902,0.823529411764706,0.0980392156862745,0.0784313725490196,42,4,5,3.10547983903133,0.467784854704472,0.134021669626236,5.66666666666667,1.10869565217391,9,46,19.4444444444444
"11",1,11,13.7,51,114,0.0894117647058824,2.23529411764706,2.23529411764706,2.23529411764706,0.764705882352941,0.0784313725490196,0.0196078431372549,39,1,4,3.88318699964839,0.577006315466861,0,10.2,1.275,5,40,25.6
"12",1,12,14.9,53,154,0.111756168359942,2.90566037735849,2.90566037735849,2.90566037735849,0.754716981132076,0.0754716981132075,0.0566037735849057,40,3,4,3.32595553601738,0.56576408679518,0.0777322798967361,7.57142857142857,1.23255813953488,7,43,24
"13",1,13,16.2,53,128,0.0928882438316401,2.41509433962264,2.41509433962264,2.41509433962264,0.830188679245283,0.0943396226415094,0.0566037735849057,44,3,5,3.59913339209991,0.50342734957895,0.185699462890625,6.625,1.12765957446809,8,47,17.25
"14",1,14,17.1,53,165,0.119738751814224,3.11320754716981,3.11320754716981,3.11320754716981,0.830188679245283,0.0943396226415094,0.0754716981132075,44,4,5,3.16273218955935,0.465737882390507,0.145454525947571,5.88888888888889,1.10416666666667,9,48,19.4444444444444
"15",1,15,19.1,54,166,0.116002795248078,3.07407407407407,3.07407407407407,3.07407407407407,0.833333333333333,0.0925925925925926,0.0740740740740741,45,4,5,3.19969953425775,0.468013501483633,0.138136893510818,6,1.10204081632653,9,49,19.4444444444444
"16",1,16,20.3,54,167,0.116701607267645,3.09259259259259,3.09259259259259,3.09259259259259,0.833333333333333,0.0925925925925926,0.0740740740740741,45,4,5,3.19811697489494,0.466974604990879,0.137455612421036,6,1.10204081632653,9,49,19.4444444444444
"17",1,17,21.8,54,117,0.0817610062893082,2.16666666666667,2.16666666666667,2.16666666666667,0.777777777777778,0.0555555555555556,0.037037037037037,42,2,3,3.90472099415587,0.572332973831785,0.103550307452679,10.8,1.22727272727273,5,44,24.8
"18",1,18,23.3,55,170,0.114478114478114,3.09090909090909,3.09090909090909,3.09090909090909,0.836363636363636,0.0909090909090909,0.0727272727272727,46,4,5,3.2390501073381,0.462900162343157,0.135449826717377,6.11111111111111,1.1,9,50,19.4444444444444
"19",1,19,24.5,55,168,0.113131313131313,3.05454545454545,3.05454545454545,3.05454545454545,0.836363636363636,0.0909090909090909,0.0727272727272727,46,4,5,3.21472251914772,0.477415201945111,0.14663054049015,6.11111111111111,1.1,9,50,19.4444444444444
"20",1,20,26.4,55,126,0.0848484848484849,2.29090909090909,2.29090909090909,2.29090909090909,0.854545454545454,0.0909090909090909,0.0545454545454545,47,3,5,3.66527366389371,0.472773355756471,0.208112850785255,6.875,1.1,8,50,16.625
"21",1,21,28.3,55,169,0.113804713804714,3.07272727272727,3.07272727272727,3.07272727272727,0.854545454545454,0.0727272727272727,0.0727272727272727,47,4,4,3.26217576704564,0.45533944508144,0.142572045326233,6.875,1.07843137254902,8,51,21.625
"22",1,22,30.3,55,170,0.114478114478114,3.09090909090909,3.09090909090909,3.09090909090909,0.836363636363636,0.0909090909090909,0.0727272727272727,46,4,5,3.2390501073381,0.462900162343157,0.135449826717377,6.11111111111111,1.1,9,50,19.4444444444444
