"","replicate","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"53134",1,1,"Atlantic","mod1",-0.638381453335784,0.0933883466775528,-6.83577208556823,9.29758779654467e-07,8.9429502009729,1.12882096586018,7.92238137972411,9.62513371927217e-08,0.952941176470588
"53368",2,1,"Atlantic","mod1",-0.745203655432001,0.0810965890591512,-9.18908753225682,1.19660882931763e-09,10.4636971359941,1.03220211473674,10.1372560534454,1.59491247044246e-10,0.952941176470588
"53578",3,1,"Atlantic","mod1",-0.745254902097277,0.0812059398762115,-9.17734470204182,1.76076517407436e-09,8.25244460346136,0.800815521118589,10.3050507711617,1.74238481615444e-10,0.952941176470588
"53820",4,1,"Atlantic","mod1",-0.650853200622495,0.0765805951273421,-8.49893108744093,1.49582373706868e-08,8.4342530703441,0.864152754440245,9.76014139514881,1.20624159876809e-09,0.952941176470588
"54050",5,1,"Atlantic","mod1",-0.695943470789567,0.0813565899469886,-8.55423600280001,1.90757724993208e-08,8.97359891492554,0.924634094372033,9.70502706913481,2.07556000566486e-09,0.952941176470588
"54270",6,1,"Atlantic","mod1",-0.870364186859333,0.0835964013594598,-10.4115030396681,2.22338959551936e-10,7.97496724693242,0.693319141482649,11.5025920528865,2.98697993209384e-11,0.952941176470588
"54486",7,1,"Atlantic","mod1",-0.759439694805071,0.0779272341513767,-9.74549787472028,1.69513224277649e-10,9.38480022497773,0.868488388430137,10.8059017829145,1.69264670672527e-11,0.952941176470588
"54950",9,1,"Atlantic","mod1",-0.686644537762416,0.0879140619945757,-7.81040623290483,1.20706378151717e-07,7.62765266007039,0.843809485948732,9.03954362576795,1.10106741853483e-08,0.952941176470588
"55173",10,1,"Atlantic","mod1",-0.562571053605477,0.0828789513036483,-6.78786404456727,8.05481186674829e-07,9.27563389898893,1.15948391949466,7.99979520460406,5.90576610951293e-08,0.952941176470588
"55410",11,1,"Atlantic","mod1",-0.699232182572445,0.0880301817317125,-7.94309597932535,1.86310708098896e-07,6.83905622777172,0.740497298338005,9.23576121495852,1.86425122600074e-08,0.952941176470588
"55656",12,1,"Atlantic","mod1",-0.763165417293191,0.109073682445623,-6.99678786102829,2.15093942627013e-06,7.13250645289008,0.899006418775664,7.93376588189845,4.0866259860262e-07,0.952941176470588
"55908",13,1,"Atlantic","mod1",-0.578804179449185,0.082504048988242,-7.01546392628165,8.32770337163396e-07,8.09025562956917,0.969871927203337,8.3415710906261,6.07360834401515e-08,0.952941176470588
"56158",14,1,"Atlantic","mod1",-0.752750061908352,0.107832370898609,-6.98074294050471,1.6119083737087e-06,7.08379024164652,0.883888858246284,8.01434498869168,2.38896024396658e-07,0.952941176470588
"56424",15,1,"Atlantic","mod1",-0.762529226440085,0.0936425212624268,-8.14298051953502,4.40347778000741e-07,5.96794932174278,0.639710688477231,9.3291380451199,7.15418970840457e-08,0.952941176470588
"56660",16,1,"Atlantic","mod1",-0.735707248547297,0.103434995994378,-7.11274981426289,3.54882851071149e-06,5.21665139254979,0.626597224019237,8.32536626812384,5.25224229552458e-07,0.952941176470588
"56912",17,1,"Atlantic","mod1",-0.607478596245352,0.0894137858477478,-6.79401493277285,5.00574738085445e-07,9.84313798157271,1.24275596692518,7.92041096042898,3.76527106026209e-08,0.952941176470588
"57139",18,1,"Atlantic","mod1",-0.611971838347618,0.100601215674145,-6.08314555889505,9.50963153991293e-06,7.01457112780424,0.966060710932137,7.26100445699317,9.47017665948308e-07,0.952941176470588
"57405",19,1,"Atlantic","mod1",-0.862939844937377,0.103560340070675,-8.33272509870539,4.25888409105682e-08,7.00386777054592,0.76197357749566,9.1917462460643,8.29744659233063e-09,0.952941176470588
"57643",20,1,"Atlantic","mod1",-0.71059320699342,0.105823410961634,-6.71489607579407,6.92690643636912e-06,5.29111608128343,0.66276004084598,7.98345668898442,8.83319939955765e-07,0.952941176470588
"57908",21,1,"Atlantic","mod1",-0.799996454073758,0.0847569365307104,-9.43871365364758,1.50033474399667e-09,8.52639994537463,0.817032347243322,10.4358168610372,2.12292728889201e-10,0.952941176470588
"58119",22,1,"Atlantic","mod1",-0.575222513571904,0.069386032627166,-8.29017731367873,4.62980079970119e-08,7.88796295077409,0.798225466494552,9.88187333262427,2.3846139069444e-09,0.952941176470588
"58363",23,1,"Atlantic","mod1",-0.602273700051889,0.0691255251492022,-8.71275406229359,9.62063884146869e-09,7.91462332552961,0.767956985521841,10.3060763489917,4.31512847587591e-10,0.952941176470588
"58849",25,1,"Atlantic","mod1",-0.717504725644288,0.0766347548276977,-9.36265441518662,2.4364192624933e-08,5.6656556672482,0.513595532480798,11.0313569899676,1.93201620046735e-09,0.952941176470588
"59110",26,1,"Atlantic","mod1",-0.866352629366965,0.0822677844559338,-10.5308856327719,1.7730158310161e-10,8.54131391893612,0.737214091534609,11.5859341499513,2.57650603057418e-11,0.952941176470588
