"","r","area","area_original","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"1",1,1,2.89,"mod3",1.43274764561234,0.114273100111277,12.5379257604559,4.73483720033201e-06,NA,NA,NA,NA,0.99
"13",2,1,2.22,"mod3",1.76038484782048,0.0168302487823194,104.596484020475,1.92438238141273e-12,NA,NA,NA,NA,0.99
"25",3,1,2.22,"mod3",1.36099877504234,0.0411863761331706,33.0448780111592,7.67311240770766e-10,NA,NA,NA,NA,0.99
"37",4,1,1.52,"mod3",1.4007722841279,0.0623996296924001,22.4484070023015,8.80713561889561e-08,NA,NA,NA,NA,0.99
"49",5,1,1.52,"mod3",1.26971231149164,0.0369442460184246,34.3683373821845,4.57806014162834e-09,NA,NA,NA,NA,0.99
"61",6,1,3.24,"mod3",1.47124891068519,0.0491853867736295,29.9123176047483,9.2594139028992e-08,NA,NA,NA,NA,0.99
"73",7,1,1.25,"mod3",1.30490014559562,0.0914565774204043,14.267974840096,3.04721059527226e-05,NA,NA,NA,NA,0.99
"85",8,1,3.24,"mod3",1.23645586789218,0.0740089422804915,16.7068441973681,1.66675218422502e-07,NA,NA,NA,NA,0.99
"97",9,1,1.52,"mod3",1.66885057226592,0.09361667266491,17.8264247677268,2.00257731566309e-06,NA,NA,NA,NA,0.99
"109",10,1,1.14,"mod3",1.29915783119901,0.076141235817031,17.0624736682882,5.82600185677123e-07,NA,NA,NA,NA,0.99
"121",11,1,1.52,"mod3",1.31551748608961,0.0335554027827423,39.2043419835267,1.82934704634955e-09,NA,NA,NA,NA,0.99
"133",12,1,0.13,"mod3",1.63319806570886,0.0525608384877716,31.072526860256,6.48057628700887e-07,NA,NA,NA,NA,0.99
"145",13,1,0.78,"mod3",1.4004890025075,0.0371733783107911,37.6745151005269,2.41431563688668e-09,NA,NA,NA,NA,0.99
"157",14,1,0.7,"mod3",1.32650224414875,0.0439132838254054,30.2073115147294,1.12373610157396e-08,NA,NA,NA,NA,0.99
"169",15,1,0.7,"mod3",1.32540487965078,0.0369985248256732,35.8231817591572,3.42985447501708e-09,NA,NA,NA,NA,0.99
"181",16,1,0.7,"mod3",1.27330024445688,0.0359375287151475,35.4309350136307,4.40782872080244e-10,NA,NA,NA,NA,0.99
"193",17,1,1.14,"mod3",2.16276398805142,0.186721022657417,11.5828628039357,8.41690092265831e-05,NA,NA,NA,NA,0.99
"205",18,1,2.22,"mod3",1.56041483504811,0.031555279668175,49.450198238042,4.58671396492676e-09,NA,NA,NA,NA,0.99
"217",19,1,1.14,"mod3",1.16768663473946,0.0628443295053684,18.5806204621805,1.56781827709186e-06,NA,NA,NA,NA,0.99
"229",20,1,0.78,"mod3",1.42075230434076,0.045795109216696,31.0241056008395,7.44771395659897e-08,NA,NA,NA,NA,0.99
"241",21,1,2.22,"mod3",1.40283111576023,0.0509201242155368,27.5496404883513,2.13087628903898e-08,NA,NA,NA,NA,0.99
"253",22,1,1.14,"mod3",2.00284759793569,0.217128267580673,9.22426002036581,0.00269525530373719,NA,NA,NA,NA,0.99
"265",23,1,2.89,"mod3",1.2038404042029,0.0844867383487599,14.2488682570923,3.0672725944367e-05,NA,NA,NA,NA,0.99
"277",24,1,0.78,"mod3",1.486680427022,0.0986801337314011,15.0656507121141,0.000113122783887784,NA,NA,NA,NA,0.99
"289",25,1,2.22,"mod3",1.48255492411522,0.0409586405200064,36.1963899507618,2.96553514880056e-08,NA,NA,NA,NA,0.99
"301",26,1,3.48,"mod3",1.57077929525255,0.0580263755718502,27.0700914846483,1.6790673314068e-07,NA,NA,NA,NA,0.99
"313",27,1,3.24,"mod3",1.39459914831106,0.0505330261027766,27.5977762636785,1.49662402729356e-07,NA,NA,NA,NA,0.99
"325",28,1,0.13,"mod3",1.24508983421649,0.0427046888500428,29.1558109365604,8.23858106742247e-06,NA,NA,NA,NA,0.99
"337",29,1,1.14,"mod3",1.20194319562941,0.0545265886562695,22.0432494540662,3.56777043336227e-06,NA,NA,NA,NA,0.99
"349",30,1,3.48,"mod3",1.11144721962374,0.0493495933754825,22.5219124130801,1.59921428213603e-08,NA,NA,NA,NA,0.99
"361",31,1,3.48,"mod3",1.51314760553174,0.0583238072800887,25.9439099759921,3.23256050799654e-08,NA,NA,NA,NA,0.99
"373",32,1,3.24,"mod3",1.39488732261832,0.0630980953963949,22.1066470208863,1.85201802326333e-08,NA,NA,NA,NA,0.99
"385",33,1,0.7,"mod3",1.43665981782018,0.0410550610003996,34.9934888126509,3.62917364331544e-08,NA,NA,NA,NA,0.99
"397",34,1,3.24,"mod3",1.16010351928771,0.0612546575255518,18.9390254741656,6.2497559066583e-08,NA,NA,NA,NA,0.99
"409",35,1,0.57,"mod3",1.42660083107472,0.0423250874010116,33.7057976409667,5.24255361470673e-09,NA,NA,NA,NA,0.99
"421",36,1,2.22,"mod3",1.44954943051564,0.0482339419261245,30.0524770033472,1.63074804145782e-09,NA,NA,NA,NA,0.99
"433",37,1,0.13,"mod3",1.17767813976897,0.0627359169384374,18.7719921416726,7.90018504335993e-06,NA,NA,NA,NA,0.99
"445",38,1,3.48,"mod3",1.65707679585283,0.0274717635639075,60.319272623251,2.36998357584781e-08,NA,NA,NA,NA,0.99
"457",39,1,1.14,"mod3",1.45941166435267,0.0590892025540881,24.6984491458786,2.89818425826557e-07,NA,NA,NA,NA,0.99
"469",40,1,2.89,"mod3",1.43087625058605,0.0566877275403231,25.2413760909403,2.54647068421099e-07,NA,NA,NA,NA,0.99
"481",41,1,0.7,"mod3",1.18147044075915,0.054727619236608,21.5881936258037,2.2329238431464e-08,NA,NA,NA,NA,0.99
"493",42,1,0.7,"mod3",1.8464759261513,0.0647765739378214,28.5053039069915,1.23413249233714e-07,NA,NA,NA,NA,0.99
"505",43,1,1.52,"mod3",1.29504146259177,0.0557837435421501,23.2153918034066,6.98079768779854e-08,NA,NA,NA,NA,0.99
"517",44,1,1.25,"mod3",1.53333596598818,0.041815538240156,36.6690476918386,2.74428981058049e-08,NA,NA,NA,NA,0.99
"529",45,1,0.7,"mod3",1.41766193616294,0.0559714383063027,25.3283099212997,2.49489619869721e-07,NA,NA,NA,NA,0.99
"541",46,1,0.7,"mod3",1.41536729000019,0.0581065709622179,24.3581279459855,2.17407014041481e-06,NA,NA,NA,NA,0.99
"553",47,1,0.57,"mod3",1.20114379616003,0.0430069314836119,27.9290745636605,2.91615875425248e-09,NA,NA,NA,NA,0.99
"565",48,1,1.25,"mod3",1.30108281856481,0.0416665266796349,31.2260925555076,8.92248568420046e-09,NA,NA,NA,NA,0.99
"577",49,1,0.78,"mod3",1.40208295842145,0.0489802489557682,28.6254763565535,9.74716564761583e-07,NA,NA,NA,NA,0.99
"589",50,1,2.22,"mod3",1.36100166326056,0.0609356832764487,22.3350521415517,9.12086799881333e-08,NA,NA,NA,NA,0.99
"601",51,1,0.7,"mod3",1.88764665418963,0.0905023235046836,20.8574385837944,7.90896083492885e-07,NA,NA,NA,NA,0.99
"613",52,1,3.58,"mod3",1.14800237339091,0.030050879622588,38.2019557433524,4.78131853174881e-13,NA,NA,NA,NA,0.99
"625",53,1,0.78,"mod3",1.36190345159495,0.0406266118340416,33.5224472362668,6.84606170333596e-10,NA,NA,NA,NA,0.99
"637",54,1,0.78,"mod3",1.64316537008914,0.0625178144775201,26.2831543908174,2.00160713135732e-07,NA,NA,NA,NA,0.99
"649",55,1,3.24,"mod3",1.39237187494801,0.015024108240232,92.6758415663883,1.00533598934747e-14,NA,NA,NA,NA,0.99
"661",56,1,3.48,"mod3",2.00401171584255,0.114687669346384,17.4736458353683,6.29786847476578e-05,NA,NA,NA,NA,0.99
"673",57,1,1.52,"mod3",1.99034683423487,0.101863937296999,19.539268626852,6.48113402788509e-06,NA,NA,NA,NA,0.99
"685",58,1,3.48,"mod3",1.64560793993988,0.120231796052711,13.6869613028023,3.73460895760774e-05,NA,NA,NA,NA,0.99
"697",59,1,1.25,"mod3",1.31247352659128,0.040844195338439,32.1336609943223,6.03860819977987e-08,NA,NA,NA,NA,0.99
"709",60,1,3.48,"mod3",1.39063908289984,0.0562820281026807,24.7084039040449,4.53374080048924e-08,NA,NA,NA,NA,0.99
"721",61,1,3.48,"mod3",1.35412726582329,0.0412212945627864,32.8501877533405,6.27008664014684e-09,NA,NA,NA,NA,0.99
"733",62,1,2.22,"mod3",1.34539682425896,0.0343521381194003,39.1648641951388,1.98569078203769e-10,NA,NA,NA,NA,0.99
"745",63,1,2.22,"mod3",1.98559023048598,0.0809223697393032,24.5369758310673,3.01350026639219e-07,NA,NA,NA,NA,0.99
"757",64,1,1.25,"mod3",1.4337547685013,0.0666174650253213,21.5222054450185,2.75663527827236e-05,NA,NA,NA,NA,0.99
"769",65,1,2.89,"mod3",1.58329931403099,0.057859110350347,27.3647365893432,1.57419012892049e-07,NA,NA,NA,NA,0.99
"781",66,1,2.89,"mod3",1.42827992284953,0.0264363916651304,54.0270374619024,1.52774024316823e-11,NA,NA,NA,NA,0.99
"793",67,1,0.13,"mod3",1.35081694185239,0.0428846146330998,31.4988709449608,8.39867087108355e-09,NA,NA,NA,NA,0.99
"805",68,1,0.57,"mod3",1.38064629216721,0.0381917735081151,36.1503581883635,4.6952989583974e-11,NA,NA,NA,NA,0.99
"817",69,1,3.48,"mod3",1.40228502028536,0.0485802825411212,28.8653121582482,2.24526117018545e-09,NA,NA,NA,NA,0.99
"829",70,1,0.13,"mod3",2.81009004422405,0.259392037116163,10.8333705053776,0.00168273676442955,NA,NA,NA,NA,0.99
"841",71,1,0.78,"mod3",0.992827945813812,0.0440239755508343,22.5519829454611,3.14079590060225e-09,NA,NA,NA,NA,0.99
"853",72,1,2.22,"mod3",1.74059693214803,0.0432640505056789,40.2319457333187,1.52737972140808e-09,NA,NA,NA,NA,0.99
"877",74,1,3.58,"mod3",1.26834699925219,0.0447090912034731,28.3688834890399,4.08818938037726e-10,NA,NA,NA,NA,0.99
"889",75,1,2.89,"mod3",1.71888043811005,0.038393316866784,44.7703032294442,8.31679376854616e-09,NA,NA,NA,NA,0.99
"901",76,1,0.13,"mod3",1.65051416634739,0.0903491137854892,18.2681832415768,5.28133354469739e-05,NA,NA,NA,NA,0.99
"913",77,1,1.14,"mod3",1.72160177875939,0.0703461990466504,24.473273639386,2.12376172173237e-06,NA,NA,NA,NA,0.99
"925",78,1,0.7,"mod3",1.11459264010846,0.0376715357298884,29.5871304026544,4.54423811708236e-11,NA,NA,NA,NA,0.99
"937",79,1,0.7,"mod3",1.30339353518164,0.0222699346515297,58.5270480392771,6.25171628457329e-13,NA,NA,NA,NA,0.99
"949",80,1,2.22,"mod3",1.26398869722674,0.0300989708989825,41.9944157382958,1.22772946200001e-11,NA,NA,NA,NA,0.99
