"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction","fraction"
"78",35,2,"mod2",NA,NA,NA,NA,7.55121501724304,1.35885102971502,5.5570587592863,0.000853550711588602,0.58,1
"79",36,2,"mod2",NA,NA,NA,NA,11.4616309046265,1.98750528874114,5.76684297121349,0.0022027925495091,0.58,1
"80",37,2,"mod2",NA,NA,NA,NA,7.75608733829174,1.84449412581096,4.20499432866542,0.00844882886936716,0.58,1
"81",40,2,"mod2",NA,NA,NA,NA,8.27493924938258,1.79046577279272,4.62166849270486,0.00986872197182759,0.58,1
"82",42,2,"mod2",NA,NA,NA,NA,9.15268052155627,1.36445130427308,6.70795688559395,0.00111462512147489,0.58,1
"83",43,2,"mod2",NA,NA,NA,NA,7.97222217355936,1.08696795450075,7.33436725576792,0.00073902509197604,0.58,1
"84",44,2,"mod2",NA,NA,NA,NA,9.46379999954811,1.41892824388915,6.66968188159306,0.000285291624579884,0.58,1
"85",45,2,"mod2",NA,NA,NA,NA,7.90450039215592,2.28799761150099,3.45476776392714,0.0259412923193211,0.58,1
"86",49,2,"mod2",NA,NA,NA,NA,7.58878422430573,0.994407748646557,7.63146127394369,6.12207373962929e-05,0.58,1
"87",52,2,"mod2",NA,NA,NA,NA,7.52929529431703,1.30722608147494,5.75974990173218,0.000691456817384472,0.58,1
"88",57,2,"mod2",NA,NA,NA,NA,7.50578143544284,0.84703960221458,8.86119304908415,9.69398014321525e-06,0.58,1
"89",59,2,"mod2",NA,NA,NA,NA,11.3345947586498,1.80880773735238,6.26633473784265,0.00820314998430669,0.58,1
"90",60,2,"mod2",NA,NA,NA,NA,7.74041773287158,0.950934758612724,8.13979893233025,3.85403040228667e-05,0.58,1
"91",62,2,"mod2",NA,NA,NA,NA,9.1699732320654,0.867568545403696,10.5697391642967,5.60417472447007e-06,0.58,1
"92",65,2,"mod2",NA,NA,NA,NA,7.94968647843687,1.01820924810128,7.80751745602503,0.000232847950069008,0.58,1
"93",66,2,"mod2",NA,NA,NA,NA,11.7567661547231,2.85223175834465,4.12195331614511,0.0145891947550528,0.58,1
"94",67,2,"mod2",NA,NA,NA,NA,7.32167984364683,1.86778345128933,3.91998324998151,0.0111821853986566,0.58,1
"95",68,2,"mod2",NA,NA,NA,NA,10.0108114501273,2.23035738850403,4.48843378273197,0.00646814373171863,0.58,1
"96",70,2,"mod2",NA,NA,NA,NA,8.03698380247024,2.1980124167747,3.65647788935763,0.0216474070392654,0.58,1
"97",71,2,"mod2",NA,NA,NA,NA,8.21780740235356,1.40194770604313,5.86170751371858,0.00108968451799812,0.58,1
"98",72,2,"mod2",NA,NA,NA,NA,9.1384323312865,2.16106288321923,4.22867488134979,0.0133842444753852,0.58,1
"99",73,2,"mod2",NA,NA,NA,NA,7.53697723136153,1.58554739153855,4.75354900874198,0.00508846576304696,0.58,1
"100",74,2,"mod2",NA,NA,NA,NA,9.94460558327633,2.58386282357109,3.84873588975291,0.01832234901975,0.58,1
"101",75,2,"mod2",NA,NA,NA,NA,7.27380198141366,0.862694630319078,8.43149096537596,2.98611208608642e-05,0.58,1
"102",76,2,"mod2",NA,NA,NA,NA,7.2462563112994,1.19149817127355,6.0816344380572,0.00089840407556589,0.58,1
"103",78,2,"mod2",NA,NA,NA,NA,10.5072033654232,2.55700487400777,4.10918394103589,0.0147419693364496,0.58,1
"104",79,2,"mod2",NA,NA,NA,NA,8.33531457189374,1.01831016353252,8.18543786598233,1.8423241313751e-05,0.58,1
"105",80,2,"mod2",NA,NA,NA,NA,7.45777902828791,1.52128795207089,4.90227968882276,0.00270466108019336,0.58,1
"106",87,2,"mod2",NA,NA,NA,NA,8.12908389560785,1.78404151100927,4.55655535224014,0.00607599462570328,0.58,1
"107",88,2,"mod2",NA,NA,NA,NA,9.81784753083302,2.89886990919138,3.38678444993471,0.0276118387384207,0.58,1
"108",89,2,"mod2",NA,NA,NA,NA,7.5986870134773,1.20135965155936,6.32507259887932,0.00145604319463391,0.58,1
"109",90,2,"mod2",NA,NA,NA,NA,6.55069489774174,1.21873701605385,5.37498640925197,0.00170372648517042,0.58,1
"110",91,2,"mod2",NA,NA,NA,NA,7.23806090370825,1.21338338085042,5.96518875891918,0.000561453669008837,0.58,1
"111",92,2,"mod2",NA,NA,NA,NA,6.96723069984129,1.66913704903722,4.17415136993099,0.0087040217570072,0.58,1
"112",93,2,"mod2",NA,NA,NA,NA,14.4179119132713,3.288189353732,4.38475719073397,0.0118308939234599,0.58,1
"113",94,2,"mod2",NA,NA,NA,NA,7.24939331939632,0.661656360525084,10.9564326014236,4.27505748428513e-06,0.58,1
"114",95,2,"mod2",NA,NA,NA,NA,9.46865235697671,1.20014076647919,7.88961813600797,9.95943123319324e-05,0.58,1
"115",96,2,"mod2",NA,NA,NA,NA,9.43749647232551,1.52242383226519,6.19899417778004,0.000812217659811706,0.58,1
"116",100,2,"mod2",NA,NA,NA,NA,7.2136871239186,1.02071502741931,7.06728805801665,0.000105347396041688,0.58,1
"117",1,3,"mod2",NA,NA,NA,NA,7.61348655773663,0.948072773711091,8.03048749932429,2.14720010522395e-05,0.7,1
"118",2,3,"mod2",NA,NA,NA,NA,6.76106772528088,0.736461671210286,9.18047467992445,3.46031084930747e-06,0.7,1
"119",3,3,"mod2",NA,NA,NA,NA,7.45201919347693,0.924910946065766,8.05701265097478,4.1490629833924e-05,0.7,1
"120",4,3,"mod2",NA,NA,NA,NA,7.08655545213083,1.0591230032938,6.69096547812874,0.000154135908151125,0.7,1
"121",6,3,"mod2",NA,NA,NA,NA,6.27902238813559,0.948649687895828,6.61890523788914,0.00029901069205461,0.7,1
"122",7,3,"mod2",NA,NA,NA,NA,8.58017313430558,2.03711005863327,4.21193400815181,0.0135650898477925,0.7,1
"123",9,3,"mod2",NA,NA,NA,NA,9.23977901611772,2.66945851700774,3.46129335116052,0.0406020083475543,0.7,1
"124",11,3,"mod2",NA,NA,NA,NA,8.58345060813114,1.39801590254322,6.1397374611522,0.000854491158636256,0.7,1
"125",12,3,"mod2",NA,NA,NA,NA,8.20254034243514,1.63309000322875,5.02271174657738,0.00239759120853428,0.7,1
"126",15,3,"mod2",NA,NA,NA,NA,7.28571508244875,1.26166929028289,5.77466309005203,0.000680963192742878,0.7,1
"127",16,3,"mod2",NA,NA,NA,NA,8.32250546615548,0.96313658850691,8.64104382023046,1.18964713697715e-05,0.7,1
"128",18,3,"mod2",NA,NA,NA,NA,8.56262105473767,0.744578377122667,11.4999593297711,7.75898194526899e-08,0.7,1
"129",19,3,"mod2",NA,NA,NA,NA,7.74111024620354,1.62859175581006,4.753253980678,0.00314815754938492,0.7,1
"130",21,3,"mod2",NA,NA,NA,NA,10.1081066516199,1.7074726540067,5.91992300895745,0.00103486693083029,0.7,1
"131",22,3,"mod2",NA,NA,NA,NA,8.01392416313103,1.84523395363416,4.34303961692647,0.00740763532636848,0.7,1
"132",23,3,"mod2",NA,NA,NA,NA,8.72876244143859,1.73530410350232,5.03010534224034,0.004000474288658,0.7,1
"133",24,3,"mod2",NA,NA,NA,NA,9.00623780354757,1.78377576676594,5.04897418798119,0.0039367161062624,0.7,1
"134",25,3,"mod2",NA,NA,NA,NA,15.8634152663898,5.49987198687432,2.88432445414157,0.102119761990935,0.7,1
"135",27,3,"mod2",NA,NA,NA,NA,9.15482439082799,1.564833248593,5.85035140265547,0.00110076046030419,0.7,1
"136",28,3,"mod2",NA,NA,NA,NA,10.4587178823312,1.92393214713373,5.43611576838225,0.00285773706167332,0.7,1
"137",29,3,"mod2",NA,NA,NA,NA,6.91584350462651,0.535625046392803,12.911725378045,1.22471246762632e-06,0.7,1
"138",30,3,"mod2",NA,NA,NA,NA,7.93562364455671,1.7188679817907,4.61677320691578,0.0057521889537728,0.7,1
"139",31,3,"mod2",NA,NA,NA,NA,6.4703779314454,1.31762447134195,4.91063885968632,0.00268196326296094,0.7,1
"140",35,3,"mod2",NA,NA,NA,NA,7.95472071882759,1.15198352440649,6.90523826972776,0.000123872226242434,0.7,1
"141",36,3,"mod2",NA,NA,NA,NA,11.4616309046265,1.98750528874114,5.76684297121349,0.0022027925495091,0.7,1
"142",37,3,"mod2",NA,NA,NA,NA,7.75608733829174,1.84449412581096,4.20499432866542,0.00844882886936716,0.7,1
"143",39,3,"mod2",NA,NA,NA,NA,7.01690205389458,0.938157057222026,7.47945346664268,0.000139700521192343,0.7,1
"144",40,3,"mod2",NA,NA,NA,NA,6.90240852506411,1.3869894552313,4.97654001552091,0.00418815081296924,0.7,1
"145",41,3,"mod2",NA,NA,NA,NA,9.89737024364663,1.58997303233359,6.22486673822408,0.000794514872882438,0.7,1
"146",42,3,"mod2",NA,NA,NA,NA,8.09326882912115,1.21858983974672,6.64150361765964,0.00116646523413377,0.7,1
"147",43,3,"mod2",NA,NA,NA,NA,6.64602820755591,0.702033736478735,9.46682169562263,0.000222185278863107,0.7,1
"148",44,3,"mod2",NA,NA,NA,NA,9.45405893446125,1.55531672709446,6.07854256934706,0.000501589689013494,0.7,1
"149",45,3,"mod2",NA,NA,NA,NA,8.80310941396283,1.73401977968423,5.07670645808082,0.00384515020553146,0.7,1
"150",49,3,"mod2",NA,NA,NA,NA,7.12065378650384,0.970302868262274,7.33858882562751,4.38024452307092e-05,0.7,1
"151",50,3,"mod2",NA,NA,NA,NA,8.21267592962859,1.61980719997082,5.07015645428452,0.00228763232023246,0.7,1
"152",51,3,"mod2",NA,NA,NA,NA,10.1878064440474,2.00379161457019,5.08426443646573,0.00382062858190307,0.7,1
"153",52,3,"mod2",NA,NA,NA,NA,7.29839806084246,1.07282393522041,6.80297840236296,0.000137405245838607,0.7,1
"154",54,3,"mod2",NA,NA,NA,NA,9.44713375475163,0.863713265677934,10.9378125011621,2.99763592972813e-07,0.7,1
"155",55,3,"mod2",NA,NA,NA,NA,7.75391325819847,0.88717605119318,8.73999388032408,5.38177802689883e-06,0.7,1
"156",57,3,"mod2",NA,NA,NA,NA,7.66094856799066,0.863284356764669,8.87418902932703,9.5787637078464e-06,0.7,1
"157",59,3,"mod2",NA,NA,NA,NA,5.5926933973537,1.02612911171131,5.45028236069298,0.00158696684236347,0.7,1
"158",60,3,"mod2",NA,NA,NA,NA,7.88085481792505,1.04163389273698,7.5658586696113,3.44697427391017e-05,0.7,1
"159",62,3,"mod2",NA,NA,NA,NA,9.61889802024219,1.01636472814809,9.46402187506915,3.07251950651776e-05,0.7,1
"160",64,3,"mod2",NA,NA,NA,NA,11.2540264964766,2.95586967080571,3.80734868239606,0.0189833318545469,0.7,1
"161",65,3,"mod2",NA,NA,NA,NA,7.94968647843687,1.01820924810128,7.80751745602503,0.000232847950069008,0.7,1
"162",66,3,"mod2",NA,NA,NA,NA,9.08253398421255,1.28684746448745,7.05797247526157,0.000882582482650318,0.7,1
"163",67,3,"mod2",NA,NA,NA,NA,7.84758558476739,2.06456887182806,3.80107716039465,0.0126145770781953,0.7,1
"164",68,3,"mod2",NA,NA,NA,NA,8.10251181979419,1.61774841776102,5.00851166401272,0.00243165849133551,0.7,1
"165",70,3,"mod2",NA,NA,NA,NA,6.94531823612773,1.07096617909801,6.48509576836238,0.000191084461936115,0.7,1
"166",71,3,"mod2",NA,NA,NA,NA,7.63820341624693,1.10261962742683,6.92732400752933,0.000225726844163699,0.7,1
"167",72,3,"mod2",NA,NA,NA,NA,9.1384323312865,2.16106288321923,4.22867488134979,0.0133842444753852,0.7,1
"168",73,3,"mod2",NA,NA,NA,NA,8.36065566509154,1.66750526771908,5.01387061674939,0.00405629882816758,0.7,1
"169",74,3,"mod2",NA,NA,NA,NA,6.72569964166482,0.984034296877109,6.83482238679,0.000133023272754309,0.7,1
"170",75,3,"mod2",NA,NA,NA,NA,7.752936121088,0.832994893931167,9.30730329510118,1.44683916886713e-05,0.7,1
"171",76,3,"mod2",NA,NA,NA,NA,7.65985534259825,1.3190444228825,5.80712461969946,0.00114411340247494,0.7,1
"172",79,3,"mod2",NA,NA,NA,NA,7.77835852344166,0.80379803690365,9.67700612134494,4.69958049253966e-06,0.7,1
"173",80,3,"mod2",NA,NA,NA,NA,7.00639230340118,0.970639297225216,7.21832747080247,2.86345226037031e-05,0.7,1
"174",81,3,"mod2",NA,NA,NA,NA,14.4179119132713,3.288189353732,4.38475719073397,0.0118308939234599,0.7,1
"175",82,3,"mod2",NA,NA,NA,NA,7.22287281653356,1.70995157239887,4.22402185718083,0.00829570970404591,0.7,1
"176",87,3,"mod2",NA,NA,NA,NA,7.39158302445425,0.948749593192569,7.79086818849784,2.73345924925402e-05,0.7,1
"177",88,3,"mod2",NA,NA,NA,NA,7.82586306603941,1.37167002880324,5.70535398580324,0.00125410215813115,0.7,1
"178",89,3,"mod2",NA,NA,NA,NA,7.5986870134773,1.20135965155936,6.32507259887932,0.00145604319463391,0.7,1
"179",90,3,"mod2",NA,NA,NA,NA,7.03675066715982,0.98009625467076,7.17965264495746,9.43090274264354e-05,0.7,1
"180",91,3,"mod2",NA,NA,NA,NA,7.19152321319066,1.06036262376587,6.78213570716967,0.000140359738297276,0.7,1
"181",92,3,"mod2",NA,NA,NA,NA,5.65694784558484,0.907091120298853,6.23636117584425,0.000429794793780187,0.7,1
"182",93,3,"mod2",NA,NA,NA,NA,11.5446356660682,1.55487874132619,7.42478198410608,0.000698195602962768,0.7,1
"183",94,3,"mod2",NA,NA,NA,NA,6.89324692504735,0.627053528460945,10.9930757298604,1.61850372024334e-06,0.7,1
"184",96,3,"mod2",NA,NA,NA,NA,8.58208879942077,1.48336445502177,5.78555645604628,0.00116647168501343,0.7,1
"185",99,3,"mod2",NA,NA,NA,NA,7.93770996996623,0.964825809248248,8.22709124681372,1.76870965592685e-05,0.7,1
"186",100,3,"mod2",NA,NA,NA,NA,6.85434452056314,0.84177840111676,8.14269469431587,1.9213775167261e-05,0.7,1
"187",1,4,"mod2",NA,NA,NA,NA,7.53327256141232,1.00781215907246,7.47487762833259,3.79149692339674e-05,0.72,1
"188",2,4,"mod2",NA,NA,NA,NA,6.86377706056581,0.769644869926236,8.91810928490129,4.49216360010191e-06,0.72,1
"189",3,4,"mod2",NA,NA,NA,NA,7.54208004585209,0.824073020894565,9.15219871858547,7.44201738389992e-06,0.72,1
"190",4,4,"mod2",NA,NA,NA,NA,6.62087041345483,0.975194979665405,6.78927860736782,8.00155751596877e-05,0.72,1
"191",6,4,"mod2",NA,NA,NA,NA,6.88854727336636,0.792310146541741,8.69425603525759,1.13177399989372e-05,0.72,1
"192",7,4,"mod2",NA,NA,NA,NA,8.58017313430558,2.03711005863327,4.21193400815181,0.0135650898477925,0.72,1
"193",8,4,"mod2",NA,NA,NA,NA,9.89967228338499,1.5614537079065,6.34003572008412,0.000720888757132612,0.72,1
"194",9,4,"mod2",NA,NA,NA,NA,9.23977901611772,2.66945851700774,3.46129335116052,0.0406020083475543,0.72,1
"195",11,4,"mod2",NA,NA,NA,NA,7.05665629561992,0.852399812630553,8.27857560625534,3.41035995663593e-05,0.72,1
"196",15,4,"mod2",NA,NA,NA,NA,7.84385896599701,0.837601126913952,9.36467097996494,1.41881140303738e-06,0.72,1
"197",16,4,"mod2",NA,NA,NA,NA,7.95674264174052,0.883299898223744,9.00797414076577,8.47641235043734e-06,0.72,1
"198",18,4,"mod2",NA,NA,NA,NA,8.29579644954747,0.74366427821997,11.1552977499528,1.08587172396415e-07,0.72,1
"199",19,4,"mod2",NA,NA,NA,NA,8.80121461291494,2.01124697414169,4.37599893303552,0.00718150908095853,0.72,1
"200",20,4,"mod2",NA,NA,NA,NA,7.85710171746298,0.840511178441441,9.34800383265858,1.44396525367876e-06,0.72,1
"201",21,4,"mod2",NA,NA,NA,NA,9.63444089014342,1.73398902758456,5.55622944371461,0.00143778373460608,0.72,1
"202",22,4,"mod2",NA,NA,NA,NA,6.78631331808402,0.770846816288631,8.80371193690316,5.04324246594039e-06,0.72,1
"203",25,4,"mod2",NA,NA,NA,NA,15.8634152663898,5.49987198687432,2.88432445414157,0.102119761990935,0.72,1
"204",27,4,"mod2",NA,NA,NA,NA,8.00475128739458,0.949572302525784,8.42984917115063,1.45361747919473e-05,0.72,1
"205",28,4,"mod2",NA,NA,NA,NA,9.51375625854964,1.63356800730459,5.82391196204158,0.00112704947981658,0.72,1
"206",29,4,"mod2",NA,NA,NA,NA,7.47710853938308,0.642789621983245,11.6322794949822,3.91260212615712e-07,0.72,1
"207",31,4,"mod2",NA,NA,NA,NA,7.81156264849121,0.855372075490589,9.13235640058856,3.62831893965799e-06,0.72,1
"208",33,4,"mod2",NA,NA,NA,NA,6.39001104394371,0.898928826377317,7.10847272491578,0.000101143488337179,0.72,1
"209",35,4,"mod2",NA,NA,NA,NA,7.95472071882759,1.15198352440649,6.90523826972776,0.000123872226242434,0.72,1
"210",36,4,"mod2",NA,NA,NA,NA,7.92248182373148,0.79285065604424,9.99240117080689,8.53649006285528e-06,0.72,1
"211",37,4,"mod2",NA,NA,NA,NA,7.75608733829174,1.84449412581096,4.20499432866542,0.00844882886936716,0.72,1
"212",39,4,"mod2",NA,NA,NA,NA,7.11146567237865,1.1518002654781,6.17421777501219,0.000456592639308707,0.72,1
"213",40,4,"mod2",NA,NA,NA,NA,6.90240852506411,1.3869894552313,4.97654001552091,0.00418815081296924,0.72,1
"214",41,4,"mod2",NA,NA,NA,NA,10.5156956789659,1.32850925272342,7.91541019184392,0.000215816902315563,0.72,1
"215",42,4,"mod2",NA,NA,NA,NA,7.01766386181231,0.828626198155982,8.46903450244436,0.000377010120167271,0.72,1
"216",43,4,"mod2",NA,NA,NA,NA,6.64602820755591,0.702033736478735,9.46682169562263,0.000222185278863107,0.72,1
"217",44,4,"mod2",NA,NA,NA,NA,8.6450724080422,1.58822586246988,5.44322606269494,0.000962926363697395,0.72,1
