"","replicate","areas","species","hosts","parasites","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","sd_gen","potential_indegree"
"1",1,1,20,16,4,7,0.109375,0.35,1.75,0.4375,0.244897959183673,5,1.42857142857143,5.25
"2",1,2,28,15,13,15,0.0769230769230769,0.535714285714286,1.15384615384615,1,0.426666666666667,2.15384615384615,1.03544036628709,3.30769230769231
"3",1,3,34,26,8,18,0.0865384615384615,0.529411764705882,2.25,0.692307692307692,0.342592592592593,4.25,2.42106423463292,4.875
"4",1,4,46,29,17,28,0.0567951318458418,0.608695652173913,1.64705882352941,0.96551724137931,0.55484693877551,2.70588235294118,1.29113005027483,3.29411764705882
"5",1,5,48,19,29,52,0.0943738656987296,1.08333333333333,1.79310344827586,2.73684210526316,0.489275147928994,1.6551724137931,1.50830620626504,2.37931034482759
"6",1,6,49,24,25,48,0.08,0.979591836734694,1.92,2,0.489149305555556,1.96,1.52897979860332,2.56
"7",1,7,55,23,32,63,0.0855978260869565,1.14545454545455,1.96875,2.73913043478261,0.46031746031746,1.71875,1.24423905516771,2.59375
"8",1,8,59,27,32,56,0.0648148148148148,0.949152542372881,1.75,2.07407407407407,0.500637755102041,1.84375,1.22633121498555,2.375
"9",1,9,61,25,36,76,0.0844444444444444,1.24590163934426,2.11111111111111,3.04,0.450657894736842,1.69444444444444,1.24013763130934,2.5
"10",1,10,61,23,38,86,0.0983981693363844,1.40983606557377,2.26315789473684,3.73913043478261,0.417387777176852,1.60526315789474,1.20828338886793,2.52631578947368
"11",1,11,67,25,42,103,0.0980952380952381,1.53731343283582,2.45238095238095,4.12,0.389480629654067,1.5952380952381,1.16895408231453,2.52380952380952
"12",1,12,67,21,46,84,0.0869565217391304,1.25373134328358,1.82608695652174,4,0.474631519274376,1.45652173913043,1.04070656401147,2.45652173913043
"13",1,13,68,22,46,107,0.105731225296443,1.57352941176471,2.32608695652174,4.86363636363636,0.432614202113722,1.47826086956522,1.21362544958277,2.41304347826087
"14",1,14,68,23,45,103,0.0995169082125604,1.51470588235294,2.28888888888889,4.47826086956522,0.430954849655953,1.51111111111111,1.24805293229038,2.31111111111111
"15",1,15,69,23,46,96,0.0907372400756144,1.39130434782609,2.08695652173913,4.17391304347826,0.466254340277778,1.5,1.22937851281767,2.47826086956522
"16",1,16,69,22,47,94,0.0909090909090909,1.36231884057971,2,4.27272727272727,0.438886373924853,1.46808510638298,1.22446762297346,2.36170212765957
"17",1,17,71,24,47,113,0.100177304964539,1.59154929577465,2.40425531914894,4.70833333333333,0.401206045892396,1.51063829787234,1.23361263384792,2.5531914893617
"18",1,18,77,22,55,130,0.107438016528926,1.68831168831169,2.36363636363636,5.90909090909091,0.395147928994083,1.4,1.13053178893582,2.4
"19",1,19,78,23,55,132,0.104347826086957,1.69230769230769,2.4,5.73913043478261,0.406450872359963,1.41818181818182,1.15749378312528,2.4
"20",1,20,78,22,56,131,0.106331168831169,1.67948717948718,2.33928571428571,5.95454545454545,0.399976691335004,1.39285714285714,1.13130788451645,2.375
"21",1,21,78,23,55,113,0.0893280632411067,1.44871794871795,2.05454545454545,4.91304347826087,0.453911817683452,1.41818181818182,1.16126845091745,2.4
"22",1,22,79,23,56,133,0.103260869565217,1.68354430379747,2.375,5.78260869565217,0.410933348408616,1.41071428571429,1.15823606166619,2.375
"23",2,1,31,17,14,27,0.113445378151261,0.870967741935484,1.92857142857143,1.58823529411765,0.432098765432099,2.21428571428571,1.65246743933309,2.78571428571429
"24",2,2,38,21,17,26,0.0728291316526611,0.684210526315789,1.52941176470588,1.23809523809524,0.584319526627219,2.23529411764706,0.912386244929935,3.05882352941176
"25",2,3,44,21,23,45,0.093167701863354,1.02272727272727,1.95652173913043,2.14285714285714,0.411851851851852,1.91304347826087,1.15985821037298,3.08695652173913
"26",2,4,49,22,27,63,0.106060606060606,1.28571428571429,2.33333333333333,2.86363636363636,0.401360544217687,1.81481481481481,1.16167021258661,2.88888888888889
"27",2,5,50,18,32,66,0.114583333333333,1.32,2.0625,3.66666666666667,0.402203856749311,1.5625,1.0528535967126,2.625
"28",2,6,50,17,33,54,0.0962566844919786,1.08,1.63636363636364,3.17647058823529,0.460562414266118,1.51515151515152,0.761365846596193,2.6969696969697
"29",2,7,53,24,29,62,0.0890804597701149,1.16981132075472,2.13793103448276,2.58333333333333,0.419094693028096,1.82758620689655,1.18106014533542,2.72413793103448
"30",2,8,57,22,35,60,0.0779220779220779,1.05263157894737,1.71428571428571,2.72727272727273,0.517222222222222,1.62857142857143,1.18769956306334,2.45714285714286
"31",2,9,59,20,39,83,0.106410256410256,1.40677966101695,2.12820512820513,4.15,0.436928436638119,1.51282051282051,1.00765569593076,2.41025641025641
"32",2,10,60,21,39,76,0.0927960927960928,1.26666666666667,1.94871794871795,3.61904761904762,0.439231301939058,1.53846153846154,1.15899353168265,2.61538461538462
"33",2,11,62,30,32,56,0.0583333333333333,0.903225806451613,1.75,1.86666666666667,0.518176020408163,1.9375,1.31901323661567,2.8125
"34",2,12,66,20,46,106,0.115217391304348,1.60606060606061,2.30434782608696,5.3,0.39061943752225,1.43478260869565,1.12818308147813,2.47826086956522
"35",2,13,68,22,46,109,0.107707509881423,1.60294117647059,2.3695652173913,4.95454545454545,0.378924332968605,1.47826086956522,1.09532150467836,2.5
"36",2,14,69,24,45,90,0.0833333333333333,1.30434782608696,2,3.75,0.471604938271605,1.53333333333333,1.05930222888523,2.28888888888889
"37",2,15,74,27,47,108,0.0851063829787234,1.45945945945946,2.29787234042553,4,0.421553497942387,1.57446808510638,1.25299479836028,2.51063829787234
"38",2,16,75,22,53,123,0.10548885077187,1.64,2.32075471698113,5.59090909090909,0.417013682331945,1.41509433962264,1.13303613847544,2.37735849056604
"39",2,17,75,23,52,125,0.104515050167224,1.66666666666667,2.40384615384615,5.43478260869565,0.409344,1.44230769230769,1.17779224404635,2.40384615384615
"40",2,18,75,22,53,120,0.102915951972556,1.6,2.26415094339623,5.45454545454545,0.428333333333333,1.41509433962264,1.18933905795405,2.30188679245283
"41",2,19,76,22,54,125,0.105218855218855,1.64473684210526,2.31481481481481,5.68181818181818,0.418304,1.40740740740741,1.16217711309776,2.38888888888889
"42",2,20,77,25,52,127,0.0976923076923077,1.64935064935065,2.44230769230769,5.08,0.396862793725587,1.48076923076923,1.21505360050789,2.48076923076923
"43",2,21,78,26,52,122,0.0902366863905325,1.56410256410256,2.34615384615385,4.69230769230769,0.412657887664606,1.5,1.22021560666661,2.48076923076923
"44",2,22,79,23,56,133,0.103260869565217,1.68354430379747,2.375,5.78260869565217,0.410933348408616,1.41071428571429,1.15823606166619,2.375
"45",3,1,14,9,5,8,0.177777777777778,0.571428571428571,1.6,0.888888888888889,0.265625,2.8,0.958514475634041,4.4
"46",3,2,27,12,15,31,0.172222222222222,1.14814814814815,2.06666666666667,2.58333333333333,0.328824141519251,1.8,0.957875976421189,3.26666666666667
"47",3,3,30,12,18,27,0.125,0.9,1.5,2.25,0.497942386831276,1.66666666666667,1.02616460575867,3.16666666666667
"48",3,4,42,23,19,37,0.0846681922196796,0.880952380952381,1.94736842105263,1.60869565217391,0.443389335281227,2.21052631578947,1.58167974465608,2.68421052631579
"49",3,5,49,21,28,60,0.102040816326531,1.22448979591837,2.14285714285714,2.85714285714286,0.453888888888889,1.75,1.08238800160027,2.64285714285714
"50",3,6,51,23,28,46,0.0714285714285714,0.901960784313726,1.64285714285714,2,0.485822306238185,1.82142857142857,1.05457991938649,2.82142857142857
"51",3,7,52,25,27,56,0.082962962962963,1.07692307692308,2.07407407407407,2.24,0.399872448979592,1.92592592592593,1.23312494409122,2.62962962962963
"52",3,8,52,20,32,70,0.109375,1.34615384615385,2.1875,3.5,0.41,1.625,1.32668465201743,2.625
"53",3,9,55,23,32,62,0.0842391304347826,1.12727272727273,1.9375,2.69565217391304,0.480749219562955,1.71875,1.38784033442753,2.6875
"54",3,10,58,22,36,74,0.0934343434343434,1.27586206896552,2.05555555555556,3.36363636363636,0.433345507669832,1.61111111111111,1.29731785340499,2.5
"55",3,11,58,18,40,84,0.116666666666667,1.44827586206897,2.1,4.66666666666667,0.443168934240363,1.45,0.998760788081323,2.45
"56",3,12,59,24,35,75,0.0892857142857143,1.27118644067797,2.14285714285714,3.125,0.430044444444445,1.68571428571429,1.14703726667,2.8
"57",3,13,61,25,36,88,0.0977777777777778,1.44262295081967,2.44444444444444,3.52,0.396435950413223,1.69444444444444,1.39075782689546,2.55555555555556
"58",3,14,64,25,39,94,0.0964102564102564,1.46875,2.41025641025641,3.76,0.410593028519692,1.64102564102564,1.35917300375343,2.56410256410256
"59",3,15,66,22,44,85,0.0878099173553719,1.28787878787879,1.93181818181818,3.86363636363636,0.442352941176471,1.5,0.982133792736569,2.43181818181818
"60",3,16,67,23,44,100,0.0988142292490119,1.49253731343284,2.27272727272727,4.34782608695652,0.4219,1.52272727272727,1.15020597475199,2.34090909090909
"61",3,17,67,21,46,102,0.105590062111801,1.52238805970149,2.21739130434783,4.85714285714286,0.430699730872741,1.45652173913043,1.04469442510972,2.58695652173913
"62",3,18,73,24,49,98,0.0833333333333333,1.34246575342466,2,4.08333333333333,0.465118700541441,1.48979591836735,1.18756142201425,2.57142857142857
