"","replicate","areas","species","hosts","parasites","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","sd_gen","potential_indegree"
"1",1,1,28,24,4,25,0.260416666666667,0.892857142857143,6.25,1.04166666666667,0.4992,7,1.68,NA
"2",1,2,31,19,12,30,0.131578947368421,0.967741935483871,2.5,1.57894736842105,0.578888888888889,2.58333333333333,1.28460189171666,NA
"3",1,3,34,10,24,34,0.141666666666667,1,1.41666666666667,3.4,0.427335640138408,1.41666666666667,0.676399541594523,NA
"4",1,4,39,22,17,41,0.109625668449198,1.05128205128205,2.41176470588235,1.86363636363636,0.547888161808447,2.29411764705882,1.51389417868656,NA
"5",1,5,41,15,26,43,0.11025641025641,1.04878048780488,1.65384615384615,2.86666666666667,0.445105462412115,1.57692307692308,1.1068760016323,NA
"6",1,6,49,41,8,60,0.182926829268293,1.22448979591837,7.5,1.46341463414634,0.388888888888889,6.125,2.0474916903915,NA
"7",1,7,49,24,25,62,0.103333333333333,1.26530612244898,2.48,2.58333333333333,0.464880332986472,1.96,0.900101245853042,NA
"8",1,8,56,3,53,71,0.446540880503145,1.26785714285714,1.33962264150943,23.6666666666667,NA,1.05660377358491,0.489940975367324,NA
"9",1,9,57,11,46,75,0.148221343873518,1.31578947368421,1.6304347826087,6.81818181818182,0.405155555555556,1.23913043478261,0.905698115063873,NA
"10",1,10,61,41,20,81,0.0987804878048781,1.32786885245902,4.05,1.97560975609756,0.464715744551136,3.05,1.39237941285097,NA
"11",1,11,62,14,48,85,0.126488095238095,1.37096774193548,1.77083333333333,6.07142857142857,0.440830449826989,1.29166666666667,0.600365210815186,NA
"12",1,12,64,22,42,97,0.104978354978355,1.515625,2.30952380952381,4.40909090909091,0.462854713572112,1.52380952380952,0.79912351016396,NA
"13",1,13,65,25,40,99,0.099,1.52307692307692,2.475,3.96,0.4092439546985,1.625,0.87912575813684,NA
"14",1,14,65,39,26,101,0.0996055226824458,1.55384615384615,3.88461538461538,2.58974358974359,0.468287422801686,2.5,1.06648417303042,NA
"15",1,15,70,52,18,108,0.115384615384615,1.54285714285714,6,2.07692307692308,0.413065843621399,3.88888888888889,1.52410100914103,NA
"16",1,16,70,49,21,110,0.10689990281827,1.57142857142857,5.23809523809524,2.24489795918367,0.448595041322314,3.33333333333333,0.963093042943615,NA
"17",1,17,71,37,34,115,0.0914149443561208,1.61971830985915,3.38235294117647,3.10810810810811,0.433724007561437,2.08823529411765,1.0017306156771,NA
"18",1,18,72,60,12,117,0.1625,1.625,9.75,1.95,0.411059975162539,6,2.13377259239648,NA
"19",1,19,72,69,3,120,0.579710144927536,1.66666666666667,40,1.73913043478261,NA,24,1.03923048454133,NA
"20",1,20,72,5,67,121,0.361194029850746,1.68055555555556,1.80597014925373,24.2,NA,1.07462686567164,0.693788307805583,NA
"21",1,21,73,15,58,122,0.140229885057471,1.67123287671233,2.10344827586207,8.13333333333333,0.402714324106423,1.25862068965517,0.784962821281028,NA
"22",1,22,79,16,63,133,0.131944444444444,1.68354430379747,2.11111111111111,8.3125,0.435637967098196,1.25396825396825,0.667250241929646,NA
"23",2,1,23,20,3,18,0.3,0.782608695652174,6,0.9,NA,7.66666666666667,2.21317603189357,NA
"24",2,2,35,20,15,34,0.113333333333333,0.971428571428571,2.26666666666667,1.7,0.47923875432526,2.33333333333333,1.42753726969728,NA
"25",2,3,41,12,29,45,0.129310344827586,1.09756097560976,1.55172413793103,3.75,0.53037037037037,1.41379310344828,0.75386689120071,NA
"26",2,4,44,11,33,49,0.134986225895317,1.11363636363636,1.48484848484848,4.45454545454545,0.485630987088713,1.33333333333333,0.758211000858401,NA
"27",2,5,47,14,33,56,0.121212121212121,1.19148936170213,1.6969696969697,4,0.462691326530612,1.42424242424242,1.01266715157043,NA
"28",2,6,58,8,50,74,0.185,1.27586206896552,1.48,9.25,0.385682980277575,1.16,0.69123232451237,NA
"29",2,7,61,48,13,78,0.125,1.27868852459016,6,1.625,0.470742932281394,4.69230769230769,1.39167045592716,NA
"30",2,8,68,34,34,87,0.0752595155709343,1.27941176470588,2.55882352941176,2.55882352941176,0.460298586339014,2,1.11940418734043,NA
"31",2,9,71,4,67,101,0.376865671641791,1.42253521126761,1.50746268656716,25.25,0.346926771885109,1.05970149253731,0.489315795597142,NA
"32",2,10,71,20,51,104,0.101960784313725,1.46478873239437,2.03921568627451,5.2,0.425295857988166,1.3921568627451,0.906888437036382,NA
"33",2,11,72,44,28,106,0.086038961038961,1.47222222222222,3.78571428571429,2.40909090909091,0.446511213955144,2.57142857142857,1.1299170798936,NA
"34",2,12,73,33,40,109,0.0825757575757576,1.49315068493151,2.725,3.3030303030303,0.455601380355189,1.825,0.961720636762904,NA
