"","replicate","area","species","links","connectances","links_per_sp","indegrees","outdegrees","maxsims","basals","tops","intermediates","sd_gen","sd_vul","overlaps","S_tops","S_intermediates","S_basals","modularities","normalised_indegree","normalised_outdegree","resources","consumers","potential_indegree"
"1",1,1,71,89,0.0358148893360161,1.25352112676056,5.93333333333333,1.8936170212766,0,0.619718309859155,0.169014084507042,0.0422535211267606,3.34599551260699,1.05073731806442,0.351648351648352,12,3,44,0.401780098676682,4.73333333333333,1.51063829787234,47,15,16.4666666666667
"2",1,2,95,181,0.0405375139977604,1.90526315789474,10.0555555555556,2.38157894736842,0,0.705263157894737,0.0947368421052632,0.0947368421052632,3.07198419753465,0.959506269133962,0.522875816993464,9,9,67,0.361100077629089,5.27777777777778,1.25,76,18,19.1666666666667
"3",1,3,113,223,0.0352402022756005,1.97345132743363,8.25925925925926,2.47777777777778,0,0.654867256637168,0.106194690265487,0.132743362831858,3.18001506264629,0.989322757977686,0.47,12,15,74,0.294898331165314,4.18518518518519,1.25555555555556,90,27,15.6296296296296
"4",1,4,125,312,0.040258064516129,2.496,11.1428571428571,2.97142857142857,0,0.696,0.088,0.136,3.15531690318882,0.852357878190999,0.439153439153439,11,17,87,0.285004734992981,4.46428571428571,1.19047619047619,105,28,16.0357142857143
"5",1,5,125,272,0.0350967741935484,2.176,10.0740740740741,2.66666666666667,0,0.688,0.088,0.128,3.10047828178454,0.922934437497091,0.447293447293447,11,16,86,0.367613255977631,4.62962962962963,1.22549019607843,102,27,17.1851851851852
"6",1,6,125,291,0.0375483870967742,2.328,8.81818181818182,2.91,0,0.624,0.104,0.16,3.00874092762192,0.964801322075891,0.369318181818182,13,20,78,0.268802911043167,3.78787878787879,1.25,100,33,14.5757575757576
"7",1,7,125,311,0.0401290322580645,2.488,12.44,3.11,0,0.688,0.096,0.104,2.9379156780348,0.954441751581391,0.613333333333333,12,13,86,0.31642559170723,5,1.25,100,25,20.6
"8",1,8,125,372,0.048,2.976,10.6285714285714,3.35135135135135,0,0.696,0.088,0.192,2.47788126325139,0.959436736200718,0.52436974789916,11,24,87,0.238289833068848,3.57142857142857,1.12612612612613,111,35,18.0285714285714
"9",1,9,127,323,0.0403699537557805,2.54330708661417,10.4193548387097,2.90990990990991,0,0.692913385826772,0.0708661417322835,0.173228346456693,3.09746028071922,0.785996762611037,0.382795698924731,9,22,88,0.310742974281311,4.09677419354839,1.14414414414414,111,31,17.4193548387097
"10",1,10,131,198,0.0232530827950675,1.51145038167939,6.1875,2.41463414634146,0,0.511450381679389,0.137404580152672,0.106870229007634,2.98305361243633,1.33177120588586,0.346774193548387,18,14,67,0.405277490615845,4.09375,1.59756097560976,82,32,9.28125
"11",1,11,135,318,0.0351575456053068,2.35555555555556,9.63636363636364,3.05769230769231,0,0.659259259259259,0.140740740740741,0.103703703703704,2.73087872342245,1.09465396198207,0.464015151515151,19,14,89,0.337051570415497,4.09090909090909,1.29807692307692,104,33,14.4242424242424
"12",1,12,159,543,0.0432290422737043,3.41509433962264,14.2894736842105,3.66891891891892,0,0.735849056603774,0.050314465408805,0.188679245283019,3.05165218653158,0.836235211786681,0.48221906116643,8,30,117,0.2018151730299,4.18421052631579,1.07432432432432,148,38,17.6842105263158
"13",1,13,160,496,0.0389937106918239,3.1,13.4054054054054,3.54285714285714,0,0.70625,0.075,0.15625,3.08034799546938,0.843983605661374,0.417417417417417,12,25,113,0.272565603256226,4.32432432432432,1.14285714285714,140,37,17.2972972972973
"14",1,14,162,508,0.0389540679395752,3.1358024691358,12.7,3.3202614379085,0,0.746913580246914,0.0555555555555556,0.191358024691358,2.84532425192147,0.874606397042965,0.476923076923077,9,31,121,0.329805791378021,4.05,1.05882352941176,153,40,15.65
"15",1,15,164,505,0.0377824330390543,3.07926829268293,12.9487179487179,3.43537414965986,0,0.713414634146341,0.0670731707317073,0.170731707317073,2.9757500654747,0.88407000182843,0.473684210526316,11,28,117,0.262752652168274,4.20512820512821,1.1156462585034,147,39,16.7435897435897
"16",1,16,164,564,0.0421966182852013,3.4390243902439,13.7560975609756,3.76,0,0.719512195121951,0.0548780487804878,0.195121951219512,3.05367058438223,0.844970865268574,0.45609756097561,9,32,118,0.216077864170074,4,1.09333333333333,150,41,17.0731707317073
"17",1,17,164,605,0.0452641029477779,3.6890243902439,13.4444444444444,4.06040268456376,0,0.695121951219512,0.0670731707317073,0.207317073170732,2.83154402380201,0.882896470194272,0.465656565656566,11,34,114,0.254899233579636,3.64444444444444,1.1006711409396,149,45,16.5555555555556
"18",1,18,164,584,0.043692952266946,3.5609756097561,14.974358974359,3.91946308724832,0,0.725609756097561,0.0609756097560976,0.176829268292683,3.07439283731564,0.824292029870683,0.506072874493927,10,29,119,0.236247137188911,4.20512820512821,1.1006711409396,149,39,17.6923076923077
"19",1,19,164,515,0.0385306000299267,3.14024390243902,13.5526315789474,3.55172413793103,0,0.707317073170732,0.0609756097560976,0.170731707317073,3.01896643857948,0.910244673882531,0.456614509246088,10,28,116,0.214553683996201,4.31578947368421,1.13103448275862,145,38,17
"20",1,20,164,604,0.0451892862486907,3.68292682926829,15.1,3.92207792207792,0,0.731707317073171,0.0426829268292683,0.201219512195122,2.85089518919748,0.866891757892694,0.534615384615385,7,33,120,0.205800995230675,4.1,1.06493506493506,154,40,17.55
"21",1,21,164,522,0.0390543169235373,3.18292682926829,14.5,3.50335570469799,0,0.75,0.0670731707317073,0.152439024390244,3.23562627270302,0.810395018608522,0.471428571428571,11,25,123,0.244898781180382,4.55555555555556,1.1006711409396,149,36,17.7777777777778
"22",1,22,164,617,0.0461619033368248,3.76219512195122,14.6904761904762,4.08609271523179,0,0.719512195121951,0.0609756097560976,0.195121951219512,2.76447260837855,0.875330998672429,0.54123112659698,10,32,118,0.252241313457489,3.9047619047619,1.08609271523179,151,42,18.4761904761905
"23",1,23,165,623,0.0460458240946046,3.77575757575758,13.5434782608696,4.04545454545455,0,0.709090909090909,0.0606060606060606,0.218181818181818,2.80202054028864,0.89926074062017,0.50048309178744,10,36,117,0.241220071911812,3.58695652173913,1.07142857142857,154,46,17.1739130434783
"24",1,24,165,513,0.0379157427937916,3.10909090909091,12.5121951219512,3.42,0,0.715151515151515,0.0545454545454545,0.193939393939394,3.15759294796142,0.863495490131242,0.424390243902439,9,32,118,0.257222563028336,4.02439024390244,1.1,150,41,15.1219512195122
"25",1,25,165,531,0.0392461197339246,3.21818181818182,12.6428571428571,3.58783783783784,0,0.715151515151515,0.0787878787878788,0.175757575757576,2.83281194047883,0.950387614518479,0.468060394889663,13,29,118,0.285998791456223,3.92857142857143,1.11486486486486,148,42,16.4285714285714
"26",1,26,167,508,0.0366495923815021,3.04191616766467,14.5142857142857,3.47945205479452,0,0.736526946107784,0.0838323353293413,0.125748502994012,3.18201120221995,0.931463812040614,0.551260504201681,14,21,123,0.26724573969841,4.77142857142857,1.14383561643836,146,35,17.5714285714286
"27",1,27,169,487,0.034305438151592,2.88165680473373,12.175,3.50359712230216,0,0.674556213017751,0.0946745562130177,0.142011834319527,2.96467616331894,1.05801691340895,0.493589743589744,16,24,114,0.261697351932526,4.225,1.2158273381295,139,40,15
"28",1,28,171,669,0.0460268317853457,3.91228070175439,14.8666666666667,4.15527950310559,0,0.730994152046784,0.0584795321637427,0.204678362573099,2.77199183125199,0.857591896642251,0.52020202020202,10,35,125,0.228114157915115,3.8,1.06211180124224,161,45,18.0444444444444
"29",1,29,171,623,0.0428620571035432,3.64327485380117,14.8333333333333,3.94303797468354,0,0.730994152046784,0.0584795321637427,0.187134502923977,2.94038213981543,0.821074260513636,0.450638792102207,10,32,125,0.23725488781929,4.07142857142857,1.08227848101266,158,42,17.0714285714286
"30",1,30,174,649,0.0431200584678759,3.72988505747126,14.4222222222222,3.98159509202454,0,0.724137931034483,0.0517241379310345,0.206896551724138,2.88255823145364,0.851807576486268,0.486868686868687,9,36,126,0.249208822846413,3.86666666666667,1.06748466257669,163,45,16.6222222222222
"31",1,31,178,671,0.042595061258173,3.76966292134831,14.2765957446809,4.01796407185629,0,0.730337078651685,0.0561797752808989,0.207865168539326,2.9350520986568,0.84819729746885,0.483811285846439,10,37,130,0.253887355327606,3.78723404255319,1.06586826347305,167,47,16.531914893617
"32",1,32,178,689,0.0437377007554117,3.87078651685393,14.9782608695652,4.07692307692308,0,0.741573033707865,0.0561797752808989,0.202247191011236,2.8837533292566,0.865815597861001,0.522705314009662,10,36,132,0.224483415484428,3.8695652173913,1.05325443786982,169,46,16.9565217391304
"33",1,33,178,632,0.0401193423474894,3.55056179775281,15.047619047619,3.78443113772455,0,0.752808988764045,0.0561797752808989,0.179775280898876,3.09484804456769,0.86460982213048,0.499419279907085,10,32,134,0.203827261924744,4.23809523809524,1.06586826347305,167,42,17.2142857142857
"34",1,34,179,685,0.0429979285669449,3.8268156424581,15.5681818181818,4.10179640718563,0,0.754189944134078,0.0726256983240224,0.173184357541899,3.01283119639866,0.853214788162925,0.50845665961945,13,31,135,0.172154068946838,4.06818181818182,1.07185628742515,167,44,17.2727272727273
