"","replicate","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,1,"mod2",NA,NA,NA,NA,2.73142195847695,0.439593694353786,6.21351487421176,0.000439436250529757
"2",1,2,"mod2",NA,NA,NA,NA,2.6395483991826,0.478488293505446,5.5164325543788,0.000562740088865335
"3",1,3,"mod2",NA,NA,NA,NA,2.60419027826463,0.468686331353033,5.55636062768608,0.000171119589615278
"4",1,4,"mod1",0.199708589038354,0.10248147587941,1.94872865876123,0.0750939341640244,2.82888666369402,0.457598988464606,6.18202123476247,4.71259625303329e-05
"5",1,5,"mod2",NA,NA,NA,NA,2.63847596192452,0.517561450967193,5.09789892001011,0.000345178994424467
"6",1,6,"mod2",NA,NA,NA,NA,2.6714920728273,0.442155063710263,6.04198004747468,5.8296206944095e-05
"7",1,7,"mod2",NA,NA,NA,NA,2.63929072168022,0.477194081768602,5.53085384441136,0.000177792840830896
"8",1,8,"mod2",NA,NA,NA,NA,2.45192393100356,0.400357205280103,6.12434071041164,3.63482170638552e-05
"9",1,9,"mod2",NA,NA,NA,NA,2.62118938327679,0.504830182079384,5.19222003026873,0.000298049750238989
"10",1,10,"mod2",NA,NA,NA,NA,2.65626255911507,0.478840938381644,5.54727540233408,0.000173465479630403
"11",1,11,"mod2",NA,NA,NA,NA,2.47774432935742,0.336252211317679,7.36870791019582,5.43438158180359e-06
"12",1,12,"mod2",NA,NA,NA,NA,2.59322976138857,0.434084633214859,5.97401880408193,6.46988926435652e-05
"13",1,13,"mod2",NA,NA,NA,NA,2.41579319285684,0.368887069985447,6.54886925950573,9.21538668001115e-06
"14",1,14,"mod2",NA,NA,NA,NA,2.61085565917144,0.434964148411376,6.00246174013903,6.19330269708339e-05
"15",1,15,"mod2",NA,NA,NA,NA,2.71963857755082,0.485187164890104,5.60533908222165,0.000159040649688135
"16",1,16,"mod1",0.4421779629733,0.175311783828607,2.52223754340206,0.026798844564992,3.72156636058978,0.977681803788689,3.80652104413527,0.00249998748283415
"17",1,17,"mod1",0.446609448162458,0.177815589864166,2.51164393686529,0.0273252327068431,3.71109826558857,0.986077141220742,3.76349690146383,0.00270363462955361
"18",1,18,"mod2",NA,NA,NA,NA,2.53318335677437,0.402840705484331,6.2883003685756,1.99412703806873e-05
"19",1,19,"mod1",0.442856073096747,0.196529606126592,2.25338096292468,0.0456186554533654,3.89750156937456,1.19797850590371,3.25339857949658,0.00768864828023749
"20",1,20,"mod1",0.452364891273574,0.181336373271753,2.49461750619471,0.0268599858593433,3.59283869881737,0.949640313715042,3.78336792038872,0.00227820743810785
"21",1,21,"mod2",NA,NA,NA,NA,2.58462389275202,0.403751037496846,6.40152879550733,1.6502707677619e-05
"22",1,22,"mod2",NA,NA,NA,NA,2.37622095037475,0.380803865653861,6.24001268026692,1.58313298543919e-05
"23",1,23,"mod2",NA,NA,NA,NA,2.56032473820402,0.413170337502523,6.19677771081129,2.32678101184181e-05
"24",1,24,"mod2",NA,NA,NA,NA,2.61004394719338,0.516341579375329,5.05487849797224,0.000282213568752964
"25",1,25,"mod1",0.428247699639317,0.172735362909002,2.4792126662849,0.0289998932393884,3.68123237024715,0.947501001218611,3.88520156233355,0.00216736420487426
"26",1,26,"mod2",NA,NA,NA,NA,2.44771969245151,0.355408442486946,6.88706119450557,3.65515253919658e-06
"27",1,27,"mod2",NA,NA,NA,NA,2.43647828693621,0.364315915988647,6.68781730362869,5.21357020655053e-06
"28",1,28,"mod2",NA,NA,NA,NA,2.61503145630504,0.3873031171181,6.75189881187463,6.5032740543729e-06
"29",1,29,"mod2",NA,NA,NA,NA,2.62630409928284,0.432156506761345,6.07720596171238,2.85135832307882e-05
"30",1,30,"mod3",1.17102924538342,0.184502741981972,6.34694765402371,3.68099169032337e-05,NA,NA,NA,NA
"31",1,31,"mod1",0.413728838994651,0.164951203151714,2.50818927712897,0.0261812150080691,3.54179879660883,0.851999738671832,4.15704211615144,0.00112630691011678
"32",1,32,"mod1",0.427273533589308,0.170727814083236,2.50265919401391,0.0264557725377443,3.56464590232259,0.897906017539193,3.96995435234067,0.00160015551430045
"33",1,33,"mod2",NA,NA,NA,NA,2.45207473292441,0.387852977944131,6.32217585622773,1.01463439271082e-05
"34",1,34,"mod2",NA,NA,NA,NA,2.52043683485834,0.409526659795266,6.15451222667255,1.84324145658865e-05
"35",1,35,"mod2",NA,NA,NA,NA,2.51703703261763,0.414198407779526,6.07688727272324,2.11807163332273e-05
"36",1,36,"mod1",0.822732734613715,0.256744191611978,3.20448431354243,0.0083874621742721,6.91559921577155,3.9678837465093,1.74289360716666,0.109199087206576
"37",1,37,"mod2",NA,NA,NA,NA,2.47709760655622,0.428097672821874,5.78629075516349,4.71487669692556e-05
"38",1,38,"mod1",0.416338119883228,0.15890723961124,2.62000725015287,0.0201756732326137,3.43437305135631,0.778418847042005,4.41198599495239,0.000591026414725978
"39",1,39,"mod3",1.15629014538845,0.184756190017746,6.25846498175451,4.20075906365071e-05,NA,NA,NA,NA
"40",1,40,"mod1",0.414627710680947,0.174169218177865,2.38060269787466,0.0332704248973497,3.55053624934683,0.913833562746252,3.88532047200889,0.00187760780579062
"41",1,41,"mod2",NA,NA,NA,NA,2.53286228535996,0.41235035255197,6.14250059369291,1.8832088181864e-05
"42",1,42,"mod1",0.417980144919536,0.167378085985055,2.49722144006867,0.0267284523989908,3.55631824721725,0.882222269218834,4.03109099747187,0.00142616213369063
