"","replicate","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,1,"mod1",0.235337078336669,0.0467419308139591,5.03481722381881,0.000182367093996329,1.81603038471352,0.118947107829705,15.2675455321999,4.02705723220135e-10
"2",1,2,"mod1",0.222355019569325,0.0397335188147992,5.59615725467804,4.0170651607487e-05,1.79506090045102,0.0992497729124976,18.0862973060262,4.48482950820172e-12
"3",1,3,"mod1",0.16357801367521,0.0312969078994684,5.22665095863955,3.51653950505347e-05,1.79903702108822,0.0857422650339594,20.9819162157156,1.43531052079377e-15
"4",1,4,"mod1",0.168262401794685,0.0307374990197613,5.47417347411735,1.68484517013504e-05,1.77206759806432,0.0806590748978651,21.9698477859833,1.85429890786173e-16
"5",1,5,"mod1",0.168966268187676,0.0310576860522955,5.44040106217725,1.82626073635367e-05,1.77017751676057,0.0815431531175514,21.7084751948297,2.38614524299092e-16
"6",1,6,"mod1",0.16800824750245,0.0292213565861178,5.74950197836694,7.41805404525322e-06,1.76663753061131,0.0749529303000226,23.5699594871047,1.31056873893721e-17
"7",1,7,"mod1",0.168985078522741,0.0276631769424271,6.10866491851006,4.62451284994852e-06,1.74487471344619,0.0691272409473374,25.2414922038546,3.41266133119271e-17
"8",1,8,"mod1",0.16840023367723,0.0279529760011431,6.02441162867035,5.59284450388578e-06,1.75361564646528,0.0700855087154499,25.021087505907,4.079590138226e-17
"9",1,9,"mod1",0.16840023367723,0.0279529760011431,6.02441162867035,5.59284450388578e-06,1.75361564646528,0.0700855087154499,25.021087505907,4.079590138226e-17
"10",1,10,"mod1",0.168179806546839,0.0291596035904745,5.76756148364712,1.21036390517722e-05,1.7561448990872,0.0745279416011322,23.5635771142849,4.62133164388785e-16
"11",1,11,"mod1",0.168179806546839,0.0291596035904745,5.76756148364712,1.21036390517722e-05,1.7561448990872,0.0745279416011322,23.5635771142849,4.62133164388785e-16
"12",1,12,"mod1",0.168179806546839,0.0291596035904745,5.76756148364712,1.21036390517722e-05,1.7561448990872,0.0745279416011322,23.5635771142849,4.62133164388785e-16
