"","replicate","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,1,"BlackSea","mod1",-0.0719488921182261,0.0058120678012839,-12.3792244994686,1.51193107761512e-20,30.1588708946028,0.635894581934154,47.4274695073997,6.71366048507478e-62
"2",1,2,"BlackSea","mod1",-0.0706404252012039,0.00567738831524646,-12.4424156458527,6.27776906209728e-21,30.3827522713812,0.628724284093977,48.3244452934791,4.08144140721999e-64
"3",1,3,"BlackSea","mod1",-0.0634325647826416,0.00524013401473331,-12.1051417013941,2.3719583248283e-20,31.2542603456631,0.606873554367589,51.5004486861066,5.88263846299461e-67
"4",1,4,"BlackSea","mod1",-0.0604462099207667,0.00490147977522848,-12.3322369351099,8.48304383018832e-21,31.5166231564886,0.576386695596549,54.6796506534029,3.74450367476024e-69
"5",1,5,"BlackSea","mod1",-0.0613902017579693,0.00498660469972269,-12.3110223197326,9.33619888599238e-21,31.2790745659567,0.580560358248288,53.877386083222,1.30624830589112e-68
"6",1,6,"BlackSea","mod1",-0.0602984405962131,0.00486062799329354,-12.4054835464491,6.09558095638704e-21,31.4610260835439,0.570611084912587,55.1356728170877,1.85478150460363e-69
"7",1,7,"BlackSea","mod1",-0.0602094328353951,0.00490208726669497,-12.2824073827614,1.28558859538882e-20,31.4331934337163,0.577651188942621,54.4155262473434,2.07069719722264e-68
"8",1,8,"BlackSea","mod1",-0.0587438817622422,0.0051426164821599,-11.4229559925436,4.57066489548278e-19,31.96604788793,0.619463336543249,51.6028084346493,1.43238714234658e-67
"9",1,11,"BlackSea","mod1",-0.0611723746787062,0.00517852342985011,-11.8127059783288,8.98350983344126e-20,31.635373701376,0.61406584540296,51.5178851554858,5.71720118124234e-67
"10",1,12,"BlackSea","mod1",-0.0628640168821141,0.00525571070446078,-11.961087741903,4.56607744715594e-20,31.5054486206055,0.618534408693168,50.9356442872271,1.4893887833557e-66
"11",1,13,"BlackSea","mod1",-0.0583010829761594,0.00472232653788562,-12.345838964847,6.59534977735764e-21,32.541025545362,0.585338813042077,55.5934867470044,2.47211121225261e-70
"12",1,17,"BlackSea","mod1",-0.0562786371662407,0.00462389213215156,-12.1712694755389,1.75727093389669e-20,33.1928615755298,0.594924639412182,55.7933885682162,6.79864875158194e-70
"13",1,22,"BlackSea","mod1",-0.0561871987595307,0.00451758629742191,-12.4374378396702,3.59415344811558e-21,33.0661392375443,0.575006617486117,57.505667294938,3.56464427022053e-72
"14",1,23,"BlackSea","mod1",-0.0550920750094567,0.00447452117047018,-12.3123956532019,6.37032482162674e-21,33.4256266875164,0.580969984640542,57.5341714222939,3.41474475849835e-72
"15",1,24,"BlackSea","mod1",-0.0553754001326188,0.00453021623254228,-12.2235666666055,1.3866040287535e-20,33.3968561299148,0.591934014120485,56.4198970379106,2.64077624583349e-70
"16",1,26,"BlackSea","mod1",-0.0553255189644686,0.00467310990626297,-11.8391221422635,9.49510776002147e-20,33.5207721911919,0.616618224425876,54.362279386735,2.24729667312774e-68
"17",1,28,"BlackSea","mod1",-0.0538753450422781,0.00461023066502791,-11.6860411022302,1.90257427940456e-19,33.5830990508332,0.61060783618155,54.9994563791481,8.48139911688507e-69
"18",1,30,"BlackSea","mod1",-0.0576457298736556,0.00461573611868314,-12.4889569922168,3.44386659890496e-21,33.3128302803482,0.594719885541471,56.014320506566,1.29624471457673e-70
"19",1,33,"BlackSea","mod1",-0.055784557096345,0.00443861436064023,-12.5680116729714,9.28254266411423e-22,33.6252250708302,0.575080241820937,58.470492681785,3.88656611133685e-75
"20",1,34,"BlackSea","mod1",-0.0560011884017251,0.00444008005196522,-12.6126528680352,7.53113687284466e-22,33.6044586925481,0.574687800201907,58.4742858309186,3.86379983960623e-75
"21",1,49,"BlackSea","mod1",-0.0558980107788203,0.00442895138933888,-12.6210486105977,5.00649761224756e-22,33.4397241525824,0.564648978868826,59.2221458003394,8.35909454468069e-77
"22",1,50,"BlackSea","mod1",-0.0543153443246049,0.00442186706914165,-12.2833507826703,4.22311607090797e-21,33.8931712073048,0.583700521825546,58.0660286225247,2.75538899184522e-74
"23",1,51,"BlackSea","mod1",-0.0542152440600563,0.00460198187824494,-11.7808469251801,6.24495654635134e-20,34.0804532982547,0.617176758282094,55.2199233702794,3.26286895299206e-71
"24",1,52,"BlackSea","mod1",-0.0573197623385682,0.0047415510632386,-12.0888210575164,3.88680877020153e-21,34.8714532668518,0.64284698733916,54.2453397988065,6.56996296068923e-75
"25",1,53,"BlackSea","mod1",-0.0572826205519314,0.0045366981597456,-12.6265002728644,2.3898633601927e-22,35.0044640237475,0.619901221753371,56.4678093789499,4.05393323280929e-77
"26",1,54,"BlackSea","mod1",-0.0567959813281524,0.0044826791129533,-12.6700974789904,1.93317645228921e-22,35.28679548762,0.618947881115025,57.0109318801631,1.6161115212817e-77
"27",1,56,"BlackSea","mod1",-0.055098717947419,0.00419323615716494,-13.1399033782708,1.13559823014971e-23,36.0082428026661,0.591971822383162,60.8276296964677,5.75908648905554e-82
"28",1,60,"BlackSea","mod1",-0.0552321184844651,0.00424225118833762,-13.0195304408904,2.95440956037263e-23,35.9286372804465,0.601803893429712,59.7015700175805,5.09713126683087e-80
"29",1,63,"BlackSea","mod1",-0.0543209210610364,0.00420082529370186,-12.93101170917,3.79276122133818e-23,35.9388702994099,0.596208853395171,60.2789946756952,5.3051159247348e-81
"30",1,66,"BlackSea","mod1",-0.0550937965323089,0.00440423174218688,-12.5092864675083,2.16860113503045e-22,36.293346898881,0.630952245369334,57.5215432946695,4.11084606491367e-80
"31",1,67,"BlackSea","mod1",-0.0549534158970184,0.00407815673145523,-13.4750622684894,1.81770917383441e-24,36.5082818253375,0.58825977142843,62.0614966355545,2.04294423576741e-83
"32",1,70,"BlackSea","mod1",-0.0534577885795836,0.00408995701250785,-13.0705013319455,1.33245546289021e-23,36.6123800386254,0.595031840929209,61.5301190965699,4.84063388115412e-83
"33",1,71,"BlackSea","mod1",-0.0530938263064707,0.00403158770780448,-13.1694583262296,8.17293715710812e-24,36.5696381660974,0.584564045367345,62.5588221785291,9.16990684823531e-84
"34",1,72,"BlackSea","mod1",-0.053296746705256,0.0040855888100096,-13.0450589091786,1.05994877252181e-23,36.3664687863328,0.584774846171591,62.1888390453473,1.14255860190186e-84
"35",1,74,"BlackSea","mod1",-0.0525398903773657,0.00414153156622568,-12.6861016358852,1.06346253897511e-22,36.7011447498314,0.605363907573467,60.6265822766735,8.00019668273697e-82
"36",1,76,"BlackSea","mod1",-0.0530304359420386,0.00410246361470038,-12.9264853811291,3.24366205113955e-23,36.8965867329036,0.603101802970878,61.178040840122,3.255520103573e-82
"37",1,77,"BlackSea","mod1",-0.0536229962765026,0.00413629392486189,-12.9640197845208,2.25700898808411e-23,37.0277865586909,0.607436544067193,60.9574562484588,1.23624305448752e-82
"38",1,86,"BlackSea","mod1",-0.0508375691540454,0.00379581719432101,-13.393049915603,2.71842663067597e-24,37.8399701189289,0.580647319675239,65.1685951811388,1.50927955653302e-85
"39",1,87,"BlackSea","mod1",-0.0489688410320174,0.00351041248508935,-13.949597444749,1.46189833508657e-25,38.3064134029176,0.543936888226978,70.4243713416488,1.41475280683982e-89
"40",1,88,"BlackSea","mod1",-0.0493465822470237,0.00350905511043094,-14.0626409942486,8.42361968937626e-26,38.1846048352751,0.540639479811412,70.6285912538144,1.05328797941717e-89
"41",1,93,"BlackSea","mod1",-0.0495839154418925,0.00327735671142326,-15.1292397525931,3.92146925453308e-28,38.7359459735339,0.509085148027521,76.0893263604695,1.14230434759861e-93
"42",1,99,"BlackSea","mod1",-0.0493057473161184,0.00317715896058832,-15.5188166307512,2.92691209041951e-29,38.7109691964098,0.491006829174095,78.8399812310637,2.75531713874661e-97
"43",1,105,"BlackSea","mod1",-0.0505985672273885,0.00321920742845354,-15.7177095145109,8.76032029474343e-30,39.2980594081297,0.51211505047411,76.7367789166672,1.06261290605269e-96
"44",1,111,"BlackSea","mod1",-0.05256765440269,0.00345850935407597,-15.1995119922799,1.37417046673743e-28,38.957635542754,0.542662856145354,71.7897587822357,5.65468365864405e-93
"45",1,114,"BlackSea","mod1",-0.0516400668275042,0.00345861397657006,-14.9308558796481,6.3958904351166e-28,38.9650264574127,0.543164831429111,71.7370201507571,2.63008994009931e-92
"46",1,127,"BlackSea","mod1",-0.0502985142269424,0.00340701684692218,-14.7632126540204,1.15941076963122e-27,39.4152860816456,0.545078613614621,72.3111952976252,2.62914542383286e-93
"47",1,130,"BlackSea","mod1",-0.0488072535167317,0.00341966113483059,-14.2725409309158,1.30982124481534e-26,39.4991034333948,0.549350887867288,71.9014100199962,4.79731193953658e-93
"48",1,131,"BlackSea","mod1",-0.0486582859568431,0.00338314236092118,-14.3825712210331,7.58694401579294e-27,39.4141178866322,0.541810753310545,72.7451746681031,1.39558184061571e-93
"49",1,133,"BlackSea","mod1",-0.0485676768220875,0.00337872709868674,-14.3745485810218,6.41044471514175e-27,39.5966624611024,0.543952156621666,72.7943845411445,2.99032538103661e-94
"50",1,147,"BlackSea","mod1",-0.0487859264926733,0.00344736455094895,-14.1516586864143,1.95372901064087e-26,39.5649745718821,0.554850654976837,71.3074305977592,2.70882891580673e-93
"51",1,149,"BlackSea","mod1",-0.0486050843241358,0.00326410105125978,-14.8908025703973,6.19989535921938e-28,39.8173798762417,0.530878518024663,75.0028085980905,5.48038576334941e-95
"52",1,152,"BlackSea","mod1",-0.0486600608891182,0.00326187969887333,-14.9177975220624,3.47306195565269e-28,39.8612180022452,0.529358308881508,75.3010150846008,1.79438911221476e-96
"53",1,153,"BlackSea","mod1",-0.0489517655953845,0.00334591246285394,-14.6303186765473,2.22975600931133e-27,39.8704011484387,0.546673726157399,72.9327188059503,1.06261457675823e-93
"54",1,154,"BlackSea","mod1",-0.0488730654713922,0.00341547015674683,-14.3093229419234,7.23665274378046e-27,39.8695169357972,0.559804171150932,71.2204713548799,7.28505484527317e-94
"55",1,166,"BlackSea","mod1",-0.0492516590940762,0.00346270003055693,-14.2234841769285,1.3634764758748e-26,39.7470429426725,0.565995738899063,70.2249861809663,1.38546269505775e-92
"56",1,170,"BlackSea","mod1",-0.0489096277731372,0.00336643453572898,-14.528613954629,2.97677519459845e-27,39.7449577913209,0.54940756541321,72.3414825229584,5.82401913616684e-94
"57",1,172,"BlackSea","mod1",-0.0487408420031026,0.0034048800986452,-14.3149951220005,7.03333121210618e-27,39.8782819864287,0.555113863489282,71.8380220875148,2.87467546164014e-94
"58",1,189,"BlackSea","mod1",-0.0478663458366118,0.00339138802030171,-14.1140870788219,2.3587235210075e-26,40.2579915420997,0.562954311221359,71.5120050413291,1.99517021356146e-93
"59",1,202,"BlackSea","mod1",-0.0481782802083233,0.00324934768741786,-14.8270621807815,6.78740349566582e-28,40.6872250549432,0.546253338127132,74.4841673543677,2.57413622231928e-95
"60",1,217,"BlackSea","mod1",-0.0470513734348332,0.00321386646046125,-14.6401146449876,9.0547331449215e-28,40.8109753591025,0.541447787504637,75.3737965154267,8.18953435804728e-98
"61",1,227,"BlackSea","mod1",-0.0475231226887862,0.00326246743812837,-14.5666197717055,2.46457289582263e-27,40.6511929655391,0.547903669763752,74.1940512701206,3.90690106271366e-95
"62",1,231,"BlackSea","mod1",-0.0442918847364973,0.00279791634079072,-15.8303106103522,1.89384099945947e-30,42.0526280546505,0.487673921685872,86.2310371431714,5.97742518904588e-105
"63",1,232,"BlackSea","mod1",-0.044011229927516,0.00287933680723645,-15.2851968609249,1.81713767416857e-29,42.3273932333579,0.505850752200155,83.6756554166591,7.21977767600249e-105
"64",1,238,"BlackSea","mod1",-0.0446691426464527,0.00291637444100064,-15.316669224109,2.43172867153988e-29,42.149552552772,0.510248524500865,82.6059273645201,7.10554991588583e-103
"65",1,249,"BlackSea","mod1",-0.0415783088290974,0.00255758328622834,-16.2568738437499,3.90087783283111e-31,43.1169304596123,0.463823627875047,92.9597542435417,4.05575265335268e-107
"66",1,260,"BlackSea","mod1",-0.0413338146979431,0.00248285928463296,-16.6476670481361,5.9729328739677e-32,43.065211832241,0.448617361690021,95.9954195040661,1.19638942568871e-108
"67",1,264,"BlackSea","mod1",-0.0406398662143673,0.00256116850895152,-15.8677049449605,2.01166029164632e-30,43.0054511003358,0.460976395406572,93.2920894190382,5.03160646956309e-108
"68",1,266,"BlackSea","mod1",-0.040899070670721,0.0025501346785705,-16.0380041942127,5.31257702564257e-31,42.9168463562832,0.456279187530443,94.0583036201269,6.83317741982017e-110
"69",1,274,"BlackSea","mod1",-0.0405706846051371,0.00252701501058381,-16.0547857591729,2.99407803955465e-31,43.2472202897984,0.453750483390431,95.3105767880497,5.12935161465822e-112
"70",1,278,"BlackSea","mod1",-0.0398973614722248,0.00251133550899737,-15.8869101039205,5.47863190943939e-31,43.2530894930942,0.451011614781135,95.9023849398732,4.60565548899178e-113
