"","replicate","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,1,"Steppic","mod1",-0.0736088689421717,0.00814299401110308,-9.03953371963741,6.35821058331314e-13,23.7462895076112,0.637049390592503,37.2754292811197,3.64231490628603e-44
"2",1,2,"Steppic","mod1",-0.0594179271156001,0.00835793949215943,-7.10915976017055,1.50429601216754e-09,24.2522797648867,0.681272756162081,35.5984876035713,1.62134351878247e-42
"3",1,5,"Steppic","mod1",-0.074292342066405,0.00678348947914876,-10.951935916576,1.72800566565354e-16,25.2260950737787,0.581457811706642,43.3842224936962,3.05417837071773e-50
"4",1,7,"Steppic","mod1",-0.0708230867237141,0.00674999193842981,-10.492321675304,7.38650917997984e-16,25.5446570911063,0.587156938285464,43.5056718663639,2.26218112700294e-51
"5",1,8,"Steppic","mod1",-0.0686150693009924,0.00641766778744961,-10.6915894641938,3.30806277646087e-16,25.7275098981723,0.566086203833194,45.4480425842586,1.27909134303475e-52
"6",1,12,"Steppic","mod1",-0.0668394193421972,0.00613075986481712,-10.9023058831209,9.73682359314797e-17,25.8241247809633,0.53992199702477,47.8293622472629,3.35636253915189e-55
"7",1,14,"Steppic","mod1",-0.0648111944523736,0.00595875322297203,-10.8766367773908,1.08104148453471e-16,25.9731440423677,0.531968553133376,48.8245853808123,8.27484286736581e-56
"8",1,18,"Steppic","mod1",-0.0652952231259147,0.00599798162507935,-10.8861992595802,7.21663894787783e-17,26.0189151039518,0.532025669326938,48.9053754433845,5.55406854419536e-57
"9",1,20,"Steppic","mod1",-0.0684250927709257,0.00613255249538388,-11.1576856166223,2.34927351533584e-17,25.650011449236,0.534790856478838,47.9626963297774,2.16444300579435e-56
"10",1,22,"Steppic","mod1",-0.0703982059932322,0.00621037166922785,-11.3355866190831,2.06356589275135e-17,25.6318766011923,0.548689058249373,46.7147580507117,5.87569934563228e-54
"11",1,23,"Steppic","mod1",-0.0692724781791092,0.00623052401421224,-11.1182427065675,6.0061035374446e-17,25.6224999329394,0.550972251772957,46.5041566984354,2.81410209604595e-53
"12",1,28,"Steppic","mod1",-0.0689912621319341,0.00604611657165243,-11.4108388937461,6.81958338350247e-18,25.6688506951987,0.52589451153026,48.8098851241228,1.76586930034338e-57
"13",1,31,"Steppic","mod1",-0.0692362855583278,0.00631139193385899,-10.9700500751495,6.12971135072291e-17,25.6181496183878,0.550328092987353,46.5506848456972,6.04586728786122e-55
"14",1,38,"Steppic","mod1",-0.0685505483314976,0.00637144430127051,-10.7590281088745,1.46028280835199e-16,25.5764209076389,0.55636372130196,45.9706841556579,1.43158135564986e-54
"15",1,39,"Steppic","mod1",-0.0680942661885904,0.00633327102425822,-10.7518320197841,1.26109747971039e-16,25.568095296018,0.551992993517577,46.3196011476255,2.46364151771598e-55
"16",1,40,"Steppic","mod1",-0.0688121124410704,0.00646957758222299,-10.6362604925167,2.04106549442412e-16,25.5308422807069,0.562343780005868,45.4007729585637,9.94554712062094e-55
"17",1,42,"Steppic","mod1",-0.0681006526118361,0.00658035119951399,-10.349090883913,4.94672805529929e-16,25.5194916307128,0.567816851944996,44.943174094426,1.81865436789078e-55
"18",1,51,"Steppic","mod1",-0.068996736700314,0.00658872939412222,-10.4719335964633,2.50056801738919e-16,25.4578809022063,0.565865094996073,44.9893112816632,5.12494228404006e-56
"19",1,52,"Steppic","mod1",-0.067310369425099,0.00660175064921156,-10.1958363776035,8.20024170035873e-16,25.4867682159009,0.568454325285146,44.8352085334496,6.56894653253951e-56
"20",1,57,"Steppic","mod1",-0.0701385965056067,0.00576606248777497,-12.1640368369771,1.31523603504914e-19,25.7319350770898,0.498380180185675,51.63113642983,1.67064766648253e-61
"21",1,60,"Steppic","mod1",-0.0705428798201044,0.00592411851866338,-11.907742830915,3.86402568561986e-19,25.7011049932559,0.51238385021073,50.159865465482,1.45238078009826e-60
"22",1,64,"Steppic","mod1",-0.0698055536332844,0.00595535922555409,-11.7214681750436,8.49527209367672e-19,25.6723862545704,0.514630294608528,49.885104945287,2.18951353263285e-60
"23",1,65,"Steppic","mod1",-0.0668664424137971,0.00572920327814247,-11.671159001968,1.55848767606958e-18,26.237149182183,0.520227138937234,50.4340262520378,1.27751368834944e-59
"24",1,66,"Steppic","mod1",-0.059070928926579,0.00498548527252709,-11.8485815718069,1.88521381783644e-19,27.7604503921429,0.483285538986013,57.4410946588375,5.27112064930982e-68
"25",1,79,"Steppic","mod1",-0.0561557833457702,0.00501508502728858,-11.1973741302909,2.865485728816e-18,27.8270833961369,0.487273292909463,57.1077541106019,2.13559009786795e-68
"26",1,80,"Steppic","mod1",-0.0553852299123985,0.0050881290059535,-10.8851858605773,1.17040370319903e-17,27.8114829394358,0.495332988492714,56.1470436767506,8.42999053531754e-68
"27",1,90,"Steppic","mod1",-0.0563966800225926,0.00530014057806467,-10.6406007900994,5.53013255198641e-17,27.7439388787342,0.517434609608238,53.6182512022915,1.80567460874428e-64
"28",1,95,"Steppic","mod1",-0.0552238931015523,0.0052959790151828,-10.4275135802528,1.23675830763304e-16,27.7777329504133,0.515674969950781,53.8667466312445,3.34641255787386e-65
"29",1,97,"Steppic","mod1",-0.0530270125133668,0.00526345744574953,-10.0745589871138,6.06021017542849e-16,27.8582196678363,0.515330088282066,54.0589814204446,2.5270512317419e-65
