Site;Transect;T_section;Family;Genus.Species;P.Genus.Species;logArea;logIsolation;Sh250;Flowercover;Flowerdiv
1;3;C;Apidae;Bombus.pascuorum;Hippocrepis.comosa;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;E;Apidae;Bombus.pascuorum;Cirsium.acaule;4.71092087;4.642417808;1.209917451;64.80833333;29
1;7;C;Apidae;Bombus.pascuorum;Hippocrepis.comosa;4.71092087;4.642417808;1.209917451;64.80833333;29
1;11;E;Apidae;Bombus.pascuorum;Lotus.corniculatus;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;F;Apidae;Bombus.pascuorum;Cirsium.acaule;4.71092087;4.642417808;1.209917451;64.80833333;29
1;6;C;Apidae;Bombus.terrestris.agg;Hippocrepis.comosa;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;A;Apidae;Nomada.flava;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;A;Apidae;Nomada.flava;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;5;D;Apidae;Nomada.fucata;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;C;Apidae;Nomada.marshamella;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;A;Apidae;Nomada.sheppardana;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;A;Apidae;Nomada.sheppardana;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;C;Apidae;Nomada.sheppardana;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;A;Apidae;Nomada.sheppardana;Potentilla.neumanniana;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;A;Apidae;Nomada.sheppardana;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;6;B;Apidae;Nomada.sheppardana;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;9;C;Apidae;Nomada.sheppardana;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;11;C;Apidae;Nomada.sheppardana;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;A;Colletidae;Colletes.cunicularius;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;5;D;Halictidae;Halictus.maculatus;Hypericum.perforatum;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;F;Halictidae;Halictus.rubicundus;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;F;Halictidae;Halictus.rubicundus;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;D;Halictidae;Halictus.rubicundus;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;F;Halictidae;Halictus.rubicundus;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;5;F;Halictidae;Halictus.rubicundus;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;8;F;Halictidae;Halictus.rubicundus;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;9;F;Halictidae;Halictus.rubicundus;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;10;F;Halictidae;Halictus.rubicundus;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;10;F;Halictidae;Halictus.rubicundus;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;10;F;Halictidae;Halictus.rubicundus;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;11;E;Halictidae;Halictus.rubicundus;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;D;Halictidae;Halictus.simplex;Knautia.arvensis;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;E;Halictidae;Halictus.simplex;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;F;Halictidae;Halictus.simplex;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;F;Halictidae;Halictus.simplex;Carlina.vulgaris;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;F;Halictidae;Halictus.simplex;Carlina.vulgaris;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;E;Halictidae;Halictus.simplex;Knautia.arvensis;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;E;Halictidae;Halictus.simplex;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;F;Halictidae;Halictus.simplex;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;F;Halictidae;Halictus.simplex;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;F;Halictidae;Halictus.simplex;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;F;Halictidae;Halictus.simplex;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;3;D;Halictidae;Halictus.simplex;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;3;F;Halictidae;Halictus.simplex;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;3;F;Halictidae;Halictus.simplex;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;3;F;Halictidae;Halictus.simplex;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;3;F;Halictidae;Halictus.simplex;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;F;Halictidae;Halictus.simplex;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;5;F;Halictidae;Halictus.simplex;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;7;F;Halictidae;Halictus.simplex;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;8;F;Halictidae;Halictus.simplex;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;8;F;Halictidae;Halictus.simplex;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;10;F;Halictidae;Halictus.simplex;Knautia.arvensis;4.71092087;4.642417808;1.209917451;64.80833333;29
1;11;B;Halictidae;Halictus.simplex;Ranunculus.bulbosus;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;A;Halictidae;Halictus.tumulorum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;C;Halictidae;Halictus.tumulorum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;F;Halictidae;Halictus.tumulorum;Knautia.arvensis;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;F;Halictidae;Halictus.tumulorum;Knautia.arvensis;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;F;Halictidae;Halictus.tumulorum;Knautia.arvensis;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;A;Halictidae;Halictus.tumulorum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;C;Halictidae;Halictus.tumulorum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;F;Halictidae;Halictus.tumulorum;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;F;Halictidae;Halictus.tumulorum;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;F;Halictidae;Halictus.tumulorum;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;3;A;Halictidae;Halictus.tumulorum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;3;A;Halictidae;Halictus.tumulorum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;3;F;Halictidae;Halictus.tumulorum;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;A;Halictidae;Halictus.tumulorum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;F;Halictidae;Halictus.tumulorum;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;F;Halictidae;Halictus.tumulorum;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;F;Halictidae;Halictus.tumulorum;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;5;F;Halictidae;Halictus.tumulorum;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;6;C;Halictidae;Halictus.tumulorum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;7;D;Halictidae;Halictus.tumulorum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;7;E;Halictidae;Halictus.tumulorum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;7;E;Halictidae;Halictus.tumulorum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;8;F;Halictidae;Halictus.tumulorum;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;10;E;Halictidae;Halictus.tumulorum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;10;F;Halictidae;Halictus.tumulorum;Knautia.arvensis;4.71092087;4.642417808;1.209917451;64.80833333;29
1;10;F;Halictidae;Halictus.tumulorum;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;11;E;Halictidae;Halictus.tumulorum;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;11;F;Halictidae;Halictus.tumulorum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;5;D;Halictidae;Lasioglossum.albipes;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;10;D;Halictidae;Lasioglossum.calceatum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;11;F;Halictidae;Lasioglossum.calceatum;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;3;C;Halictidae;Lasioglossum.fulvicorne;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;3;D;Halictidae;Lasioglossum.fulvicorne;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;E;Halictidae;Lasioglossum.fulvicorne;Pimpinella.saxifraga;4.71092087;4.642417808;1.209917451;64.80833333;29
1;6;A;Halictidae;Lasioglossum.fulvicorne;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;7;C;Halictidae;Lasioglossum.fulvicorne;Ranunculus.bulbosus;4.71092087;4.642417808;1.209917451;64.80833333;29
1;7;E;Halictidae;Lasioglossum.fulvicorne;Thymus.pulegioides;4.71092087;4.642417808;1.209917451;64.80833333;29
1;8;E;Halictidae;Lasioglossum.fulvicorne;Thymus.pulegioides;4.71092087;4.642417808;1.209917451;64.80833333;29
1;8;E;Halictidae;Lasioglossum.fulvicorne;Thymus.pulegioides;4.71092087;4.642417808;1.209917451;64.80833333;29
1;3;A;Halictidae;Lasioglossum.laticeps;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;7;B;Halictidae;Lasioglossum.leucozonium;Hieracium.pilosella;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;F;Halictidae;Lasioglossum.lineare;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;A;Halictidae;Lasioglossum.lineare;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;5;F;Halictidae;Lasioglossum.lineare;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;6;F;Halictidae;Lasioglossum.lineare;Cirsium.acaule;4.71092087;4.642417808;1.209917451;64.80833333;29
1;10;F;Halictidae;Lasioglossum.lineare;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;F;Halictidae;Lasioglossum.lineare;Cirsium.acaule;4.71092087;4.642417808;1.209917451;64.80833333;29
1;9;F;Halictidae;Lasioglossum.morio;Daucus.carota;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;B;Halictidae;Lasioglossum.pauxillum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;B;Halictidae;Lasioglossum.pauxillum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;F;Halictidae;Lasioglossum.pauxillum;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;5;F;Halictidae;Lasioglossum.pauxillum;Pimpinella.saxifraga;4.71092087;4.642417808;1.209917451;64.80833333;29
1;7;D;Halictidae;Lasioglossum.pauxillum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;8;E;Halictidae;Lasioglossum.pauxillum;Thymus.pulegioides;4.71092087;4.642417808;1.209917451;64.80833333;29
1;8;F;Halictidae;Lasioglossum.pauxillum;Pimpinella.saxifraga;4.71092087;4.642417808;1.209917451;64.80833333;29
1;9;B;Halictidae;Lasioglossum.pauxillum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;10;B;Halictidae;Lasioglossum.pauxillum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;11;A;Halictidae;Lasioglossum.pauxillum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;11;D;Halictidae;Lasioglossum.pauxillum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;11;F;Halictidae;Lasioglossum.pauxillum;Cirsium.acaule;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Lasioglossum.pauxillum;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Lasioglossum.pauxillum;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Lasioglossum.pauxillum;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Lasioglossum.pauxillum;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Lasioglossum.pauxillum;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Lasioglossum.pauxillum;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Lasioglossum.pauxillum;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Lasioglossum.pauxillum;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Lasioglossum.pauxillum;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Lasioglossum.pauxillum;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Lasioglossum.pauxillum;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Lasioglossum.pauxillum;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Lasioglossum.pauxillum;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;F;Halictidae;Lasioglossum.pauxillum;Cirsium.acaule;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;A;Halictidae;Lasioglossum.pygmaeum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;3;B;Halictidae;Lasioglossum.pygmaeum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;6;E;Halictidae;Lasioglossum.pygmaeum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;7;B;Halictidae;Lasioglossum.pygmaeum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;B;Halictidae;Lasioglossum.villosulum;Hieracium.pilosella;4.71092087;4.642417808;1.209917451;64.80833333;29
1;8;A;Halictidae;Lasioglossum.villosulum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;8;B;Halictidae;Lasioglossum.villosulum;Hieracium.pilosella;4.71092087;4.642417808;1.209917451;64.80833333;29
1;9;B;Halictidae;Lasioglossum.villosulum;Hieracium.pilosella;4.71092087;4.642417808;1.209917451;64.80833333;29
