"","site_type","replicate","areas","species","links","connectances","links_per_sp","indegree","outdegree","sd_gen","sd_vul","basal","top","intermediate","S_basal","S_top","S_intermediate","modularity","normalised_indegree","normalised_outdegree","potential_indegree"
"1",1,1,1,50,578,0.471836734693878,11.56,11.56,11.56,0.274756652815287,0.320905489494369,0,0,1,0,0,50,0.119005993008614,1,1,NA
"2",1,1,2,62,823,0.435219460602856,13.2741935483871,13.2741935483871,13.2741935483871,0.231962653226119,0.266667361697315,0,0,1,0,0,62,0.107924662530422,1,1,NA
"3",1,1,3,68,964,0.423178226514486,14.1764705882353,14.1764705882353,14.1764705882353,0.213866793248439,0.253585210834912,0,0,1,0,0,68,0.106059312820435,1,1,NA
"4",1,1,4,72,1005,0.393192488262911,13.9583333333333,13.9583333333333,13.9583333333333,0.224125155474643,0.220548676896723,0,0,1,0,0,72,0.0910363644361496,1,1,NA
"5",1,1,5,75,1072,0.386306306306306,14.2933333333333,14.2933333333333,14.2933333333333,0.238720668193286,0.281682062679765,0,0,1,0,0,75,0.110623702406883,1,1,NA
"6",1,1,6,79,1218,0.395326192794547,15.4177215189873,15.4177215189873,15.4177215189873,0.200481060493182,0.2506891688183,0,0,1,0,0,79,0.0998079627752304,1,1,NA
"7",1,1,7,82,1320,0.39747064137308,16.0975609756098,16.0975609756098,16.0975609756098,0.213774753329117,0.27202813909702,0,0,1,0,0,82,0.0989327952265739,1,1,NA
"8",1,1,8,83,1372,0.40317367029092,16.5301204819277,16.5301204819277,16.5301204819277,0.233599827352463,0.216752515917074,0,0,1,0,0,83,0.0675600618124008,1,1,NA
"9",1,1,9,86,1447,0.395896032831737,16.8255813953488,16.8255813953488,16.8255813953488,0.230849774898874,0.223533182395098,0,0,1,0,0,86,0.0822271704673767,1,1,NA
"10",1,1,10,88,1520,0.397074190177638,17.2727272727273,17.2727272727273,17.2727272727273,0.217992239364364,0.234345244261147,0,0,1,0,0,88,0.107224509119987,1,1,NA
"11",1,1,11,88,1522,0.397596656217346,17.2954545454545,17.2954545454545,17.2954545454545,0.225411660449371,0.205994442949468,0,0,1,0,0,88,0.0849753320217133,1,1,NA
"12",1,1,12,91,1636,0.3995115995116,17.978021978022,17.978021978022,17.978021978022,0.20293515136005,0.192324274570475,0,0,1,0,0,91,0.0958297699689865,1,1,NA
"13",1,1,13,92,1688,0.403248924988055,18.3478260869565,18.3478260869565,18.3478260869565,0.229737654073175,0.210302014332924,0,0,1,0,0,92,0.0843002870678902,1,1,NA
"14",1,1,14,97,1791,0.384664948453608,18.4639175257732,18.4639175257732,18.4639175257732,0.193240484201375,0.218613049191428,0,0,1,0,0,97,0.0951643884181976,1,1,NA
"15",1,1,15,97,1802,0.387027491408935,18.5773195876289,18.5773195876289,18.5773195876289,0.210185587079307,0.222192394347289,0,0,1,0,0,97,0.0686147212982178,1,1,NA
"16",1,1,16,101,1993,0.394653465346535,19.7326732673267,19.7326732673267,19.7326732673267,0.216302878871032,0.207949092449927,0,0,1,0,0,101,0.0806340649724007,1,1,NA
"17",1,1,17,101,1995,0.395049504950495,19.7524752475248,19.7524752475248,19.7524752475248,0.17919315064346,0.190695692018669,0,0,1,0,0,101,0.0891490578651428,1,1,NA
"18",1,1,18,102,2038,0.395651329838866,19.9803921568627,19.9803921568627,19.9803921568627,0.194921223754686,0.223934841304894,0,0,1,0,0,102,0.0636931732296944,1,1,NA
"19",1,1,19,102,2044,0.396816152203456,20.0392156862745,20.0392156862745,20.0392156862745,0.234789817844734,0.188676842566089,0,0,1,0,0,102,0.0896556377410889,1,1,NA
"20",1,2,1,44,449,0.474630021141649,10.2045454545455,10.2045454545455,10.2045454545455,0.277639827515089,0.298569279509659,0,0,1,0,0,44,0.0894935876131058,1,1,NA
"21",1,2,2,59,746,0.436002337814144,12.6440677966102,12.6440677966102,12.6440677966102,0.209641153778631,0.204432192921319,0,0,1,0,0,59,0.114878103137016,1,1,NA
"22",1,2,3,64,875,0.434027777777778,13.671875,13.671875,13.671875,0.218091162365743,0.274002574949064,0,0,1,0,0,64,0.116390526294708,1,1,NA
"23",1,2,4,72,1103,0.431533646322379,15.3194444444444,15.3194444444444,15.3194444444444,0.214919207367961,0.195929556188585,0,0,1,0,0,72,0.0927672833204269,1,1,NA
"24",1,2,5,73,1166,0.443683409436834,15.972602739726,15.972602739726,15.972602739726,0.192395548464515,0.210501718716385,0,0,1,0,0,73,0.0868500396609306,1,1,NA
"25",1,2,6,75,1232,0.443963963963964,16.4266666666667,16.4266666666667,16.4266666666667,0.241684346044947,0.218389738724598,0,0,1,0,0,75,0.0829252898693085,1,1,NA
"26",1,2,7,79,1306,0.423888347938981,16.5316455696203,16.5316455696203,16.5316455696203,0.205665116792118,0.216119780194858,0,0,1,0,0,79,0.0911771282553673,1,1,NA
"27",1,2,8,80,1350,0.427215189873418,16.875,16.875,16.875,0.188193105511032,0.202527825492268,0,0,1,0,0,80,0.057988204061985,1,1,NA
"28",1,2,9,84,1494,0.428571428571429,17.7857142857143,17.7857142857143,17.7857142857143,0.203016782674008,0.203578823487897,0,0,1,0,0,84,0.0947285369038582,1,1,NA
"29",1,2,10,85,1511,0.423249299719888,17.7764705882353,17.7764705882353,17.7764705882353,0.244956532779246,0.18584076063005,0,0,1,0,0,85,0.0894072204828262,1,1,NA
"30",1,2,11,88,1631,0.4260710553814,18.5340909090909,18.5340909090909,18.5340909090909,0.214722510740163,0.21750942634387,0,0,1,0,0,88,0.0953914076089859,1,1,NA
