"","s_type","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"20",1,2,1,"mod2",NA,NA,NA,NA,39.9602263232583,3.94740445052841,10.1231649363696,1.29358206533176e-08,0.77
"39",1,3,1,"mod2",NA,NA,NA,NA,40.7246751043305,6.49513266793725,6.27002975710795,2.87846196596097e-05,0.77
"58",1,4,1,"mod2",NA,NA,NA,NA,39.8280539240712,4.26412105000824,9.34027281518995,2.16068300305038e-07,0.77
"77",1,5,1,"mod2",NA,NA,NA,NA,38.9557534307069,6.21069852837216,6.27236264209999,9.2331456807994e-05,0.77
"96",1,6,1,"mod2",NA,NA,NA,NA,35.6582382982508,4.90117964778527,7.27543996767471,2.67727240790915e-05,0.77
"153",1,9,1,"mod2",NA,NA,NA,NA,17.8652217285229,1.20274686344956,14.8536839059253,1.26347893937431e-08,0.77
"172",1,10,1,"mod2",NA,NA,NA,NA,14.3147102687471,1.36939263460408,10.4533279258404,2.21365129531742e-07,0.77
"191",1,11,1,"mod2",NA,NA,NA,NA,33.7876976997615,4.04649427518281,8.34986914648114,8.29152474134131e-07,0.77
"229",1,13,1,"mod2",NA,NA,NA,NA,37.94756037265,4.35516274923544,8.71323588982106,2.96216822040698e-07,0.77
"267",1,15,1,"mod2",NA,NA,NA,NA,37.7590650659834,4.77636657138374,7.90539513700776,2.54660890858033e-06,0.77
"286",1,16,1,"mod2",NA,NA,NA,NA,33.4804170608042,4.75912576213643,7.03499313406973,3.5622969283525e-05,0.77
"305",1,17,1,"mod2",NA,NA,NA,NA,27.6579667715944,2.9986487528293,9.22347665610998,4.55771037497774e-07,0.77
"324",1,18,1,"mod2",NA,NA,NA,NA,11.7020683506273,0.457398765695767,25.5839526213563,1.91091081549866e-10,0.77
"343",1,19,1,"mod2",NA,NA,NA,NA,17.0905064928873,0.928682999148775,18.4029496701806,1.30255733572944e-09,0.77
"362",1,20,1,"mod2",NA,NA,NA,NA,36.7303908741228,5.86103518228527,6.26687773264676,6.11399258070108e-05,0.77
"381",1,21,1,"mod2",NA,NA,NA,NA,29.6394558731498,3.8482197292449,7.70212148955581,5.53280190736308e-06,0.77
"400",1,22,1,"mod2",NA,NA,NA,NA,33.0389141446811,4.34701241646564,7.6003726190282,2.47375044859363e-06,0.77
"419",1,23,1,"mod2",NA,NA,NA,NA,38.6574218109158,4.93225712828277,7.83767366653387,2.79679661126808e-06,0.77
"438",1,24,1,"mod2",NA,NA,NA,NA,36.7688708933336,3.68387846692633,9.98102169315375,2.82041029095969e-08,0.77
"457",1,25,1,"mod2",NA,NA,NA,NA,22.07597830032,0.928657225176516,23.7719340374742,6.56756594374481e-14,0.77
"476",1,26,1,"mod2",NA,NA,NA,NA,20.3001208136525,0.978622763303308,20.7435608233045,1.85797204740498e-12,0.77
"495",1,27,1,"mod2",NA,NA,NA,NA,32.212286669453,3.06307875908731,10.5163102887538,2.32503784955384e-09,0.77
"514",1,28,1,"mod2",NA,NA,NA,NA,29.1141155967876,2.81607391703637,10.3385480830799,9.48315085612609e-09,0.77
"533",1,29,1,"mod2",NA,NA,NA,NA,36.1138978582106,4.0309651830573,8.95911927247656,6.33973940351509e-07,0.77
"552",1,30,1,"mod2",NA,NA,NA,NA,27.6726827006136,3.79214571134275,7.29736798294469,9.51081963176506e-06,0.77
"571",1,31,1,"mod2",NA,NA,NA,NA,28.0786069331401,3.63785908920314,7.71844270067388,3.3029110288429e-06,0.77
"590",1,32,1,"mod2",NA,NA,NA,NA,31.6784890372924,3.89902192778354,8.1247270787473,1.886980740051e-06,0.77
"609",1,33,1,"mod2",NA,NA,NA,NA,19.7127877859972,1.05413214561756,18.7004901311008,2.66804821686172e-11,0.77
