"","site_type","replicate","areas","species","links","connectances","links_per_sp","indegree","outdegree","sd_gen","sd_vul","basal","top","intermediate","S_basal","S_top","S_intermediate","modularity","normalised_indegree","normalised_outdegree","potential_indegree"
"1",1,1,1,42,430,0.499419279907085,10.2380952380952,10.2380952380952,10.2380952380952,1.51451968260994,0.285224251544909,0.333333333333333,0,0.666666666666667,14,0,28,0.00810975767672062,1.5,1,34
"2",1,1,2,54,555,0.387840670859539,10.2777777777778,10.2777777777778,10.2777777777778,1.60982655793911,0.396652058545083,0.351851851851852,0.0185185185185185,0.62962962962963,19,1,34,0.0121126426383853,1.54285714285714,1.0188679245283,31.6857142857143
"3",1,1,3,63,796,0.40757808499744,12.6349206349206,12.6349206349206,12.6349206349206,1.56166437996749,0.36249668707906,0.380952380952381,0.0158730158730159,0.603174603174603,24,1,38,0.0195331610739231,1.61538461538462,1.01612903225806,34.4102564102564
"4",1,1,4,70,950,0.393374741200828,13.5714285714286,13.5714285714286,13.5714285714286,1.67869233301821,0.31376416388741,0.414285714285714,0.0142857142857143,0.571428571428571,29,1,40,0.0215163640677929,1.70731707317073,1.01449275362319,32.780487804878
"5",1,1,5,75,1122,0.404324324324324,14.96,14.96,14.96,1.63696998137869,0.321224254674988,0.413333333333333,0,0.586666666666667,31,0,44,0.0161853898316622,1.70454545454545,1,32.9318181818182
"6",1,1,6,76,1188,0.416842105263158,15.6315789473684,15.6315789473684,15.6315789473684,1.60427785773492,0.303826861782153,0.407894736842105,0,0.592105263157895,31,0,45,0.0153722278773785,1.68888888888889,1,33.9111111111111
"7",1,1,7,81,1395,0.430555555555556,17.2222222222222,17.2222222222222,17.2222222222222,1.54788499923724,0.312552180867177,0.382716049382716,0,0.617283950617284,31,0,50,0.014167120680213,1.62,1,32.98
"8",1,1,8,83,1478,0.434322656479577,17.8072289156627,17.8072289156627,17.8072289156627,1.51081206356101,0.337564196296256,0.373493975903614,0,0.626506024096386,31,0,52,0,1.59615384615385,1,33.0192307692308
"9",1,1,9,88,1638,0.427899686520376,18.6136363636364,18.6136363636364,18.6136363636364,1.50132487373571,0.357520515301285,0.375,0,0.625,33,0,55,0,1.6,1,33.0727272727273
"10",1,1,10,90,1684,0.420474406991261,18.7111111111111,18.7111111111111,18.7111111111111,1.51492206970062,0.354077814244879,0.377777777777778,0,0.622222222222222,34,0,56,0,1.60714285714286,1,32.6607142857143
"11",1,1,11,92,1704,0.407071189679885,18.5217391304348,18.5217391304348,18.5217391304348,1.54231102073944,0.361558457304572,0.391304347826087,0,0.608695652173913,36,0,56,0,1.64285714285714,1,32.6607142857143
"12",1,1,12,94,1793,0.410203614733471,19.0744680851064,19.0744680851064,19.0744680851064,1.51005334355281,0.388097814856499,0.382978723404255,0,0.617021276595745,36,0,58,0.0139190079644322,1.62068965517241,1,32.8793103448276
"13",1,1,13,99,1896,0.390847247990105,19.1515151515152,19.1515151515152,19.1515151515152,1.51619343327842,0.428138801828857,0.393939393939394,0,0.606060606060606,39,0,60,0.0133679937571287,1.65,1,32.95
"14",1,1,14,100,1937,0.391313131313131,19.37,19.37,19.37,1.5246393649683,0.41720303457734,0.4,0,0.6,40,0,60,0,1.66666666666667,1,32.95
"15",1,1,15,100,1945,0.392929292929293,19.45,19.45,19.45,1.52480357912923,0.414117235299261,0.4,0,0.6,40,0,60,0.0147231314331293,1.66666666666667,1,32.95
"16",1,1,16,100,1946,0.393131313131313,19.46,19.46,19.46,1.52484318204481,0.413907330911505,0.4,0,0.6,40,0,60,0.0147190857678652,1.66666666666667,1,32.95
"17",1,1,17,100,1955,0.394949494949495,19.55,19.55,19.55,1.52594974792883,0.409037591774965,0.4,0,0.6,40,0,60,0,1.66666666666667,1,32.95
"18",1,1,18,101,2001,0.396237623762376,19.8118811881188,19.8118811881188,19.8118811881188,1.50965471809543,0.422224504144084,0.396039603960396,0,0.603960396039604,40,0,61,0.0141518525779247,1.65573770491803,1,32.9836065573771
"19",1,1,19,102,2044,0.396816152203456,20.0392156862745,20.0392156862745,20.0392156862745,1.49191599476257,0.436842287793681,0.392156862745098,0,0.607843137254902,40,0,62,0.0139388246461749,1.64516129032258,1,32.9677419354839
"20",1,2,1,42,430,0.499419279907085,10.2380952380952,10.2380952380952,10.2380952380952,1.51451968260994,0.285224251544909,0.333333333333333,0,0.666666666666667,14,0,28,0.00810975767672062,1.5,1,34
"21",1,2,2,51,538,0.421960784313725,10.5490196078431,10.5490196078431,10.5490196078431,1.53993171889891,0.367295087412193,0.352941176470588,0,0.647058823529412,18,0,33,0.00714472122490406,1.54545454545455,1,31.8181818181818
"22",1,2,3,60,709,0.400564971751412,11.8166666666667,11.8166666666667,11.8166666666667,1.5369558763055,0.391541517007279,0.383333333333333,0,0.616666666666667,23,0,37,0,1.62162162162162,1,32.5135135135135
"23",1,2,4,71,998,0.401609657947686,14.056338028169,14.056338028169,14.056338028169,1.54588142539626,0.379298158317756,0.394366197183099,0,0.605633802816901,28,0,43,0.0137429283931851,1.65116279069767,1,33.2558139534884
"24",1,2,5,79,1311,0.425511197663096,16.5949367088608,16.5949367088608,16.5949367088608,1.45733595334975,0.408985585606798,0.367088607594937,0,0.632911392405063,29,0,50,0.011372746899724,1.58,1,33.62
"25",1,2,6,83,1344,0.39494563620335,16.1927710843373,16.1927710843373,16.1927710843373,1.51228929360014,0.42823350289332,0.373493975903614,0,0.626506024096386,31,0,52,0.0121452603489161,1.59615384615385,1,32.3653846153846
