"","s_type","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,1,1,"mod3",0.377025371291184,0.0520741696970871,7.24016097586043,0.000784611502789534,NA,NA,NA,NA
"2",1,1,2,"mod3",0.398912303923367,0.0426380685737312,9.35577799997095,1.39232533639349e-05,NA,NA,NA,NA
"3",1,1,3,"mod2",NA,NA,NA,NA,29.5332517830325,2.39214627545213,12.3459221896665,8.68140102635661e-08
"4",1,1,4,"mod2",NA,NA,NA,NA,32.8979600909406,2.47530972648175,13.2904418945987,6.08254998307008e-09
"5",1,1,5,"mod2",NA,NA,NA,NA,35.6291813711902,1.99387683392098,17.8692990284285,1.60318321520108e-11
"6",1,1,6,"mod2",NA,NA,NA,NA,36.2765869929118,1.83478339061954,19.7715911198992,1.174364599651e-13
"7",1,1,7,"mod2",NA,NA,NA,NA,37.7963431513579,1.86235531190748,20.2949152128472,7.48020726476904e-14
"8",1,1,8,"mod2",NA,NA,NA,NA,36.9545073753908,1.52335452968129,24.2586388495672,7.65281454387106e-17
"9",1,1,9,"mod2",NA,NA,NA,NA,38.7762265131214,1.28676442906913,30.1346739442999,3.5829420440812e-21
"10",1,1,10,"mod2",NA,NA,NA,NA,37.9852162495364,1.58371714733406,23.9848487550182,2.92348325880434e-19
"11",1,1,11,"mod2",NA,NA,NA,NA,38.4770995316305,1.63025795601129,23.601847419148,4.36484070859112e-19
"12",1,1,12,"mod1",0.0482764318083474,0.0275460965540743,1.75256888806654,0.091026491510424,46.330488718177,5.15233692410661,8.992131027264,1.31767820123573e-09
"13",1,1,13,"mod1",0.0363677378785713,0.024577102781074,1.4797406432534,0.150516965609891,44.9106146546208,4.34954371879903,10.3253622812237,7.11191630722836e-11
"14",1,1,14,"mod1",0.0355685561966615,0.0239931683395485,1.48244515660873,0.149800711639159,46.284497502374,4.60641194312974,10.0478415898963,1.2815237548792e-10
"15",1,1,15,"mod2",NA,NA,NA,NA,40.6177273752816,1.26512245968645,32.1057673621163,1.23834659685277e-23
"16",1,1,16,"mod2",NA,NA,NA,NA,40.6371292040882,1.27039542001179,31.9877799966494,1.36919162362875e-23
"17",1,1,17,"mod2",NA,NA,NA,NA,40.9975548021557,1.17787276543734,34.8064375076482,8.17368056046742e-26
"18",1,1,18,"mod1",0.0350602858879167,0.021619971542135,1.62166198135774,0.116083979574384,47.1752235486704,4.28683426674921,11.0046763213088,1.11626633726508e-11
"19",1,1,19,"mod2",NA,NA,NA,NA,40.9924706716623,1.16160171891931,35.2896091698274,5.45692914334629e-26
"20",1,2,1,"mod3",0.377025371291184,0.0520741696970871,7.24016097586043,0.000784611502789534,NA,NA,NA,NA
"21",1,2,2,"mod2",NA,NA,NA,NA,21.1422067906767,2.38673509485027,8.85821255835813,9.72061814552772e-06
"22",1,2,3,"mod1",0.133869739512642,0.078247635174676,1.71084709734419,0.112811710960212,41.6925952966501,14.5502385214176,2.86542349359288,0.0142100347017302
"23",1,2,4,"mod2",NA,NA,NA,NA,31.0199708087469,1.60337486302596,19.3466740211984,5.10244936085305e-12
"24",1,2,5,"mod2",NA,NA,NA,NA,34.2828684408687,1.38422468049611,24.7668380169191,5.0216189744286e-17
"25",1,2,6,"mod2",NA,NA,NA,NA,33.30401473108,1.42887451732378,23.3078652654937,5.70640294433519e-16
"26",1,2,7,"mod2",NA,NA,NA,NA,34.6465737307819,1.23403829198137,28.0757687633447,2.67113142712606e-19
"27",1,2,8,"mod2",NA,NA,NA,NA,35.7990540652329,1.14751018359822,31.1971558744504,1.53962102997186e-21
"28",1,2,9,"mod2",NA,NA,NA,NA,37.5429916142806,1.08987138528795,34.4471761724081,2.68934461231217e-21
"29",1,2,10,"mod2",NA,NA,NA,NA,37.4635112760011,1.0846567749605,34.5395079262428,2.53160134914447e-21
"30",1,2,11,"mod2",NA,NA,NA,NA,38.7598741479224,1.12150646100015,34.5605446743094,5.54905847460809e-22
"31",1,2,12,"mod2",NA,NA,NA,NA,39.3560825885137,1.13275834597442,34.7435820961961,4.90004867910471e-22
"32",1,2,13,"mod2",NA,NA,NA,NA,39.7314963652119,1.0033291733953,39.5996622232752,2.23427552020061e-23
"33",1,2,14,"mod2",NA,NA,NA,NA,39.6741368455898,1.05475569004883,37.6145274397648,7.53391020111967e-23
"34",1,2,15,"mod1",0.043858265938521,0.025225099604104,1.73867562970437,0.0954624124971025,46.6883058719356,4.98220555688086,9.37101156082469,2.56669255631805e-09
"35",1,2,16,"mod2",NA,NA,NA,NA,39.9974335978985,1.24611297739784,32.0977586489966,1.90941302647563e-22
"36",1,2,17,"mod2",NA,NA,NA,NA,40.0978208601569,1.26843918960672,31.6119378750742,2.81166687363282e-22
"37",1,2,18,"mod2",NA,NA,NA,NA,40.3243123757794,1.24785656391335,32.3148617733114,4.04834540845439e-23
"38",1,2,19,"mod2",NA,NA,NA,NA,40.9924706716623,1.16160171891931,35.2896091698274,5.45692914334629e-26
"39",1,3,1,"mod3",0.425806755202101,0.0387707525021569,10.9826796675771,3.38592227066663e-05,NA,NA,NA,NA
"40",1,3,2,"mod2",NA,NA,NA,NA,21.659088799515,2.81204216870941,7.70226315967926,2.99301368990175e-05
"41",1,3,3,"mod2",NA,NA,NA,NA,28.0998184750115,2.01719971805127,13.9301122360644,2.47706467722378e-08
"42",1,3,4,"mod2",NA,NA,NA,NA,31.0524490741745,1.7965784074454,17.2842158992263,2.58459559232438e-11
"43",1,3,5,"mod2",NA,NA,NA,NA,32.821740811585,1.41953791829703,23.1214259151035,1.01169787229853e-13
"44",1,3,6,"mod2",NA,NA,NA,NA,33.309295122259,1.39407261790751,23.8935150826331,1.22754897312401e-15
"45",1,3,7,"mod2",NA,NA,NA,NA,33.8806252969046,1.45816831557437,23.2350579388081,2.05285941153842e-15
"46",1,3,8,"mod2",NA,NA,NA,NA,33.2640512022559,1.24380768314751,26.7437254592926,1.04972014371157e-17
"47",1,3,9,"mod2",NA,NA,NA,NA,33.6606916981723,1.27577347093879,26.3845364909514,1.06987374516497e-18
"48",1,3,10,"mod2",NA,NA,NA,NA,35.0263344239196,1.31326712938131,26.6711422530013,8.40799645867748e-19
"49",1,3,11,"mod2",NA,NA,NA,NA,36.1856755201967,1.31202587900902,27.5800013544915,5.59359879888856e-18
"50",1,3,12,"mod2",NA,NA,NA,NA,36.697133888656,1.12182063492601,32.7121223715736,8.62901949781605e-21
"51",1,3,13,"mod2",NA,NA,NA,NA,36.7921438810501,1.27496479233099,28.857380299721,2.8240205224525e-21
"52",1,3,14,"mod2",NA,NA,NA,NA,37.4850381132276,1.40608878150131,26.6590834137827,2.41617247755899e-19
"53",1,3,15,"mod2",NA,NA,NA,NA,38.9088230094701,1.51316523524254,25.7135322060407,1.89910435619865e-18
"54",1,3,16,"mod2",NA,NA,NA,NA,38.8682357747369,1.36530506060864,28.4685356380425,5.2340705363252e-20
"55",1,3,17,"mod2",NA,NA,NA,NA,39.2950264083735,1.36747453210854,28.7354722049437,1.13891016739445e-20
"56",1,3,18,"mod2",NA,NA,NA,NA,40.3243123757794,1.24785656391335,32.3148617733114,4.04834540845439e-23
"57",1,3,19,"mod2",NA,NA,NA,NA,40.9924706716623,1.16160171891931,35.2896091698274,5.45692914334629e-26
"58",1,4,1,"mod2",NA,NA,NA,NA,30.3780769908923,4.33691641082741,7.00453366245459,0.000914019941114908
"59",1,4,2,"mod2",NA,NA,NA,NA,29.4309660443206,2.76752894213409,10.6343841960424,5.35297676015743e-06
"60",1,4,3,"mod2",NA,NA,NA,NA,27.7774628040038,2.40868300612661,11.5322201939194,3.36183137017302e-08
"61",1,4,4,"mod2",NA,NA,NA,NA,32.766219816577,2.05622512757952,15.9351324799477,3.07488697686062e-11
"62",1,4,5,"mod2",NA,NA,NA,NA,33.5206421628979,1.64439702090425,20.3847621570519,2.25169424860823e-14
"63",1,4,6,"mod2",NA,NA,NA,NA,33.4185121441942,2.03151635752668,16.4500335034862,1.90047843967053e-11
"64",1,4,7,"mod2",NA,NA,NA,NA,35.0885603262331,1.94952762963051,17.9984934775628,4.8313163179606e-12
"65",1,4,8,"mod2",NA,NA,NA,NA,34.9301811470612,1.57557566670938,22.1697896744074,4.85841356832233e-15
"66",1,4,9,"mod2",NA,NA,NA,NA,36.8443637964889,1.49022686224642,24.7239965470414,6.53844342247372e-16
"67",1,4,10,"mod2",NA,NA,NA,NA,36.3118869220563,1.26754550947349,28.6474029142664,1.03460029795771e-17
"68",1,4,11,"mod2",NA,NA,NA,NA,37.6499608428848,1.12881781488487,33.3534431742865,7.20268908491391e-23
"69",1,4,12,"mod1",0.0476550519574122,0.0274789416599599,1.73423898733521,0.0957042382657706,44.8188271520724,5.16904184708909,8.67062571321837,7.37465530780629e-09
"70",1,4,13,"mod2",NA,NA,NA,NA,37.814152476736,1.18416257362808,31.9332440653649,1.43442794128344e-23
"71",1,4,14,"mod1",0.0393512474474685,0.0233563905153286,1.68481715621438,0.103550300422472,44.8382612222027,4.42874699211874,10.1243672989212,1.08839372471676e-10
"72",1,4,15,"mod1",0.0416427187075705,0.0223179509533016,1.86588449785127,0.0729569563927889,46.6390577888271,4.5313172617888,10.2926047977527,7.61999190045929e-11
"73",1,4,16,"mod2",NA,NA,NA,NA,40.8310297220413,1.22269381588924,33.394320958715,4.22776167451315e-24
"74",1,4,17,"mod2",NA,NA,NA,NA,40.8310297220413,1.22269381588924,33.394320958715,4.22776167451315e-24
"75",1,4,18,"mod2",NA,NA,NA,NA,41.2941634269778,1.24669286272856,33.122964493917,1.3459424445976e-24
"76",1,4,19,"mod2",NA,NA,NA,NA,40.9924706716623,1.16160171891931,35.2896091698274,5.45692914334629e-26
"77",1,5,1,"mod3",0.326818906075211,0.038084157332624,8.58149238332361,0.000137576842868212,NA,NA,NA,NA
"78",1,5,2,"mod1",0.0935687127797368,0.0508336039812584,1.84068618888864,0.095491260996348,44.0265757761369,10.8076379290896,4.07365384231055,0.0022370162578716
"79",1,5,3,"mod2",NA,NA,NA,NA,31.7517403074752,1.52883398562641,20.7685992108983,5.34583811550107e-13
"80",1,5,4,"mod2",NA,NA,NA,NA,31.6328277569174,1.21911125008557,25.9474496316042,7.12927817681899e-17
"81",1,5,5,"mod2",NA,NA,NA,NA,33.0080431489833,1.52742158156263,21.6103029755639,2.51993309553584e-14
"82",1,5,6,"mod2",NA,NA,NA,NA,35.4075013940046,1.48569253530682,23.8323209900845,1.67561789197368e-14
"83",1,5,7,"mod2",NA,NA,NA,NA,35.1865216199422,1.30429094602777,26.9775096784218,8.78703381598771e-18
"84",1,5,8,"mod2",NA,NA,NA,NA,35.1574103716134,1.26412871369021,27.8115748743518,1.23332453510357e-18
"85",1,5,9,"mod2",NA,NA,NA,NA,36.2559074977735,1.13567073986731,31.9246646277156,6.36632866909781e-20
"86",1,5,10,"mod2",NA,NA,NA,NA,37.3275183228249,1.21563986268005,30.7060663842753,1.47201489817382e-19
"87",1,5,11,"mod2",NA,NA,NA,NA,37.7933841156443,1.11235031411636,33.9761526886132,8.28988823268581e-22
"88",1,5,12,"mod2",NA,NA,NA,NA,38.0467862030433,1.06240101826702,35.8120761829698,2.40009573578218e-22
"89",1,5,13,"mod2",NA,NA,NA,NA,39.2050101262497,0.970224500216439,40.4081840002018,4.75193413617655e-27
"90",1,5,14,"mod2",NA,NA,NA,NA,39.3443453152471,1.01380995731042,38.8084029275324,3.19203374463377e-25
"91",1,5,15,"mod2",NA,NA,NA,NA,40.1464565344815,1.06080982322841,37.8451025390224,1.35572993582738e-23
