"","s_type","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"1",1,1,1,"mod3",0.377025371291184,0.0520741696970871,7.24016097586043,0.000784611502789534,NA,NA,NA,NA,0.67
"20",1,2,1,"mod3",0.377025371291184,0.0520741696970871,7.24016097586043,0.000784611502789534,NA,NA,NA,NA,0.67
"39",1,3,1,"mod3",0.425806755202101,0.0387707525021569,10.9826796675771,3.38592227066663e-05,NA,NA,NA,NA,0.67
"77",1,5,1,"mod3",0.326818906075211,0.038084157332624,8.58149238332361,0.000137576842868212,NA,NA,NA,NA,0.67
"96",1,6,1,"mod3",0.377025371291184,0.0520741696970871,7.24016097586043,0.000784611502789534,NA,NA,NA,NA,0.67
"115",1,7,1,"mod3",0.335223953101403,0.0362824513602506,9.23928622608611,9.07755879473334e-05,NA,NA,NA,NA,0.67
"191",1,11,1,"mod3",0.518028410779487,0.0635173498302484,8.15569938235662,0.00123022702937431,NA,NA,NA,NA,0.67
"210",1,12,1,"mod3",0.59591613484296,0.101815801631593,5.85288457482466,0.00206246622520919,NA,NA,NA,NA,0.67
"229",1,13,1,"mod3",0.59591613484296,0.101815801631593,5.85288457482466,0.00206246622520919,NA,NA,NA,NA,0.67
"248",1,14,1,"mod3",0.317552017987151,0.0425316548649271,7.46625117211261,0.000680366153221523,NA,NA,NA,NA,0.67
"324",1,18,1,"mod3",0.317552017987151,0.0425316548649271,7.46625117211261,0.000680366153221523,NA,NA,NA,NA,0.67
"343",1,19,1,"mod3",0.518028410779487,0.0635173498302484,8.15569938235662,0.00123022702937431,NA,NA,NA,NA,0.67
"362",1,20,1,"mod3",0.59591613484296,0.101815801631593,5.85288457482466,0.00206246622520919,NA,NA,NA,NA,0.67
"381",1,21,1,"mod3",0.378570456507712,0.0330596553237904,11.4511313805285,2.66182386017119e-05,NA,NA,NA,NA,0.67
"400",1,22,1,"mod3",0.326818906075211,0.038084157332624,8.58149238332361,0.000137576842868212,NA,NA,NA,NA,0.67
"419",1,23,1,"mod3",0.376651270695834,0.0411369419108198,9.15603477556428,9.55401272448443e-05,NA,NA,NA,NA,0.67
"438",1,24,1,"mod3",0.435006166469021,0.0440776108649697,9.86909585008243,6.24365071873182e-05,NA,NA,NA,NA,0.67
"457",1,25,1,"mod3",0.378570456507712,0.0330596553237904,11.4511313805285,2.66182386017119e-05,NA,NA,NA,NA,0.67
"476",1,26,1,"mod3",0.518028410779487,0.0635173498302484,8.15569938235662,0.00123022702937431,NA,NA,NA,NA,0.67
"514",1,28,1,"mod3",0.425806755202101,0.0387707525021569,10.9826796675771,3.38592227066663e-05,NA,NA,NA,NA,0.67
"552",1,30,1,"mod3",0.349101090209191,0.0462142428171052,7.55397186946832,0.000644397883656757,NA,NA,NA,NA,0.67
"571",1,31,1,"mod3",0.376651270695834,0.0411369419108198,9.15603477556428,9.55401272448443e-05,NA,NA,NA,NA,0.67
"590",1,32,1,"mod3",0.425806755202101,0.0387707525021569,10.9826796675771,3.38592227066663e-05,NA,NA,NA,NA,0.67
"609",1,33,1,"mod3",0.376651270695834,0.0411369419108198,9.15603477556428,9.55401272448443e-05,NA,NA,NA,NA,0.67
"628",1,34,1,"mod3",0.349101090209191,0.0462142428171052,7.55397186946832,0.000644397883656757,NA,NA,NA,NA,0.67
"647",1,35,1,"mod3",0.326818906075211,0.038084157332624,8.58149238332361,0.000137576842868212,NA,NA,NA,NA,0.67
"723",1,39,1,"mod3",0.435006166469021,0.0440776108649697,9.86909585008243,6.24365071873182e-05,NA,NA,NA,NA,0.67
"761",1,41,1,"mod3",0.518028410779487,0.0635173498302484,8.15569938235662,0.00123022702937431,NA,NA,NA,NA,0.67
"799",1,43,1,"mod3",0.435006166469021,0.0440776108649697,9.86909585008243,6.24365071873182e-05,NA,NA,NA,NA,0.67
"818",1,44,1,"mod3",0.39310991789083,0.0496681571564054,7.9147272698869,0.000518288408492472,NA,NA,NA,NA,0.67
"837",1,45,1,"mod3",0.378570456507712,0.0330596553237904,11.4511313805285,2.66182386017119e-05,NA,NA,NA,NA,0.67
"856",1,46,1,"mod3",0.378570456507712,0.0330596553237904,11.4511313805285,2.66182386017119e-05,NA,NA,NA,NA,0.67
"875",1,47,1,"mod3",0.518028410779487,0.0635173498302484,8.15569938235662,0.00123022702937431,NA,NA,NA,NA,0.67
"894",1,48,1,"mod3",0.313390914690375,0.0362674306756561,8.64111156627188,0.000132339221477553,NA,NA,NA,NA,0.67
"913",1,49,1,"mod3",0.377025371291184,0.0520741696970871,7.24016097586043,0.000784611502789534,NA,NA,NA,NA,0.67
"932",1,50,1,"mod3",0.377025371291184,0.0520741696970871,7.24016097586043,0.000784611502789534,NA,NA,NA,NA,0.67
"951",1,51,1,"mod3",0.425806755202101,0.0387707525021569,10.9826796675771,3.38592227066663e-05,NA,NA,NA,NA,0.67
"970",1,52,1,"mod3",0.335223953101403,0.0362824513602506,9.23928622608611,9.07755879473334e-05,NA,NA,NA,NA,0.67
"989",1,53,1,"mod3",0.425806755202101,0.0387707525021569,10.9826796675771,3.38592227066663e-05,NA,NA,NA,NA,0.67
"1084",1,58,1,"mod3",0.377025371291184,0.0520741696970871,7.24016097586043,0.000784611502789534,NA,NA,NA,NA,0.67
"1103",1,59,1,"mod3",0.349101090209191,0.0462142428171052,7.55397186946832,0.000644397883656757,NA,NA,NA,NA,0.67
"1160",1,62,1,"mod3",0.349101090209191,0.0462142428171052,7.55397186946832,0.000644397883656757,NA,NA,NA,NA,0.67
"1198",1,64,1,"mod3",0.313390914690375,0.0362674306756561,8.64111156627188,0.000132339221477553,NA,NA,NA,NA,0.67
"1217",1,65,1,"mod3",0.317552017987151,0.0425316548649271,7.46625117211261,0.000680366153221523,NA,NA,NA,NA,0.67
"1255",1,67,1,"mod3",0.518028410779487,0.0635173498302484,8.15569938235662,0.00123022702937431,NA,NA,NA,NA,0.67
"1274",1,68,1,"mod3",0.335223953101403,0.0362824513602506,9.23928622608611,9.07755879473334e-05,NA,NA,NA,NA,0.67
"1312",1,70,1,"mod3",0.39310991789083,0.0496681571564054,7.9147272698869,0.000518288408492472,NA,NA,NA,NA,0.67
"1331",1,71,1,"mod3",0.335223953101403,0.0362824513602506,9.23928622608611,9.07755879473334e-05,NA,NA,NA,NA,0.67
"1369",1,73,1,"mod3",0.59591613484296,0.101815801631593,5.85288457482466,0.00206246622520919,NA,NA,NA,NA,0.67
"1388",1,74,1,"mod3",0.518028410779487,0.0635173498302484,8.15569938235662,0.00123022702937431,NA,NA,NA,NA,0.67
"1407",1,75,1,"mod3",0.425806755202101,0.0387707525021569,10.9826796675771,3.38592227066663e-05,NA,NA,NA,NA,0.67
"1426",1,76,1,"mod3",0.425806755202101,0.0387707525021569,10.9826796675771,3.38592227066663e-05,NA,NA,NA,NA,0.67
"1445",1,77,1,"mod3",0.317552017987151,0.0425316548649271,7.46625117211261,0.000680366153221523,NA,NA,NA,NA,0.67
"1521",1,81,1,"mod3",0.39310991789083,0.0496681571564054,7.9147272698869,0.000518288408492472,NA,NA,NA,NA,0.67
"1578",1,84,1,"mod3",0.377025371291184,0.0520741696970871,7.24016097586043,0.000784611502789534,NA,NA,NA,NA,0.67
"1597",1,85,1,"mod3",0.377025371291184,0.0520741696970871,7.24016097586043,0.000784611502789534,NA,NA,NA,NA,0.67
"1635",1,87,1,"mod3",0.376651270695834,0.0411369419108198,9.15603477556428,9.55401272448443e-05,NA,NA,NA,NA,0.67
"1673",1,89,1,"mod3",0.376651270695834,0.0411369419108198,9.15603477556428,9.55401272448443e-05,NA,NA,NA,NA,0.67
"1692",1,90,1,"mod3",0.378570456507712,0.0330596553237904,11.4511313805285,2.66182386017119e-05,NA,NA,NA,NA,0.67
"1711",1,91,1,"mod3",0.39310991789083,0.0496681571564054,7.9147272698869,0.000518288408492472,NA,NA,NA,NA,0.67
"1730",1,92,1,"mod3",0.317552017987151,0.0425316548649271,7.46625117211261,0.000680366153221523,NA,NA,NA,NA,0.67
"1768",1,94,1,"mod3",0.317552017987151,0.0425316548649271,7.46625117211261,0.000680366153221523,NA,NA,NA,NA,0.67
"1787",1,95,1,"mod3",0.335223953101403,0.0362824513602506,9.23928622608611,9.07755879473334e-05,NA,NA,NA,NA,0.67
"1806",1,96,1,"mod3",0.335223953101403,0.0362824513602506,9.23928622608611,9.07755879473334e-05,NA,NA,NA,NA,0.67
"1825",1,97,1,"mod3",0.378570456507712,0.0330596553237904,11.4511313805285,2.66182386017119e-05,NA,NA,NA,NA,0.67
"1863",1,99,1,"mod3",0.377025371291184,0.0520741696970871,7.24016097586043,0.000784611502789534,NA,NA,NA,NA,0.67
"1882",1,100,1,"mod3",0.378570456507712,0.0330596553237904,11.4511313805285,2.66182386017119e-05,NA,NA,NA,NA,0.67
"21",1,2,2,"mod2",NA,NA,NA,NA,21.1422067906767,2.38673509485027,8.85821255835813,9.72061814552772e-06,0.57
"40",1,3,2,"mod2",NA,NA,NA,NA,21.659088799515,2.81204216870941,7.70226315967926,2.99301368990175e-05,0.57
"59",1,4,2,"mod2",NA,NA,NA,NA,29.4309660443206,2.76752894213409,10.6343841960424,5.35297676015743e-06,0.57
"97",1,6,2,"mod2",NA,NA,NA,NA,28.2680145184232,2.11734851143479,13.3506668202052,3.85863737977716e-08,0.57
"135",1,8,2,"mod2",NA,NA,NA,NA,34.2902362897294,2.92289675208658,11.7315934150772,1.46729267169024e-07,0.57
"154",1,9,2,"mod2",NA,NA,NA,NA,32.6840661764877,2.28840782840189,14.2824481593006,5.5947822070085e-08,0.57
"173",1,10,2,"mod2",NA,NA,NA,NA,32.2633155661202,2.35453577975182,13.7026227605345,2.94197249666678e-08,0.57
"249",1,14,2,"mod2",NA,NA,NA,NA,35.2037314881875,2.40327748102174,14.6482175970878,5.09657230667391e-09,0.57
"287",1,16,2,"mod2",NA,NA,NA,NA,37.1640957181063,3.10681563913552,11.9621181411483,1.20170357132447e-07,0.57
"306",1,17,2,"mod2",NA,NA,NA,NA,28.7021982596496,2.25690484655717,12.7175048179075,1.68896474879183e-07,0.57
"325",1,18,2,"mod2",NA,NA,NA,NA,35.2037314881875,2.40327748102174,14.6482175970878,5.09657230667391e-09,0.57
"344",1,19,2,"mod2",NA,NA,NA,NA,26.4916871254743,2.55185569017628,10.381342184614,2.61825026623594e-06,0.57
"363",1,20,2,"mod2",NA,NA,NA,NA,21.1422067906767,2.38673509485027,8.85821255835813,9.72061814552772e-06,0.57
"401",1,22,2,"mod2",NA,NA,NA,NA,24.428491575599,2.13428640312464,11.4457420240485,1.88849752862634e-07,0.57
"439",1,24,2,"mod2",NA,NA,NA,NA,30.2208337176956,2.21447907586041,13.646926740978,3.06971074361271e-08,0.57
"515",1,28,2,"mod2",NA,NA,NA,NA,26.948693844089,2.9735734109143,9.0627302978886,8.06614847965811e-06,0.57
"534",1,29,2,"mod2",NA,NA,NA,NA,32.0511496478858,2.80489341633678,11.4268690072883,3.11016213140435e-06,0.57
"610",1,33,2,"mod2",NA,NA,NA,NA,31.8272897233013,3.78605865213769,8.40644391637485,3.05138747737772e-05,0.57
"648",1,35,2,"mod2",NA,NA,NA,NA,24.428491575599,2.13428640312464,11.4457420240485,1.88849752862634e-07,0.57
"667",1,36,2,"mod2",NA,NA,NA,NA,27.8859268846994,2.15660010099553,12.9305043025022,5.37951108999403e-08,0.57
"686",1,37,2,"mod2",NA,NA,NA,NA,33.448639448891,2.76376814832497,12.1025490033103,7.16126647040508e-07,0.57
"705",1,38,2,"mod2",NA,NA,NA,NA,31.8746693696551,3.1964554064985,9.97187988446603,1.85898236915866e-07,0.57
"743",1,40,2,"mod2",NA,NA,NA,NA,37.1640957181063,3.10681563913552,11.9621181411483,1.20170357132447e-07,0.57
"762",1,41,2,"mod2",NA,NA,NA,NA,29.4309660443206,2.76752894213409,10.6343841960424,5.35297676015743e-06,0.57
"781",1,42,2,"mod2",NA,NA,NA,NA,33.448639448891,2.76376814832497,12.1025490033103,7.16126647040508e-07,0.57
"800",1,43,2,"mod2",NA,NA,NA,NA,27.6148118349371,2.39923500674091,11.5098403271669,4.32006890119909e-07,0.57
"819",1,44,2,"mod2",NA,NA,NA,NA,31.2157644530163,3.68869680056069,8.46254548443002,6.35540645580034e-05,0.57
"857",1,46,2,"mod2",NA,NA,NA,NA,28.6635340292397,2.26477758309719,12.656224718562,4.88623883931744e-07,0.57
"895",1,48,2,"mod2",NA,NA,NA,NA,33.1964394785446,2.7478750996149,12.0807672383642,7.27209175381941e-07,0.57
"933",1,50,2,"mod2",NA,NA,NA,NA,26.5040141597527,3.16921971826109,8.36294625047173,3.16855393496675e-05,0.57
"971",1,52,2,"mod2",NA,NA,NA,NA,34.3956751236319,2.3170113515293,14.8448453223717,3.86352268448346e-08,0.57
"1009",1,54,2,"mod2",NA,NA,NA,NA,27.8812213106969,2.16137869520771,12.8997391213841,1.47600245266777e-07,0.57
"1028",1,55,2,"mod2",NA,NA,NA,NA,33.0368426686345,2.29672628372464,14.384318628974,1.62254932981713e-07,0.57
"1047",1,56,2,"mod2",NA,NA,NA,NA,37.1640957181063,3.10681563913552,11.9621181411483,1.20170357132447e-07,0.57
"1066",1,57,2,"mod2",NA,NA,NA,NA,34.3956751236319,2.3170113515293,14.8448453223717,3.86352268448346e-08,0.57
"1104",1,59,2,"mod2",NA,NA,NA,NA,32.6840661764877,2.28840782840189,14.2824481593006,5.5947822070085e-08,0.57
"1142",1,61,2,"mod2",NA,NA,NA,NA,30.2208337176956,2.21447907586041,13.646926740978,3.06971074361271e-08,0.57
"1161",1,62,2,"mod2",NA,NA,NA,NA,25.6588253635983,2.87646260126722,8.92027080494435,4.48240365952483e-06,0.57
"1180",1,63,2,"mod2",NA,NA,NA,NA,32.0646884418764,2.44125221034502,13.1345251039608,3.55434094980164e-07,0.57
"1199",1,64,2,"mod2",NA,NA,NA,NA,32.4469136905252,2.40364170810519,13.499064182949,9.58710871694885e-08,0.57
"1237",1,66,2,"mod2",NA,NA,NA,NA,34.4488463009787,3.38197697511058,10.1860085253397,1.34215154902035e-06,0.57
"1294",1,69,2,"mod2",NA,NA,NA,NA,31.5114797792884,2.63293133391686,11.9682117696592,1.19543168365049e-07,0.57
"1313",1,70,2,"mod2",NA,NA,NA,NA,31.2157644530163,3.68869680056069,8.46254548443002,6.35540645580034e-05,0.57
"1332",1,71,2,"mod2",NA,NA,NA,NA,31.5712924447938,1.76539773859605,17.8833878363871,5.12696310378757e-10,0.57
"1351",1,72,2,"mod2",NA,NA,NA,NA,35.6535974592925,3.18865980115257,11.1813738945764,2.39656512435882e-07,0.57
